"parameter","value","units_or_date","context","details","technical_significance","source"
"decommissioning_target_date","2064","year","Ukraine_Energoatom_plan","Chernobyl NPP decommissioning target: full decommissioning completion targeted 2064 (78 years after accident); stages: (1) 1986-1996: operational monitoring post-accident; (2) 1996-2000: Units 1-3 shutdown; (3) 2000-2028: conversion to ecologically safe state (spent fuel removal; decommissioning preparation); (4) 2028-2045: active decommissioning (contaminated equipment removal); (5) 2045-2064: final clearance and site remediation; estimated total cost ~$1.7B USD","78-year decommissioning timeline driven by: (1) radioactive decay of activated steel/concrete (Co-60 99.4% decayed by 2026 but Nb-94 t1/2=20,300yr; Ni-63 t1/2=100yr); (2) complexity of Unit 4 shelter/NSC; (3) fuel removal from ISF-1/ISF-2; (4) financial constraints; Ukraine performing largest NPP decommissioning in history simultaneously with war; decommissioning of RBMK reactors challenging due to lack of primary pressure vessel (graphite channels must be individually dismantled)","Energoatom decommissioning plan 2020; IAEA TECDOC-1274; chernobyl_economic_impact_REAL.csv; NEA 2024"
"Units_1_2_3_decommissioning_status","conversion_to_safe_state_ongoing","N/A","2000-present","Units 1, 2, 3 decommissioning status (as of 2025): all three in 'conversion to ecologically safe condition'; primary systems defueled (spent fuel removed to ISF-1/ISF-2); secondary circuits decontaminated; radioactive liquids solidified and packaged; activated graphite (~4000 tonnes per unit) = major long-term challenge; ISF-1 has 1261 RBMK fuel assemblies; ISF-2 (Holtec) receiving fuel from all 4 units; graphite removal from Unit 1-3 planned for 2030s-2040s","RBMK graphite moderator = significant radwaste problem: 4,000 tonnes per unit × 3 units = 12,000 tonnes activated graphite (plus Unit 4 graphite partially destroyed/contaminated); graphite specific activity: ~2.5 GBq/t (C-14 + Cl-36 + H-3 + Co-60 components); no approved graphite disposal route in Ukraine; UK faces same problem with Magnox reactors; international research ongoing for graphite disposal options","chernobyl_unit_operations_REAL.csv; IAEA TECDOC-1521; NEA Graphite Disposal 2014; WNA Ukraine"
"ISF_2_specifications","Holtec_21217_capacity","assemblies","2020-present","ISF-2 (Interim Spent Fuel Storage Facility 2): Holtec International design; construction 2001-2017 (massive delays from legal disputes between EBRD/US DOE and Holtec); opened 2020; capacity: 21,217 RBMK fuel assemblies; current stored (Jan 2022): 1698 assemblies; each dry cask: 91-95 assemblies; cask dimensions: 1.37m diameter × 5.6m high; concrete/steel; passive air cooling; RBMK fuel undergoes drying before storage (water removal essential); located 200m from ChNPP perimeter","ISF-2 dry cask storage: passive system (no pumps required for cooling after ~5yr post-discharge cooling); Holtec Multi-Purpose Canister (MPC) design; RBMK fuel assemblies: 2 × 3.5m assemblies per channel = 7m total; must be cut to fit casks; remote handling required due to dose rates; each assembly dose rate ~100-500 R/hr at contact; target: all RBMK spent fuel transferred from ISF-1 (wet) to ISF-2 (dry) by ~2028","chernobyl_unit_operations_REAL.csv; Holtec 2020; IAEA PRIS; corium_fcm_physics_REAL.csv"
"radioactive_waste_volumes_chernobyl","approximately_200000_m3_total_site","m3","estimated_2025","Total radioactive waste at Chernobyl site (estimate 2025): solid radioactive waste: ~50,000 m³ (Level 1-3 waste); spent nuclear fuel (Units 1-3): ~21,000 assemblies equivalent; Unit 4 corium/FCM: ~170-220 tonnes; contaminated equipment/vehicles: ~10,000+ items at Rossokha and other sites; contaminated building materials: ~100,000+ m³ from decontamination activities; total land area contaminated within 30km zone: 2600 km²","Radioactive waste classification: RBMK graphite = potentially LILW-LL (low/intermediate level long-lived due to C-14 content); Unit 4 corium = High Level Waste (HLW) de facto (intense alpha/gamma emitters); corium immobilized in place under NSC; no attempt to retrieve; contaminated vehicles at Rossokha gradually being buried in permanent waste facility; total site waste management challenge comparable to Sellafield (UK) in scale","IAEA 2006 Chernobyl Legacy; NEA 2024; corium_fcm_physics_REAL.csv; red_forest_waste_sites_REAL.csv"
"New_Safe_Confinement_technical_specs","108m_high_162m_wide_257m_long","meters","2016_completion","NSC (New Safe Confinement) technical specifications: dimensions 108m × 162m × 257m; weight ~36,000 tonnes; largest movable land structure ever built; steel arch construction; built adjacent to existing shelter then slid into position November 29 2016; design life: 100 years; purpose: contain releases from damaged Unit 4; maintain environment for future shelter dismantlement and corium removal; equipped with remote-controlled cranes (450t capacity) for future decommissioning work; negative pressure ventilation prevents release","NSC designed to enable future dismantlement of 1986 Shelter (which has >1000 m² of gaps; unstable structures); remote cranes in NSC allow fuel-containing mass (corium) manipulation; NSC climate control: 15-25°C inside; humidity controlled (<75%) to prevent corrosion; air filtration HEPA + iodine filters; February 2025 drone strike: 6m breach in outer wall (outer layer damaged not inner arch); €31M repair fund needed; full restoration by ~2030","chernobyl_shelter_sarcophagus_REAL.csv; modern_monitoring_REAL.csv; EBRD NSC project documents; NEA 2024"
"corium_retrieval_plans","no_current_plan_for_removal","N/A","2025_onwards","Corium (Fuel-Containing Mass) removal from Unit 4: NO approved plan as of 2025 for actual corium extraction; NSC designed to ENABLE future removal but no technology validated; corium properties: ultra-high alpha activity from Pu-239/Am-241; gamma from Cs-137; total ~170-220 tonnes distributed across multiple rooms; hardness approaching ceramic; highly heterogeneous; Room 305/2 neutron flux stable (fissile material in subcritical but monitored configuration)","Corium = most technically challenging decommissioning problem in nuclear history; Elephant's Foot dose rate 10,000 R/hr in 1986 → now ~34 µSv/hr (36yr decay); but alpha activity from Pu-239 (t1/2=24,110yr) essentially unchanged; long-term plan: probably LEAVE corium in place under NSC for hundreds of years (similar to natural attenuation approach); no technology exists for safe large-scale corium removal from highly contaminated environment","corium_fcm_physics_REAL.csv; IAEA 2006; NEA 2024; modern_monitoring_REAL.csv"
"nuclear_fuel_removal_ISF1_to_ISF2","target_2028","N/A","2020-2028","Spent fuel transfer from ISF-1 to ISF-2: ISF-1 (wet pool; 1261 RBMK assemblies); transfer to ISF-2 (dry casks) began 2020; target completion 2028; challenge: RBMK fuel assemblies must be inspected, dried, and loaded into MPC canisters under water; then canisters evacuated and sealed; craned to transport vehicle; driven to ISF-2; placed in concrete storage modules; each assembly: dose rate ~100-500 R/hr contact; requires fully remote handling in hot cell facility; transfer rate: ~200-300 assemblies/year","ISF-1 wet pool: fuel assemblies stored in water since 1986-2001; pool water shields radiation and provides cooling; transfer to dry storage ends dependency on active pool cooling system (pump + filtration); ISF-2 passive cooling = more robust long-term; 2022 Russian invasion: ISF-2 construction team evacuated; transfer operations paused; Ukrainian staff reduced to skeleton crew April-May 2022; operations resumed after Russian forces left Chernobyl region March 2022","chernobyl_unit_operations_REAL.csv; Holtec; IAEA PRIS; corium_fcm_physics_REAL.csv"
"activated_graphite_disposal","unresolved_technical_challenge","N/A","2025-2064","Activated graphite disposal: RBMK graphite (1700t/unit × 4 units = 6800t) + Unit 4 damaged/destroyed graphite; key radionuclides: C-14 (t1/2=5730yr; produced from N-14 in graphite by (n,p) reaction); Cl-36 (t1/2=301,000yr; trace Cl in graphite); H-3 (t1/2=12.3yr; largely decayed); Co-60 (t1/2=5.27yr; 99.4% decayed by 2026); Ni-63 (t1/2=100yr); specific activity C-14 in RBMK graphite: ~2 GBq/t; Cl-36: ~0.1 GBq/t; C-14 is long-lived beta emitter (E_max=156 keV) relevant for waste classification","Options for graphite disposal: (1) direct disposal in near-surface repository (problematic for C-14 long-term); (2) deep geological disposal (most appropriate; very expensive); (3) graphite incineration (converts solid to gaseous CO2; captures C-14 in CO2 stream for further management; researched in UK/France); (4) in situ stabilization (leave in place permanently under concrete); Ukraine likely to use in situ approach for Unit 4 graphite (under NSC) and deep burial for Units 1-3","IAEA TECDOC-1521 2009; NEA Graphite Decommissioning 2014; UK NDA; reactor_activation_products_REAL.csv; rbmk_fuel_specifications_REAL.csv"
"chernobyl_exclusion_zone_future","radioactive_for_centuries","N/A","2026-2300+","CEZ long-term future: Cs-137 (t1/2=30.17yr): effectively decayed to background by ~2300 (9 half-lives); Sr-90 (t1/2=28.8yr): decayed by ~2280; Pu-239 (t1/2=24,110yr): essentially permanent on human timescale; Am-241 (t1/2=432yr): significant for 2000+ years; Pu-239/Am-241 hot spots will remain hazardous for hundreds of years; current CEZ: 2600 km²; managed nuclear tourism (~60,000 visitors/year pre-war); limited agricultural use research; wildlife reserve de facto (large mammals thriving)","Am-241 is the limiting radionuclide for long-term CEZ hazard (after Cs-137 and Sr-90 decay): in Red Forest soils Pu+Am activity will exceed Cs-137 activity around 2050; hot particle inhalation risk from Am-241/Pu-239 will persist for centuries; CEZ never fully 'clean' on human timescale; permanent monitoring/management required; see am241_ingrowth_timeseries_REAL.csv for Bateman equation projections","am241_ingrowth_timeseries_REAL.csv; isotope_decay_timeseries_REAL.csv; cez_soil_radionuclides_2016_REAL.csv; fuel_particle_contamination_REAL.csv"
"NSC_structural_monitoring","continuous_monitoring_system","N/A","2016-present","NSC structural monitoring: 5000+ sensors installed in NSC structure; monitoring: temperature; humidity; wind loads; structural deformation; displacement; vibration; neutron monitoring (Room 305/2 flux); alpha/gamma air monitoring inside; carbon monoxide (fire detection); real-time data transmitted to Chernobyl NPP control center; alarm thresholds; backup power systems; Feb 2025 drone strike: sensors detected impact; structural integrity maintained for inner arch (outer skin breached)","NSC design loads: 600-year return wind speed (Ukraine region); seismic design; snow loads; radiation environment; designed for 100-year minimum life under combined loads; maintenance access: external scaffold system; internal crane system; estimated annual maintenance cost ~€20M; EBRD consortium (45 donor nations) funds operations; Ukrainian staff now manages NSC; safety culture transformation from Chernobyl has produced highly capable local nuclear workforce","chernobyl_shelter_sarcophagus_REAL.csv; modern_monitoring_REAL.csv; EBRD; NEA 2024"
