"source_or_location","parameter","value","units","context","chernobyl_comparison","source"
"global_average","total_natural_background","2.4","mSv_per_year","Global average effective dose from natural sources (UNSCEAR 2000/2008): cosmic radiation + terrestrial gamma + radon + internal; range: 1-50 mSv/yr worldwide depending on location","Average European received ~1-2 mSv total Chernobyl lifetime dose = ~0.5-1 year equivalent natural background; average liquidator (117 mSv) = 49 years of global average background (or 5 years at higher local backgrounds)","UNSCEAR 2000 Sources and Effects; UNSCEAR 2008 Annex B; WHO Natural Background"
"radon_indoor","radon_dose_component","1.26","mSv_per_year","Radon (Rn-222) from U-238 decay in soil and building materials; accumulates in poorly-ventilated basements and buildings; alpha emitter; irradiates bronchial epithelium; 52% of total natural background globally; major lung cancer cause (~21,000 deaths/yr USA from radon-induced lung cancer per EPA)","Radon dose dwarfs average Chernobyl public doses; most people live with 1.26 mSv/yr from radon alone; entire Chernobyl lifetime extra dose for most Europeans (~1-2 mSv) is less than one year of radon; shows importance of context when discussing Chernobyl doses","UNSCEAR 2000; EPA Radon Guide 2012; WHO Indoor Radon Handbook 2009"
"cosmic_radiation_sea_level","cosmic_dose","0.39","mSv_per_year","Cosmic rays: high-energy protons and nuclei from space; attenuated by atmosphere; at sea level: 0.39 mSv/yr effective dose; increases with altitude: at 3000m (Denver Colorado): ~0.8 mSv/yr; at 12000m (aircraft cruising): ~2-3 µSv/hr; astronauts: 1-3 mSv/day","Frequent flier receiving 200 hours/yr at high altitude: ~0.4-0.6 mSv/yr additional; comparable to some European Chernobyl doses; Denver Colorado residents receive 3x more cosmic radiation than coastal residents","UNSCEAR 2000 Annex B; ICRP 132 2016 Cosmic; FAA aviation dose"
"terrestrial_external_gamma","from_soil_and_building_materials","0.48","mSv_per_year","Gamma radiation from primordial radionuclides in soil: K-40 (most abundant); Th-232 series; U-238 series; varies by geology: granite regions higher (0.7-1.5 mSv/yr); limestone/sedimentary regions lower (0.1-0.3 mSv/yr); affected by building materials (granite stone higher)","Background external gamma component is the same pathway affected by Chernobyl Cs-137 deposition; liquidators received elevated external gamma primarily from soil contamination; 0.0043 µSv/hr per kBq/m² Cs-137 (see dose_conversion_factors_REAL.csv)","UNSCEAR 2000; radiation_dose_limits_REAL.csv; dose_conversion_factors_REAL.csv"
"internal_from_food","internal_dose_from_dietary_radionuclides","0.29","mSv_per_year","Natural internal dose from consuming food and water: K-40 (dominant: 0.17 mSv/yr; 4400 Bq of K-40 in average human body); C-14 (0.012 mSv/yr); Pb-210 + Po-210 from seafood and smoking (~0.05-0.5 mSv/yr from Po-210 in seafood)","Chernobyl internal dose via food chain was significant in 1986 but is now orders of magnitude below K-40 natural internal dose; K-40 in human body: 4400 Bq vs typical post-1987 Cs-137 body burden <10 Bq/kg = <700 Bq total in adult = 6x less than K-40","UNSCEAR 2000; cs137_body_burden_ukraine_REAL.csv; food_agricultural_contamination_REAL.csv"
"Ramsar_Iran_high_background","highest_documented_natural_background","260","mSv_per_year","Ramsar (northern Iran): Ra-226 enriched thermal spring water used in construction; some dwellings receive 260 mSv/yr (external dose); inhabitants have lived there for generations; extensive epidemiological studies show no confirmed cancer excess; used by hormesis advocates","Ramsar residents at 260 mSv/yr receive more dose in 1 year than Chernobyl liquidators received in lifetime; no confirmed cancer excess = contested evidence for threshold/hormesis; UNSCEAR notes Ramsar background studies have methodological limitations; small population size","Mortazavi SM 2002 Radiat Prot Dosimetry; UNSCEAR 2000 Annex B High Background; contested_radiation_science_REAL.csv"
"Guarapari_Brazil","monazite_sands_beach","50_to_100","mSv_per_year","Guarapari Brazil thorium-rich monazite sands; beach dose rates 15-40 µSv/hr; beach visitors may receive several mSv in a day; local residents 50-100 mSv/yr from external gamma; also Kerala India and Yangjiang China monazite zones","Residents in these high background areas receive equivalent of Chernobyl liquidator doses (115 mSv) naturally within 1-2 years; no confirmed elevated cancer rates in multiple studies; another example supporting dose rate effects and threshold arguments","UNSCEAR 2000 Annex B; Morishima H 1997 J Radiat Res; IAEA High Natural Background"
"airline_crew_cosmic_dose","airline_crew_occupational","3_to_6","mSv_per_year","Airline crew receive elevated cosmic radiation; trans-Atlantic pilots: ~5 mSv/yr; some intercontinental routes (high latitude + high altitude): up to 9 mSv/yr; classified as radiation workers in EU; dose monitoring required above 1 mSv/yr","Airline crew receive doses comparable to lower range of Chernobyl liquidators; ~50-60% of European Chernobyl liquidators received <100 mSv (similar to what a 15-20 year airline career delivers); shows dose context for chronic occupational exposure","ICRP 132; EU BSS Directive 2013/59/Euratom; FAA 2008 Cosmic Radiation Report"
"medical_radiation_global_average","diagnostic_radiology_CT_fluoroscopy","0.6","mSv_per_year","Global average diagnostic medical radiation per person = 0.6 mSv/yr (UNSCEAR 2008); range: 0.03 mSv/yr in low-income countries to 2+ mSv/yr in high-income countries (US ~3 mSv/yr from medical imaging); single CT scan abdomen = 5-15 mSv","Chernobyl public doses (~1-2 mSv lifetime) comparable to 1-3 CT scans worth of dose; this is why UNSCEAR notes: most European Chernobyl doses are at levels already accepted in medical practice; important dose perspective context","UNSCEAR 2008 Annex A Medical; ICRP 105 2007; dose_conversion_factors_REAL.csv"
"Denver_Colorado_USA","high_altitude_high_background","6_to_8","mSv_per_year","Denver Colorado (1600m elevation): ~0.8 mSv/yr extra cosmic vs sea level; typical Denver total background: 6-8 mSv/yr from radon (higher due to soil) + cosmic + terrestrial; compared to US average ~3 mSv/yr","Denver residents receive annual doses 2-3x higher than average American; over a 40-year lifetime: ~100-200 mSv extra vs sea-level US resident; no elevated cancer rate in Denver; frequently cited in LNT vs threshold debates","UNSCEAR 2000; NCRP Report 160 2009 US sources; NRC Background radiation"
