"mechanism","parameter","value","units_or_context","chernobyl_or_radiation_relevance","notes","source"
"DNA_double_strand_break","DSBs_per_cell_per_Gy","40","DSBs_per_Gy_per_diploid_cell","Low-LET gamma (Cs-137 662 keV; Co-60); most biologically significant DNA lesion; DSB = both strands of DNA double helix broken within ~10-20 base pairs; in Chernobyl context: at 1 Gy (0.7 Gy ARS threshold) a cell has ~40 DSBs; at 200 mSv (average liquidator) ~8 DSBs per cell","Misrepaired DSBs = chromosomal aberrations, translocations, point mutations; inaccurate NHEJ creates deletions; DSBs are the primary molecular mechanism linking radiation dose to cancer risk; each Chernobyl liquidator at 117 mSv: ~4-5 DSBs per somatic cell at exposure","Lobrich M 2010 Nat Rev Cancer PMID:20393565; ICRU 60; Ward JF 1988 Progr Nucleic Acid Res"
"DNA_single_strand_break","SSBs_per_cell_per_Gy","1000","SSBs_per_Gy_per_diploid_cell","Much more common than DSBs but easily repaired using complementary strand as template; ~25x more SSBs than DSBs; SSBs repaired by BER (base excision repair) in minutes to hours; rarely cause permanent damage","For Chernobyl context: at 1 Gy: 1000 SSBs, 40 DSBs, ~2000 base damages per cell; SSBs repaired so quickly they are generally not the limiting factor in radiation carcinogenesis","Ward 1988; Cadet J 2003 Mutation Res PMID:12649923; BEIR V 1990"
"DNA_base_damage","base_damages_per_cell_per_Gy","2000","oxidized_or_damaged_bases_per_Gy","Oxidized purines (8-oxo-guanine) and pyrimidines; ring-opened bases; formamidopyrimidines; repaired by base excision repair (BER); if unrepaired: G→T transversions (most common); 8-oxo-G lesions specifically produced by OH• radical from water radiolysis","Radiation-induced base damage is primarily from hydroxyl radical (OH•): H2O + radiation → H2O+ + e-aq → OH• in water radiolysis; ~80% of DNA damage via OH•; 20% direct energy deposition on DNA; explains why hydration state affects radiosensitivity","Cadet 2003; Ward 1988; Milligan 1993 Free Radic Res"
"water_radiolysis","primary_products","OH_radical_e_aq_H_H2O2","N/A","At 1 Gy in water: ~0.28 µmol/L OH•; ~0.28 µmol/L eaq; ~0.07 µmol/L H2O2; ~0.06 µmol/L H•; sparsely ionizing gamma radiation (Cs-137 Co-60) produces mostly SSBs and base damage; densely ionizing alpha (Pu Am actinides) produces clusters of damage (DSB clusters) along particle track → harder to repair","This explains why alpha emitters (Pu-239 in hot particles at Chernobyl) are 20x more carcinogenic per Gy than gamma radiation; clustered DSBs overwhelm NHEJ repair; RBE(alpha)=20 for induction of lung cancer (ICRP 122 2013)","von Sonntag 2006 Free-Radical-Induced DNA Damage; ICRU 60; ICRP 122 2013"
"NHEJ_repair_pathway","non-homologous_end_joining","<24_hours_half-time","hours","Dominant DSB repair pathway in G1 (post-mitotic or G1 cells = most somatic cells at any time); fast but error-prone; KU70/KU80 heterodimer binds DSB ends; DNA-PKcs activates; XRCC4/LIG4 ligation; misjoining = translocation = oncogenic potential; also called 'fast component' of repair kinetics","NHEJ operates throughout cell cycle but especially G1; Cancer risk from radiation = NHEJ misrepair → translocations → proto-oncogene activation or tumor suppressor inactivation; specific example: t(2;5) in ALCL from misrepaired DSBs; Chernobyl papillary thyroid cancers show specific inv(10)(q11.2q21) rearrangement (RET/PTC)","Lieber MR 2010 Annu Rev Biochem PMID:20192759; Bhatt 2012 Nature Immunol"
"HR_repair_pathway","homologous_recombination","slower_24_to_48_hours","hours","High-fidelity DSB repair using sister chromatid as template; only operates in S and G2 phases (after DNA replication when sister exists); RAD51-dependent strand invasion; ~5x more accurate than NHEJ; important for radiation-induced cancer: BRCA1/BRCA2 deficiency → impaired HR → elevated breast/ovarian cancer risk","HR relevance to Chernobyl: liquidators and contaminated population with BRCA1/2 variants hypothetically at higher radiation-induced cancer risk; no specific studies of this interaction in Chernobyl cohorts identified; general principle of radiation × genetic susceptibility","Symington LS 2011 Nat Rev Mol Cell Biol PMID:22009060; Bhatt 2012"
"RET_PTC_rearrangement","radiation-induced_thyroid_cancer_signature","RET/PTC_inversions_and_translocations","qualitative","Chernobyl-specific thyroid cancer molecular signature: inv(10)(q11.2q21) creates RET/PTC1 or RET/PTC3 gene rearrangement; RET proto-oncogene fuses with CCDC6 (PTC1) or ELE1 (PTC3); papillary thyroid carcinoma in Chernobyl children shows RET/PTC at higher frequency than sporadic adult PTC; this is the molecular link between I-131 beta particle dose to thyroid and cancer initiation","RET/PTC rearrangements specifically arise from radiation-induced DSBs bringing RET and CCDC6 or ELE1 into proximity; beta particle from I-131 deposits dose in small thyroid follicular cell = clustered DSBs in small nucleus → higher probability of misrepair joining distant loci","Nikiforov YE 2003 Endocrine-Related Cancer PMID:14598823; Elisei R 2001; thyroid_cancer_timeseries_REAL.csv"
"bystander_effect","non-targeted_radiation_effect","qualitative","mechanism_and_magnitude","Non-irradiated cells adjacent to irradiated cells show DNA damage (micronuclei, γH2AX foci); mediated by: gap junctions (direct cell-cell communication); secreted signaling molecules (ROS, NO, TGF-β, cytokines); operative in vitro and in vivo in some tissues; potential to increase effective biological range beyond directly irradiated cells","Controversy: bystander effect well-established in vitro; population-level significance at Chernobyl doses uncertain; some models suggest bystander effect explains why LNT underestimates effects at very low doses; others argue it contributes to adaptive response (hormesis); not included in ICRP risk models currently","Mothersill C 2001 Radiat Res PMID:11389803; Prise KM 2009 Nat Rev Cancer PMID:19629072"
"genomic_instability","transgenerational_DNA_instability","qualitative","mechanistic_pathway","Cells descended from irradiated cells show elevated mutation rates many cell divisions later; persists in offspring cells; mediated by: epigenetic changes; oxidative stress; altered DNA methylation; potentially contributes to radiation carcinogenesis at low doses; documented in vitro; animal studies; some liquidator cytogenetic data","If genomic instability is real in vivo at Chernobyl doses: it would explain why cancer risk might be higher than pure DSB model predicts; contested mechanism; UNSCEAR 2012 LOW DOSE report considers it biologically plausible but uncertain at low doses","Morgan WF 2003 Radiat Res PMID:12880536; Kadhim 1992 Nature; UNSCEAR 2012 ANNEX C"
"LET_and_RBE","linear_energy_transfer","0.3_for_Cs137_gamma; ~80_to_100_for_alpha","keV_per_micrometer","Low-LET radiation (Cs-137 662 keV gamma; I-131 beta): ~0.3 keV/µm; sparsely ionizing; primarily SSBs and base damage; High-LET (Pu-239 alpha 5.15 MeV; Am-241 alpha 5.49 MeV; fission neutrons): 80-100 keV/µm; dense ionization track; DSB clusters; high RBE","RBE (Relative Biological Effectiveness): gamma reference = 1; alpha = 20 (ICRP weighting factor wR); neutron = 5-20 (energy dependent); This is why Pu-239 and Am-241 alpha emitters are so concerning as hot particles: same absorbed dose → 20x more DNA damage; hot particle inhalation dose underestimated by dose (Gy) units alone","ICRP 103 2007 Table 2 weighting factors; ICRU 36 1983; fuel_particle_contamination_REAL.csv; dose_conversion_factors_REAL.csv"
