"category","parameter","value","units","date_or_period","context","notes","source"
"site_description","Red_Forest_area","~10","km2","1986_to_present","Pinus sylvestris (Scots pine) forest immediately adjacent to Chernobyl reactor Unit 4 (west and northwest); within 1-3 km","Named for reddish-brown color of dead pine needles killed by radiation in first weeks; approx 400 ha of forest received lethal dose to trees; most highly contaminated terrestrial area in CEZ","OECD-NEA Ch.II; Kashparov 2003; cez_soil_radionuclides_2016_REAL.csv"
"site_description","distance_from_reactor","1_to_3","km","1986_to_present","Red Forest extends from ~1 km to ~4 km northwest of reactor Unit 4; within wind shadow of initial explosion releases","Predominantly downwind direction for initial plume; received highest deposition of non-volatile fuel particles and condensate; Cs-137 deposition ~4000-10000 kBq/m2 in core Red Forest zone","OECD-NEA Ch.II; atmospheric_transport_plume_REAL.csv"
"soil_contamination","Cs137_Red_Forest_mean_soil","412000","Bq_per_kg_dry","2016","2016 Beresford survey; Red Forest habitat mean; top ~10 cm soil","412 kBq/kg = 412000 Bq/kg DM; compared to Coniferous forest outside Red Forest ~50000 Bq/kg and Deciduous ~20000 Bq/kg; 8-20x higher than adjacent forest types","Beresford 2022 PLOS ONE doi:10.1371/journal.pone.0263600; cez_soil_radionuclides_2016_REAL.csv"
"soil_contamination","Cs137_surface_deposition_1986","4000_to_10000","kBq_per_m2","1986_May","Decay-corrected to May 1986; hottest Red Forest locations; includes near-reactor fuel particle deposition","Represents ~50-100 Ci/km2; 3-7x higher than Belarus Zone A mandatory resettlement threshold (1480 kBq/m2); permanently uninhabitable","OECD-NEA Ch.II; contamination_zones_REAL.csv; radiation_dose_limits_REAL.csv"
"soil_contamination","Pu239_240_Red_Forest","86.9","Bq_per_m2","2016_2017","Surface soil 0-20 cm layer; >85% of Pu-239+240 inventory in top 20 cm; 2016-2017 survey","Pu essentially immobile in soil; still present at near-original deposition levels (Pu-239 t1/2=24110yr); dominant near-zone alpha contamination; inhalation risk during soil disturbance activities","EIDC Beresford 2016-2017 dataset; Kashparov 2020 PMID:31419762; fuel_particle_contamination_REAL.csv"
"soil_contamination","surface_soil_concentration_top_4cm","90","percent","2016","~90% of all radionuclide activity (Cs-137 Sr-90 Am-241 Pu-238/239+240) concentrated in top 4 cm soil layer in Red Forest","Explains why superficial soil removal (up to 5 cm) is so effective for remediation; also explains why vehicle/troop disturbance of surface is high-risk activity; Levchuk 2020 validation work used this layering","Beresford 2022 PLOS ONE; Levchuk 2020 PMID:32868094"
"soil_contamination","Sr90_Red_Forest_concentration","20000_to_60000","Bq_per_kg_dry","2016","Estimated range; higher than outer CEZ; fuel particle matrix retains significant Sr-90 fraction; Levchuk 2020 validation data","Sr-90 in Red Forest more particle-bound than in agricultural soils; ~31% still in Type I (U-Zry-Ox) fuel particles in 2015 per Levchuk 2020; dissolution provides slow release to groundwater beneath waste trenches","Levchuk 2020 PMID:32868094; fuel_particle_contamination_REAL.csv"
"soil_contamination","Am241_Red_Forest_increasing","growing_since_1986","qualitative","1986_to_2026","Am-241 still INCREASING in Red Forest soils due to Pu-241 ingrowth; peaks ~2058.7; currently ~0.077 PBq total in all CEZ soils","Red Forest has highest Pu-241 deposition density → highest Am-241 ingrowth per unit area; Am-241 59.5 keV gamma allows aerial survey monitoring of ingrowth","am241_ingrowth_timeseries_REAL.csv; Beresford 2022 PLOS ONE"
"tree_disposal_1986","felled_trees_burial","shallow_trenches","qualitative","May_to_August_1986","Dead pine trees felled by bulldozers; buried in shallow unlined trenches 2-3 m deep in Red Forest; covered with sand and soil; replanted with pine saplings","Created near-surface radioactive waste burial sites; trenches now serve as significant groundwater contamination sources; Sr-90 from buried wood/debris dissolving into groundwater; trenches visible on aerial images","OECD-NEA Ch.I; Historical record; Kashparov waste management studies"
"tree_disposal_1986","trench_groundwater_Sr90","3_to_4_orders_magnitude","fold_above_drinking_water","1986_to_present","Sr-90 in groundwater beneath Red Forest waste burial trenches exceeds WHO drinking water standard by 3-4 orders of magnitude (10,000-100,000x)","Principal source of high Sr-90 groundwater contamination in north CEZ; slow dissolution from buried organic material and soil; natural attenuation insufficient at trench sites; active remediation needed","Bugai 2022 Sci Rep doi:10.1038/s41598-022-22842-5; groundwater_timeseries_REAL.csv"
"current_dose_rates","Red_Forest_dose_rate_typical","10_to_50","µSv_per_hour","2016_to_2026","Measured dose rates WITHIN Red Forest; varies by location; highest near reactor-proximal areas","Compared to Prypiat city ~5 µSv/h and Chornobyl city ~0.2 µSv/h; Red Forest 2-10x Prypiat; any worker entry requires dosimetry; annual dose if present 8hr/day = 29-146 mSv/yr (1.5-7x occupational limit)","Modern monitoring CEZ; Beresford 2022; modern_monitoring_REAL.csv"
"current_dose_rates","Russian_trenches_2022_dose_rate","elevated_significantly","qualitative","2022","Russian troops dug trenches in Red Forest area Feb-Mar 2022; surface contamination disturbance; estimated doses to exposed troops","Trench-digging in top 4 cm (where 90% activity concentrated) = massive dust/soil disturbance; inhalation and external dose to personnel; exact doses to Russian soldiers not published; IAEA expressed serious concern","NEA/CRPPH/R(2024)3; cez_research_2022_2025_REAL.csv"
