"action","location_or_scale","date_or_period","method","effectiveness","doses_to_workers","cost_or_resources","source"
"reactor_fire_suppression","Unit_4_reactor","1986-04-26_to_1986-05-09","5100 tonnes sand boron lead dolomite clay dropped by 1800+ helicopter sorties (Mi-26 Mi-8); sand to smother fire; lead for radiation shielding (partially counterproductive at high temp); boron carbide for neutron absorption; nitrogen injection final extinguishment","Fire extinguished May 9-10; releases reduced but not eliminated until full extinguishment; sand/dolomite more effective than lead drops; boron neutron absorption largely irrelevant (fission already ended)","Helicopter pilots: 1-30 mSv per sortie; some received several hundred mSv over multiple sorties; 3 pilots killed in helicopter crash April 26 (not from radiation); see unscear_liquidator_doses_REAL.csv","5100 tonnes materials; 1800+ sorties; Mi-26 helicopters at €100k+ operating cost per sortie (approximate)","INSAG-7; chernobyl_accident_chronology_REAL.csv; unscear_liquidator_doses_REAL.csv"
"NPP_roof_decontamination","Unit_3_turbine_hall_roof_and_Unit_3_Unit_4_connecting_roofs","1986_May_to_August","Remote robots attempted first (Joker; STR-1; Mobot-ChHV; German Joule robots): all failed in high radiation field (electronics destroyed); Human 'biorobots' used: workers given 1-3 minutes each to shovel graphite/fuel fragments off roof; doses 0.1-0.3 Gy per 1-3 minute shift","Roof decontaminated by October 1986; graphite and fuel fragments removed; dose rates on Unit 3 roof reduced from >30 Sv/hr to ~0.1-1 Sv/hr","Workers received 100-300 mGy in single 1-3 minute shift; total dose to all roof workers: 80,000 man-mGy estimated; heaviest doses of any cleanup task","~3700 workers on roof cleanup phase; remote robot procurement costs unknown; total ~€50M equivalent in 1986 prices (rough)","INSAG-7; OECD-NEA 1996; Sich 1994; retrospective_dosimetry_methods_REAL.csv"
"soil_removal_30km_zone","exclusion_zone_and_Prypiat","1986_to_1987","Top 5-15 cm of soil removed by scrapers and bulldozers; soil loaded into dump trucks; taken to 800+ burial sites within CEZ; some sites properly lined; most not lined; removed soil volume: estimated 2.5 million m³; decontaminated area surface: ~500 km² priority areas","Reduced ambient dose rates by factor 3-10x in treated areas immediately; however in Red Forest and highest-contamination areas, soil removal was impractical; buried waste now leaches Sr-90 to groundwater; see red_forest_waste_sites_REAL.csv","Workers: 3-50 mGy per shift typical; cumulative doses for soil workers: 50-300 mGy over months","~2.5 million m³ soil; 800+ burial sites; equipment (scrapers bulldozers dump trucks) decontaminated or buried after use; see chernobyl_economic_impact_REAL.csv for total costs","IAEA Environmental Consequences 2003; red_forest_waste_sites_REAL.csv; OECD-NEA 1996"
"building_decontamination_Prypiat","Prypiat_city_and_villages","1986_to_1987","High-pressure washing; scrubbing of building exteriors; removal of contaminated furniture/materials from buildings; replacement of topsoil in yards; contaminated water collected and deposited; Prypiat buildings decontaminated but residents never returned; some other 30km zone villages partially decontaminated","Prypiat dose rates reduced from 1-10 mSv/h (1986) to 0.1-0.5 mSv/h (post-decontamination); long-term: dose rates crept back up as outdoor soil recontaminated buildings via resuspension and rain; current Prypiat ~5 µSv/h (decontamination effect eroded over 40 years)","Building wash workers: 10-100 mGy typical over multi-week assignments","~30,000 buildings cleaned; high-pressure water systems; chemical decontaminants; costs part of $12.6B Soviet 1986-1989 total expenditure","OECD-NEA 1996; IAEA 2003; chernobyl_economic_impact_REAL.csv"
"Chernobyl_city_decontamination","Chernobyl_city_14km_south","1986","Road paving; soil removal; building cleaning; city retained as administrative center for exclusion zone; dose rates reduced to allow daytime worker occupation; ~13000 original residents never returned","Chernobyl city dose rates: 1986 ~2-5 µSv/h immediately post-accident (lower than Prypiat due to greater distance); after decontamination ~0.1-0.5 µSv/h; current (2026): 0.209 µSv/h (SaveEcoBot)","Lower doses than Prypiat cleanup; city maintained for worker accommodation","Part of overall exclusion zone management costs; Chernobyl city serves as administration/infrastructure hub","modern_monitoring_REAL.csv; chernobyl_economic_impact_REAL.csv"
"water_supply_protection_Kyiv","Kyiv_water_intake_at_Desnyansko_Starohradske_reservoir","1986_May","Sand filter beds installed at Kyiv water intake to intercept Cs-137 on suspended particles; underground water intake from Desna River (alternative to Dnieper) developed; WHO technical assistance on removing radionuclides from water treatment","Cs-137 removal: >95% by coagulation-sedimentation-filtration; Sr-90 removal: 20-50% (dissolved = harder to remove); Kyiv tap water remained below WHO limits throughout crisis despite elevated raw water; see dnieper_river_contamination_REAL.csv","Water plant workers: minimal doses; treated as routine occupational exposure","Emergency filter installation: rapid; permanent upgrade to Kyiv water treatment; costs included in Ukrainian government Chernobyl expenditure","dnieper_river_contamination_REAL.csv; IAEA Water Safety 2006; chernobyl_economic_impact_REAL.csv"
"flood_control_berm_cooling_pond","around_Chernobyl_cooling_pond_and_NPP","1986_to_1987","Protective earthen berm (~7m high) built around cooling pond to prevent Sr-90 contaminated water escaping to Prypiat River and Dnieper during flooding; sheet piling installed along riverbank; groundwater pumping to intercept contaminated plume from NPP","Partially effective: berm prevented major surface water escape during normal conditions; however flood events 1988 and 1991 still showed elevated Sr-90 in Pripyat River (see dnieper_river_contamination_REAL.csv); 2014 cooling pond drawdown bypassed berm effectiveness","Construction workers: 10-50 mGy over berm construction period","Earthmoving equipment; sheet piling; long-term groundwater pump operation costs; maintenance required indefinitely","dnieper_river_contamination_REAL.csv; Bugai 2022 Sci Rep; IAEA Environmental Consequences 2003"
"agricultural_countermeasures","Belarus_Ukraine_Russia_contaminated_farms","1986_to_present","K fertilizer application (reduces Cs-137 plant uptake 33-50%); liming (reduces Sr-90 uptake by raising soil pH and Ca²⁺ competition); crop restriction zones; supply of uncontaminated food to contaminated areas; livestock screening before slaughter; prohibition of milk use from certain areas; annual monitoring","K fertilizer + liming: most cost-effective long-term intervention; reduces Cs-137 in grain 30-70% and Sr-90 30-50%; must be applied annually; by 2000: significant fraction of contaminated farmland returned to use with these measures; grain Sr-90 exceedances still occurring 2011-2019 near CEZ perimeter (ukraine_crop_contamination_REAL.csv)","Farmers: occupational exposure from working contaminated soil; typically <10 mSv/yr after initial years","Belarus spent 22.3% national budget 1991 on Chernobyl (includes agricultural support); annual K fertilizer and liming programs ongoing; see chernobyl_economic_impact_REAL.csv","soil_plant_transfer_factors_REAL.csv; ukraine_crop_contamination_REAL.csv; decontamination_countermeasures_REAL.csv; chernobyl_economic_impact_REAL.csv"
"selective_caesium_sorbent_boli","oral_administration_to_cattle","1990s_to_present_in_contaminated_areas","Hexacyanoferrate (Prussian Blue analog) 'boli' (slow-release capsules) given to cattle and sheep; boli slowly dissolve in rumen; Fe-Fe(CN)6 binds Cs-137 in rumen; prevents Cs-137 absorption into blood; reduces milk/meat Cs-137 by 70-90%; proven countermeasure for farms in contaminated areas UK, Scandinavia, Russia","Very effective: milk Cs-137 reduced by factor 3-10 in treated cattle; widely used in UK Cumbria/Wales farms after 1986; UK adopted as standard for farms above limit; Prussian Blue oral given to humans to reduce Cs-137 after internal contamination (also used for Cs-137 ARS treatment at Goiania Brazil 1987)","None: Prussian Blue is pharmacologically inert; approved as drug for cesium poisoning","Low cost: few dollars per boli; logistically simple; most cost-effective single countermeasure per mSv dose avoided","food_agricultural_contamination_REAL.csv; decontamination_countermeasures_REAL.csv; soil_plant_transfer_factors_REAL.csv"
"CEZ_waste_site_management","800_plus_waste_sites_in_CEZ","1986_to_present","800+ radioactive waste burial and temporary storage sites created 1986-1991: include soil burial pits; building debris dumps; contaminated equipment graveyards; vehicle graveyards (1600+ vehicles at Rossokha site); some sites with partial containment; most unlined; ongoing monitoring; plans for consolidation in permanent repository","Partial containment: most sites are unlined pits; Sr-90 leaches to groundwater; contamination migrating downgradient; 'zombie' contamination pathway persists indefinitely; formal radioactive waste repositories not yet built (required by 2064 decommission plan)","Workers involved in waste site construction: high doses 1986-1987; current monitoring workers: low doses with PPE","~2.5 million m³ waste volume; no formal cost estimate for permanent repository (not yet built); interim monitoring ~$5M/year","red_forest_waste_sites_REAL.csv; DAZV Ukraine; chernobyl_economic_impact_REAL.csv"
