"parameter","value","units_or_date","period_or_context","details","safety_assessment","source"
"ZNPP_location_and_specs","Enerhodar_Zaporizhzhia_Oblast_Ukraine","N/A","reference","Zaporizhzhia Nuclear Power Plant (ZNPP): 6 × VVER-1000 reactors (1000 MWe each); total capacity 6000 MWe; Europe's largest nuclear power plant; on Kakhovka Reservoir shore of Dnieper River; operated by Energoatom (Ukrainian state nuclear operator); 5400 employees; began operations 1984-1995 (Units 1-6)","VVER-1000 design: negative void coefficient; containment buildings; fundamentally safer reactor physics than RBMK; see reactor_types_physics_comparison_REAL.csv","IAEA Update Report ZNPP 2022-2025; Energoatom; WNA Ukraine"
"Russian_attack_and_occupation","2022-03-04","date","2022","Russian armed forces attacked and occupied ZNPP site March 4 2022; fire visible in training building during attack; Ukrainian staff held at gunpoint; first nuclear plant seized in active combat in history; IAEA expressed 'serious concern' immediately; all 6 units under Russian military control","No reactor damage in initial attack; fire was in training building adjacent to reactor; containment integrity maintained; however all seven IAEA nuclear safety principles subsequently violated according to IAEA report November 2022","IAEA Update 11-2022; multiple news sources March 4 2022; NEA/CRPPH/R(2024)3"
"IAEA_safety_principles_violated","all_7_IAEA_principles","qualitative","November_2022_IAEA_assessment","IAEA published report November 2022 stating all 7 principles required for nuclear safety were being violated at ZNPP: (1) physical integrity of structures; (2) functionality of safety/security systems; (3) AC power supply; (4) site logistics; (5) fire protection; (6) radiation monitoring and environmental protection; (7) reliable communications","Unprecedented: all 7 principles violated simultaneously at an operating nuclear plant; IAEA Director General Grossi personally led multiple missions to ZNPP 2022-2024; permanent IAEA monitoring team stationed on-site","IAEA Report NE/ZNPP/2022/3; IAEA Director General Grossi statements Nov 2022"
"external_power_supply_threats","multiple_outages","qualitative","2022_to_2024","External power supply to ZNPP repeatedly severed during fighting: supply line cut multiple times; plant operated on last remaining external 750 kV line on at least 5 separate occasions; reactor safety systems require external power to run pumps for decay heat removal; backup diesel generators available but finite fuel supply","Loss of ALL external power = station blackout = Fukushima scenario; backup diesels provide ~10-15 days emergency cooling; after that: spent fuel pool temperatures rise → steam/hydrogen → potential release; shelling near high-voltage powerlines created repeated near-misses","IAEA Update reports ZNPP 2022-2024; NEA War Impact on Chernobyl report; multiple IAEA situation reports"
"reactor_shutdown_status","all_6_units_cold_shutdown","N/A","2022-09_to_present","All 6 ZNPP reactors placed in cold shutdown by September 11 2022; decision made by Energoatom to maximize safety margin; Units 1-3 in cold shutdown for maintenance; Units 4-6 initially maintained in warm shutdown for on-site heating water; by late 2022: all units in cold shutdown or hot condition for minimum cooling","Cold shutdown significantly reduces decay heat load and safety risk; however spent fuel pools still require cooling; 2000+ spent fuel assemblies in on-site spent fuel pools generate ~5-10 MW total decay heat requiring continuous cooling","Energoatom statements; IAEA Update Sep-Nov 2022"
"spent_fuel_pool_safety","approximately_2000_plus_assemblies","fuel_assemblies","2022_to_present","ZNPP spent fuel pools: ~2000+ spent fuel assemblies from prior operations; plus fresh fuel (unirradiated) stored on-site; total radioactive inventory in pools substantial; pool cooling requires electric power; loss of cooling → heating → boiling → exposed fuel → zirconium fire scenario (same concern as Fukushima SFP #4)","As of 2024: spent fuel pools continuously monitored by IAEA team; cooling systems maintained; no elevated radiation readings near pools; main risk remains power supply reliability","IAEA ZNPP monitoring reports 2022-2024; WNA Ukraine"
"shelling_incidents_documented","multiple_confirmed_incidents","qualitative","2022_to_2024","Multiple confirmed shelling incidents at or near ZNPP: August 5-6 2022 (shelling near Unit 4 spray pond; nitrogen/oxygen supply lines hit); September 2022 (high-voltage tower hit; 3 units lost external power); November 2022 (shelling near Units 1-4; cooling pond affected); May 2024 (drone attack on Unit 6 dome; external damage but no penetration)","Each shelling incident raised risk of: (1) direct reactor damage; (2) loss of cooling power; (3) staff injury/evacuation; all incidents so far have not resulted in core damage or significant radioactive release; ZNPP containment buildings robust to conventional weapons","IAEA Update reports; Ukrainian government; NEA 2024; GC Human Rights 2023"
"Kakhovka_dam_breach_impact","cooling_pond_level_drop","meters","2023-06-06","Kakhovka dam breach June 6 2023 (see dnieper_river_contamination_REAL.csv): ZNPP sits on Kakhovka Reservoir; after dam breach reservoir level fell; ZNPP cooling pond (separate; on-site) maintained adequate water level from wells and groundwater; IAEA confirmed no safety threat from dam breach to reactor cooling","ZNPP has on-site cooling ponds and wells independent of Kakhovka Reservoir; the cooling reserve was assessed sufficient; monitoring intensified after breach; no radiological release associated with dam breach at ZNPP","IAEA Update June 2023; dnieper_river_contamination_REAL.csv; EBRD 2023"
"staff_situation","Energoatom_staff_under_occupation","approximately_5400_original","2022_to_present","Approximately 5400 Ukrainian Energoatom staff at ZNPP before occupation; some left/evacuated; those remaining work under Russian military presence; IAEA documented concerns about staff coercion; some staff arrested/detained and later released; knowledge continuity concerns as some experienced operators departed","Staff safety and voluntary departure creates knowledge transfer risk; operating nuclear plant with depleted/stressed workforce is safety concern; IAEA repeatedly called for protection of nuclear staff in conflict zones; IAEA nuclear safety convention obligations","IAEA Update reports; Energoatom statements; IAEA Director General Grossi statements"
"radiation_monitoring_status","continuous_on-site_IAEA_monitoring","qualitative","2022-09_to_present","IAEA established permanent on-site presence at ZNPP from September 2022; team of 2-3 IAEA experts rotates on-site continuously; monitors: ambient dose rates; reactor parameters; spent fuel status; external power supply; equipment condition; regular reports to IAEA Director General and members","IAEA monitoring documented in weekly update reports (available publicly); no significant radioactive releases detected by IAEA monitors as of early 2025; highest radiological risk remains external power supply reliability","IAEA Update NE/ZNPP series 2022-2025; IAEA Director General weekly updates"
