"parameter","value","units_or_date","context","details","significance","source"
"INSAG_7_root_cause_finding","safety_culture_deficiency_and_reactor_design_flaws","qualitative","1992_INSAG_report","INSAG-7 (1992 revision of INSAG-1): identified two co-equal root causes: (1) the specific design of the RBMK (positive void coefficient + graphite tip effect) that made the reactor physically capable of prompt criticality; (2) violations of operating procedures that reflected a broader safety culture deficiency in Soviet nuclear industry; INSAG-7 was revision of 1986 INSAG-1 which had blamed operators exclusively; 1992 revision acknowledged design fault","Prior to INSAG-7: Soviet narrative blamed operators/human error exclusively (Bryukhanov/Fomin/Dyatlov convicted); INSAG-7 rehabilitated partly because reactor design was a precondition for accident; both design and culture are necessary causes; without positive void coefficient, same operator actions would not have caused explosive excursion; without ORM=8, graphite tip effect alone insufficient","INSAG-7 IAEA Safety Series 75 1992; Shlyakhter 1992; Legasov posthumous memoirs 1988"
"Legasov_memoirs","published_posthumously_1988","N/A","1988","Valery Legasov (Soviet Academy of Sciences; IAEA Vienna 1986 presenter; Chernobyl investigation leader): committed suicide April 27 1988 (2nd anniversary of accident); left tape-recorded memoirs detailing: systemic safety culture failures; suppression of earlier nuclear accidents (1982 Unit 1 partial meltdown); pressure from ministry to resume operations; absence of safety review bodies; institutional corruption; inability to raise safety concerns","Legasov's memoirs = primary historical document on Soviet nuclear safety culture; documented: (1) nuclear industry operated under secrecy; no independent safety regulator (GOSATOM = both promoter and regulator); (2) known RBMK design flaws not corrected due to production pressures; (3) safety analyses not peer-reviewed; (4) operators never fully informed of positive void coefficient danger","Legasov memoirs (audio tapes) 1988; translated in Schmid 2015 Producing Power; Kopchinsky 1996"
"GAN_regulatory_structure_1986","Gosatomenergonadzor_not_independent","qualitative","1986_Soviet_context","Soviet nuclear regulatory structure April 1986: Gosatomenergonadzor (GAN) = nuclear safety regulator; however reporting to same Ministry of Medium Machine Building that built and operated reactors; no independence between operator/designer and regulator; GAN staff were former plant staff with personal relationships; safety concerns could not be escalated without career consequences; no independent review of RBMK void coefficient implications","Regulatory capture = classic precondition for nuclear accidents (see also: NRC/NUMEC in US, UK AEA at Windscale); Soviet version extreme due to secrecy culture; GAN restructured after Chernobyl to report to separate ministry; Ukrainian SNRIU established as fully independent regulator post-1991; IAEA Safety Standards now require regulator independence from promoter","INSAG-7 Section 3; Kopchinsky Steinberg 1996; IAEA GS-R-1 independence requirements"
"WANO_establishment_1989","direct_Chernobyl_response","N/A","1989-07","World Association of Nuclear Operators (WANO) established July 1989: direct organizational response to Chernobyl; mission: maximize nuclear safety worldwide through peer exchange; membership: every nuclear operating organization in world (>130 members); peer reviews: 4-person team from different utilities spends 2 weeks at plant; identifies performance indicators; follow-up visits verify improvements; Moscow Centre; Atlanta Centre; Paris Centre; Tokyo Centre","WANO peer reviews documented systematic safety improvements at post-Soviet NPPs 1990-2010; common finding at Ukrainian/Russian plants 1990s: lack of operator questioning attitude; procedure adherence culture; weak corrective action programs; 2000s: significant improvement; WANO review findings not publicly released (operator confidentiality); effectiveness demonstrated by 30-year post-Chernobyl accident-free record at VVER plants","WANO establishment documents 1989; Kemeny 2010 Nucl Eng Int; NEI magazine; IAEA INSAG-15 2002"
"defense_in_depth_IAEA_concept","5_barriers_concept","N/A","IAEA_INSAG_10","IAEA Defense in Depth (INSAG-10 1996): 5 physical barriers: (1) UO2 fuel matrix (retains fission products within crystal structure); (2) Zircaloy fuel cladding (metallic tube containing fuel pellets); (3) reactor pressure vessel and primary circuit; (4) containment building; (5) exclusion zone / emergency planning zone; each barrier must be independently effective; multiple failures required for release to environment","Chernobyl violated ALL 5 barriers simultaneously: (1) fuel melted and fragmented; (2) cladding ruptured (steam/mechanical); (3) vessel lid blown off by explosion; (4) NO containment building on RBMK; (5) exclusion zone not established for 36 hours (Pripyat evacuation 36hr delay); VVER-1000 at ZNPP has containment (barrier 4) = important difference; see reactor_types_physics_comparison_REAL.csv","IAEA INSAG-10 1996; INSAG-7 Section 2; defense-in-depth concept; zaporizhzhia_npp_2022_2025_REAL.csv"
"Pripyat_evacuation_delay","36_hours","hours","1986-04-27_14:00","Pripyat evacuation: population 49,360; evacuation decision made 36 hours after accident (April 27 at 14:00); residents exposed all night and morning to plume overhead; thyroid doses to children greatly increased by delay; Soviet officials feared panic; evacuation completed in 2.5 hours using 1200 buses; residents told it would be temporary 3 days (became permanent); 72 hours before Chernobyl town (14,000 people) evacuated","36-hour delay = additional 36 hours of I-131 inhalation exposure to children; thyroid dose to infants in Pripyat would have been ~30-50% lower if evacuated at 01:23; shows direct health cost of safety culture that prioritized secrecy over public protection; 30km zone declared April 27; 30km zone insufficient (contamination reached 60km in NW sector)","INSAG-7; Mould 2000 Chernobyl Record; Rich 2019 JAMA; unscear_evacuee_thyroid_doses_REAL.csv"
"Dyatlov_Fomin_Bryukhanov_prosecution","convicted_1987","N/A","1987","Criminal trial: Viktor Bryukhanov (plant director), Nikolai Fomin (chief engineer), Anatoly Dyatlov (deputy chief engineer/experiment supervisor), plus 3 others; tried 1987; sentenced: Bryukhanov and Fomin 10 years each; Dyatlov 10 years; charges: criminal negligence; safety violations; charges specifically for: conducting test below minimum power; withdrawing too many rods (ORM=8); disabling safety systems; operators Aleksandr Akimov and Leonid Toptunov died of ARS; could not be charged","INSAG-1 (1986) fully blamed operators (Dyatlov decision to continue test at low power with ORM=8); INSAG-7 (1992) partially rehabilitated by acknowledging reactor design fault; Dyatlov to end of life maintained accident caused by reactor design flaw (void coefficient) not operator error; both INSAG-7 conclusion and Dyatlov claim partially correct; accident required BOTH operator action AND design flaw","INSAG-7; Marples 1988 Chernobyl; Read 1993 Ablaze; Dyatlov 1992 J Sov Nucl Power"
"Chernobyl_operators_knowledge_void_coefficient","operators_not_informed_of_positive_void","qualitative","1986","INSAG-7 finding: Chernobyl operators not fully informed that RBMK had positive void coefficient at low power and that AZ-5 SCRAM would produce positive reactivity spike from graphite tips; reactor physics manual stated nominal void coefficient but not the low-power condition where it became strongly positive; operators trusted reactor protection systems (AZ-5) without knowing AZ-5 could cause accident","Operators pressing AZ-5 believing it would safely shut down reactor — and reactor excursion resulted — is paradigmatic example of safety culture failure where operators are not given full information about machine behavior; post-1986: all RBMK operators explicitly retrained on: positive void coefficient magnitude at low power; graphite tip effect; new operating limits; ORM minimum 15→30 rods","INSAG-7 Appendix; Nikolaev 1989; Kopchinsky 1996; rbmk_void_coefficient_physics_REAL.csv"
"Chernobyl_safety_test_history","4th_attempt_at_test","N/A","1982-1986","The turbine run-down safety test (using residual turbine kinetic energy to power coolant pumps during SCRAM) had been attempted 3 times before: 1982 (Unit 3; test failed to complete); 1984 (Unit 3; failed); 1985 (Unit 3; failed); 1986 attempt was 4th attempt (Unit 4); each failure prompted design modifications to test procedure; test procedure was developed by Donetsk energy enterprise (not nuclear engineers); not reviewed by reactor designer (NIKIET); not reviewed by nuclear regulator (GAN)","Test procedure not reviewed by reactor designer = INSAG-7 safety culture failure; non-nuclear engineering enterprise writing nuclear safety test procedure without reactor physics input; 3 prior failures that did not trigger comprehensive safety review; running test at night when management oversight minimal; these procedural factors = preconditions for accident","INSAG-7; chernobyl_accident_chronology_REAL.csv; Shlyakhter 1992; Read 1993 Ablaze"
"post_Chernobyl_IAEA_safety_standards","IAEA_strengthened_after_1986","N/A","1986-2010","Post-Chernobyl IAEA safety standard evolution: 1986: IAEA Convention on Early Notification of Nuclear Accident; 1987: IAEA Convention on Nuclear Safety consultations begin; 1994: Convention on Nuclear Safety (CNS) adopted (entered force 1996); requires signatory states to report on nuclear safety; periodic peer reviews; 1999: IAEA INSAG-15 Safety Culture (refined concept); 2009-2011: IAEA Comprehensive Nuclear Fuel Cycle review; 2013: IAEA Action Plan on Nuclear Safety (post-Fukushima strengthening)","Chernobyl directly created modern international nuclear safety architecture; IAEA went from advisory/information-sharing role to setting binding safety standards through CNS; Convention on Nuclear Safety has 89 parties (2025); requires regular national reports + peer review; Ukrainian SNRIU reports under CNS framework; ZNPP situation requires new legal framework for occupied nuclear facilities","IAEA CNS text 1994; IAEA INSAG-15; INSAG-7; international_response_1986_REAL.csv"
