"modification_category","modification","implementation_year","reactor_applicability","before_value","after_value","units","physics_rationale","source"
"graphite_tip_effect","Reduced_graphite_displacer_length","1986","All_RBMK_reactors_USSR","+2 to +3 beta","<+0.5 beta","positive_reactivity_units","Shortened graphite displcer reduced positive reactivity insertion when control rod inserted; graphite tip effect was primary trigger of April 26 excursion (added +2-3 beta on AZ-5 press)","INSAG-7; WNA; post-accident RBMK modifications"
"void_coefficient","Increased_fuel_enrichment_from_2.0_to_2.8_percent","1987","All_operational_RBMK_reactors","+5 to +8 pcm per percent_void","+1 to +2 pcm per percent_void","void_reactivity_coefficient","Higher U-235 enrichment reduces sensitivity to void coefficient; more fissile material means moderator not needed as much → positive void coefficient magnitude reduced; additional negative Doppler coefficient at higher temperatures","INSAG-7 Table 5; WANO; WNA"
"void_coefficient","Added_additional_absorber_rods_in_core","1986","RBMK-1000","211 total rods","211 + 80 additional fixed absorbers","rods","Added 80 additional fixed absorber rods to reduce steady-state void coefficient; absorbers increase negative reactivity base; reduce void coefficient by inserting neutron poison in core without disturbing control rods","INSAG-7; WANO"
"ORM_operating_reactivity_margin","ORM_minimum_increased","1986","All_RBMK","15","30","rod_equivalents","Minimum ORM increased from 15 to 30 rod-equivalents after it was understood that ORM=8 contributed to loss of control. Higher ORM ensures more negative reactivity available for emergency shutdown. ORM=8 at Chernobyl meant insufficient neutron-absorbing rods could be inserted quickly.","INSAG-7; WNA; post-accident modifications"
"scram_time","Control_rod_insertion_speed_increased","1986","RBMK-1000","18","12","seconds_full_insertion","Faster rod insertion (12s vs 18-20s) reduces the time window during which graphite tips cause positive reactivity pulse; does not eliminate effect but reduces duration; delayed neutron fraction beta~0.005 means any prompt criticality still milliseconds-fast so faster rods help only at subcritical","INSAG-7 post-accident modifications; WANO"
"void_coefficient_regime","Power_operation_limit_increased","1986","RBMK-1000","700","700","MWt_minimum_operating_power","Operators prohibited from operating below 700 MWt (about 22% of rated power) in normal operation. Below 700 MWt positive void coefficient dominates over Doppler negative coefficient making reactor unstable. Chernobyl test was at 200 MWt = 6% power = deep in unstable regime. This operational limit was already in place but VIOLATED.","INSAG-7; safety analysis reports"
"reactor_design","Short_fuel_assembly_design_changes","1987","New_RBMK_builds_and_refuel","original_geometry","modified_absorber_follower_geometry","qualitative","Modified fuel assembly geometry to reduce void coefficient; specific design details classified in USSR/Russia but involved reducing moderator-to-fuel ratio in certain zones to reduce the positive component of void reactivity","INSAG-7; WANO post-accident safety"
"comparative_physics","BWR_void_coefficient","1986","Boiling_Water_Reactors_Western","negative_always","negative_always","void_reactivity_coefficient_sign","Western BWRs also use water as moderator but have NEGATIVE void coefficient; if water boils: fewer thermal neutrons → less fission → power drops (inherently stable). Vs RBMK: graphite moderator remains even if water boils → void coefficient positive at low power. Core design determines stability.","IAEA safety guidelines; reactor physics texts"
"comparative_physics","PWR_void_coefficient","1986","Pressurized_Water_Reactors_Western","negative_always","negative_always","void_reactivity_coefficient_sign","PWRs: water is both moderator AND coolant; if coolant boiled → complete loss of moderation → reactor shuts down (very strongly negative void coefficient). No graphite moderator means no reactivity source if coolant lost. Fundamental design difference from RBMK.","IAEA safety guidelines; reactor physics"
"containment","RBMK_no_containment_structure","1986","RBMK_design","no_containment_building","partial_structures_added_to_newer_RBMK","qualitative","RBMK had no Western-style reinforced containment building; Soviet design assumed separate confinement of coolant circuits; massive pressure tubes (1661 of them) were individual pressure boundaries; explosion blew off 1000t reactor lid and destroyed all confinement; Western PWR/BWR have 50-100cm thick reinforced containment","INSAG-7; IAEA INSAG-3; OECD-NEA"
"fleet_status","RBMK_reactors_shutdown_post_Chernobyl","1991","USSR_then_states","17","11","operating_reactors","17 RBMK reactors operating at time of accident; 6 shut down 1990-2004 (mostly Lithuanian RBMK-1500 Ignalina; Lithuania required to close as EU membership condition); 11 remain in Russia as of 2024 at Leningrad (4x RBMK-1000) and Smolensk (3x) and Kursk (4x)","WNA; IAEA PRIS; WANO"
"fleet_status","RBMK_reactors_operating_2024","2024","Russia","","11","operating_reactors","11 RBMK-1000 reactors still operating in Russia as of 2024; all received post-Chernobyl modifications; extended to 45-60 year design lives; all have higher enrichment (2.8%), shorter graphite tips, higher ORM requirements, faster SCRAM","WNA; IAEA PRIS 2024"
"root_cause_determination","INSAG-7_1991_revised_attribution","1991","RBMK_design","INSAG-1_1986_blamed_operators","INSAG-7_1991_equally_blamed_design","qualitative","INSAG-1 (1986) blamed primarily operators for violating procedures. INSAG-7 (1991) revised: BOTH design flaws (positive void coefficient, graphite tip effect, no containment) AND operator violations were necessary causes. Neither alone was sufficient; both together made accident possible.","INSAG-7 1991 doi:IAEA/INSAG-7"
"prompt_criticality_physics","Beta_delayed_neutron_fraction","1986","RBMK_and_all_reactors","0.0065","0.0065","beta_effective_fraction","If reactor is prompt critical (reactivity > beta = 0.65%), it responds on prompt neutron lifetime ~10 microseconds → mechanical control impossible. Chernobyl excursion: reactivity likely +7-10 beta above critical = deep prompt supercriticality. RBMK beta is relatively low because of U-235 fission cross section and neutron spectrum.","Nuclear physics; INSAG-7; reactor dynamics textbooks"
"xenon_operational","Xe-135_poison_trap_recognized","1986","RBMK_and_large_reactors","operators_attempted_to_overcome_xenon_pit","procedures_prohibit_operating_in_xenon_pit","qualitative","At 00:28 on April 26 operators lost power to ~30 MWt (xenon pit); Xenon-135 (t1/2=9.2h) had built up to ~3000 pcm poisoning; operators withdrew many rods to overcome this = set stage for ORM=8. Post-accident: RBMK operators prohibited from attempting xenon burnout by rod withdrawal if in deep xenon pit.","INSAG-7; reactor physics; OECD-NEA Ch.I"
