"structure","parameter","value","units_or_date","period_or_date","context","notes","source"
"Object_Shelter","construction_start","1986_late_April_May","date","1986-04-27_to_1986-11-30","Construction of Object Shelter (sarcophagus) began within days of the accident; early phase involved helicopter drops of lead dolomite sand boron; concrete pumping to Unit 4 pool and reactor shaft; main structural work began May-June 1986","Sarcophagus construction was the most radiologically hazardous construction project in history; workers measured in minutes per shift near reactor; remote-controlled cranes and dozers used where possible; human workers required for critical connections","OECD-NEA Chernobyl 1996; IAEA Safety Reports Series 2006; Sich 1994 Science"
"Object_Shelter","construction_completion","1986-11-30","date","1986","Object Shelter officially completed November 30 1986; ~7 months from accident to completion; construction involved ~250000 workers in 1986 phase of 600000 total cleanup workers","The 7-month completion was remarkable given radiological conditions; Soviet engineers improvised solutions to unprecedented challenges; building over an active radioactive source; no precedent for this type of work","OECD-NEA 1996; INSAG-7; Soviet documents; IAEA TECDOC-1477"
"Object_Shelter","construction_workers","approximately_250000","persons","1986","~250000 of the ~600000 total Chernobyl liquidators directly involved in Shelter construction in 1986; workers rotated frequently (minutes-to-hours per shift near reactor) to limit doses; dose limit nominally 25 rem (250 mSv) per worker","Soviet records indicate many workers exceeded the 250 mSv limit; retrospective dosimetry (EPR; FISH; RADRUE) shows significant fraction received 300-1000+ mGy; see retrospective_dosimetry_methods_REAL.csv for dose reconstruction challenges","UNSCEAR 2008 Annex D; retrospective_dosimetry_methods_REAL.csv; IAEA Safety Reports"
"Object_Shelter","concrete_volume","400000","tonnes","1986","~400000 tonnes of concrete poured; ~7000 tonnes of steel structures; total structure weight ~1 million tonnes including reactor ruins and rubble within; footprint approximately 200m × 100m; height ~70m above ground","Concrete was poured using modified construction equipment with extended booms; workers could not approach within 100m of reactor face for most operations; quality of concrete work was compromised by remote pouring and radiation effects on workers","IAEA TECDOC-1477; Sich 1994; WNA"
"Object_Shelter","structure_dimensions","200_x_100_m_footprint_70m_height","meters","1986","Approximate external dimensions: 200m east-west (along Unit 3-4 axis); 100m north-south; maximum height ~70m; includes enclosure of reactor building, turbine hall segment, and reactor hall","Exact dimensions vary by measurement reference; reactor hall (central section) is the most radiologically hazardous area; the western wall was the most problematic to seal due to proximity to Unit 3","IAEA TECDOC-1477; EBRD; Novarka NSC design documents"
"Object_Shelter","structural_deficiencies","over_1000_m2_openings","square_meters","1986_to_2016","Object Shelter had >1000 m² of gaps and openings from its 1986 construction; result of remote pouring inability to properly seal joints; gaps allowed: radioactive dust escape; birds nesting inside (further mixing contamination); rain/snow ingress; approximately 900 m³/day of water infiltration through Shelter","Water infiltration = major concern: water dissolves Sr-90 from fuel particles inside; radioactive water leaches to soil and groundwater below; water monitoring wells around shelter perimeter show elevated Sr-90; dust transport outside Shelter is secondary contamination pathway","IAEA TECDOC-1477; Bugai 2022 Sci Rep; EBRD Shelter Fund reports"
"Object_Shelter","roof_condition","deteriorating_corroded_steel_trusses","qualitative","1992_to_2016","Steel roof trusses over Unit 4 central hall deteriorating by 1992; corrosion in high-humidity high-radiation environment; Shelter roof is built partly atop rubble of original Unit 4 roof; structural assessments from 1990s showed collapse risk; 1993: reinforcement of some trusses","Roof collapse scenario was the primary motivating driver for the New Safe Confinement; a roof collapse would release a large pulse of radioactive dust; estimated 2% annual probability of major collapse by 2003 without intervention","IAEA TECDOC-1477; EBRD Shelter Fund; various structural engineering assessments 1997-2006"
"Object_Shelter","radioactive_dust_inventory","qualitative","qualitative","1986_to_present","Interior of Object Shelter contains: fuel particles (hot particles); graphite fragments; corium dust; radioactive concrete dust from reactor explosion; total inventory estimated tens of TBq of fine respirable dust; maintained slightly negative pressure in NSC to prevent outward migration","Dust lofting inside Shelter is triggered by: temperature changes; vibration; any structural movement; NSC design provides containment in case of Shelter collapse and dust release","corium_fcm_physics_REAL.csv; fuel_particle_contamination_REAL.csv; IAEA TECDOC-1477"
"Object_Shelter","water_infiltration_rate","900","m3_per_day","1990s_estimate","Approximately 900 m³/day of water (precipitation) enters Shelter through gaps and roof; water contacts fuel particles and corium; Sr-90 dissolved into water; radioactive water accumulates in basement rooms and leaches to groundwater","NSC installation reduced precipitation ingress to near zero; however water already accumulated inside Shelter remains; active water management systems operate inside NSC; Bugai 2022 shows groundwater Sr-90 plume extending from Shelter to cooling pond","Bugai 2022 Sci Rep doi:10.1038/s41598-022-22842-5; IAEA TECDOC-1477; EBRD reports"
"NSC_New_Safe_Confinement","project_inception","Shelter_Implementation_Plan_1997","date","1997","SIP (Shelter Implementation Plan) launched 1997 by EBRD with 45 donor nations; NSC was largest single sub-project (~€1.5B of €2.1B total SIP budget; NSC design competition won 1997 by Bouygues + Vinci consortium; design finalized 2001-2003","SIP also included: stabilization of Object Shelter structure; demolition of unstable sections; waste management infrastructure; dust suppression systems; monitoring equipment; NSC was the crown jewel of the program","EBRD Shelter Fund; chernobyl_economic_impact_REAL.csv; WNA"
