"parameter","value","units","context","physics_detail","chernobyl_relevance","source"
"RBMK_core_geometry","1661_fuel_channels","N/A","reactor_design","RBMK-1000 core: 1661 pressure tubes (fuel channels) arranged in square lattice; pitch = 250 mm; channel length = 7.0 m active zone; total core height 7.0 m; core diameter ~11.8 m; graphite moderator blocks surround each channel; graphite mass ~1700 tonnes; UO2 fuel mass ~180-190 tonnes; fuel channel contains 2 fuel assemblies end-to-end; channel average power ~5.3 MW; total thermal power 3200 MWth","1661 individual pressure tubes = each can fail independently; RBMK has no single pressure vessel (unlike PWR); advantage: channel failure is local (offline refueling); disadvantage: no common containment; reactor has no pressure vessel dome → containment impossible without major redesign; explains why RBMK explosion ejected all 1661 channels' worth of steam and debris","INSAG-7; Dollezhal Emelin 1983 Sov Phys Dokl; rbmk_fuel_specifications_REAL.csv; reactor_physics_REAL.csv"
"RBMK_moderator_graphite","1700_tonnes_graphite","kg","design","Graphite moderator: 1700 tonnes highly pure nuclear-grade graphite (ash content <0.002%; boron equivalent <0.5 ppm); graphite serves as neutron moderator (slows fast fission neutrons to thermal energies via elastic scattering); graphite melting point 3550°C; sublimation temperature ~3642°C; graphite fire temperature 1986: estimated 1400-2000°C; graphite moderation coefficient: d(k_eff)/d(T_graphite) is negative (Doppler-like; modest effect)","Graphite fire 1986: 400 tonnes of graphite burned; released ~1760 PBq I-131 equivalent energy as fire drove volatilization; fire extinguished with 5100 tonnes helicopter drops (sand, lead, boron carbide, dolomite); graphite NOT the primary reactivity danger → graphite tip effect on control rods was; graphite moderation is what decouples moderating from cooling in RBMK","INSAG-7; Dollezhal 1983; reactor_physics_REAL.csv; rbmk_void_coefficient_physics_REAL.csv"
"thermal_neutron_cross_sections","key_nuclides","barns","reference","Key thermal neutron cross sections (at 0.025 eV; 2200 m/s): U-235 fission = 585 barns; U-235 total = 694 barns; U-238 fission = 0 barns (threshold fission only); Pu-239 fission = 748 barns; Xe-135 absorption = 2.65×10⁶ barns; Sm-149 absorption = 40,100 barns; B-10 absorption = 3840 barns; H-2O absorption = 0.664 barns/molecule; D-2O absorption = 0.00133 barns/molecule; graphite absorption = 0.0045 barns/atom","Xe-135 cross-section 2.65×10⁶ barns = 4,529x larger than U-235 fission cross-section; explains why even trace Xe-135 (ppb levels) causes reactor poisoning; B-10 cross-section 3840 barns = used in control rods; graphite 0.0045 barns (very low absorption) = why graphite is effective moderator; D-2O 500x lower absorption than H-2O = enables natural uranium fuel (CANDU)","NNDC BNL-325; Mughabghab 1984 thermal cross sections; ENDF/B-VIII.0; xenon_135_poisoning_REAL.csv"
"four_factor_formula","k_inf_equals_eta_epsilon_p_f","dimensionless","reactor_criticality_theory","Infinite multiplication factor: k_∞ = η × ε × p × f; where: η = neutrons per absorption in fuel (U-235: η=2.07 at thermal; Pu-239: η=2.11); ε = fast fission factor (~1.05 for RBMK); p = resonance escape probability (~0.85 for RBMK; fuel without water ~0.87); f = thermal utilization factor (~0.93 for RBMK with graphite); k_∞ ≈ 1.70 for U-235 at 2% enrichment in RBMK; actual k_eff = k_∞ × P_NL (non-leakage probability) ≈ 0.998-1.002 at critical","RBMK void effect enters through p and f: removing water increases p (fewer resonance absorptions in water) AND increases f (less competition from water absorption); net effect POSITIVE at Chernobyl enrichment; at higher enrichment 2.8%: p and f balance shifts → void coefficient reduced but still slightly positive; Doppler feedback (U-238 resonance capture) provides negative temperature coefficient for fuel","Lamarsh 1966 Introduction to Nuclear Reactor Theory; Glasstone Sesonske 1967; INSAG-7; rbmk_void_coefficient_physics_REAL.csv"
"delayed_neutron_data","beta_eff_and_precursor_groups","N/A","reactor_kinetics","Delayed neutron data for U-235 thermal fission: β_eff = 0.0065 (6 groups); group 1: t1/2=55s fraction=0.00021; group 2: t1/2=22.7s fraction=0.00141; group 3: t1/2=6.22s fraction=0.00127; group 4: t1/2=2.30s fraction=0.00257; group 5: t1/2=0.61s fraction=0.00075; group 6: t1/2=0.23s fraction=0.00027; mean lifetime ~13 seconds; for Pu-239: β_eff=0.0021 (3.2x smaller; more dangerous)","Delayed neutrons (β=0.0065) give reactor ~seconds to respond mechanically; prompt criticality (ρ>β) means delayed neutrons lost → reactor time constant microseconds → mechanically uncontrollable; RBMK excursion: +7-10β → period ~milliseconds; control rods require ~18-20s for full insertion → irrelevant once prompt critical; β_eff(Pu-239) smaller = Pu-239-bearing RBMK fuel MORE susceptible to prompt criticality","Keepin 1965 Physics of Nuclear Kinetics; Todreas Kazimi; ENDF/B-VIII.0 delayed neutron data; rbmk_void_coefficient_physics_REAL.csv"
"neutron_generation_time","Lambda_RBMK","seconds","reactor_kinetics","Prompt neutron generation time Λ (Lambda): RBMK graphite-moderated thermal reactor: Λ ≈ 0.001-0.002 s (1-2 milliseconds); compare: LWR (water moderated): Λ ≈ 0.00005-0.0001 s (50-100 µs); D2O-moderated: Λ ≈ 0.01 s (10 ms); fast reactor: Λ ≈ 1×10⁻⁷ s; RBMK has LONGER generation time than LWR due to graphite slowing neutrons through additional elastic scattering collisions","Longer Λ in RBMK actually somewhat beneficial for controllability (more time per generation for delayed neutrons to act); however once prompt critical, the longer Λ is irrelevant because the reactor is in prompt supercritical regime where control is impossible regardless; Chernobyl excursion: power doubled every ~few ms; total energy release ~3% of full-power second (but in <3 seconds)","Keepin 1965; Glasstone Sesonske; reactor_physics_REAL.csv; INSAG-7"
"control_rod_worth_RBMK","total_worth_15_to_20_percent_delta_k","delta_k/k","reactivity_control","RBMK-1000 control rod system: 211 rods total; 32 shortened absorber rods; 179 full-length rods; total rod worth = 15-20% Δk/k; AZ-5 (SCRAM) triggers all rods; minimum ORM (Operational Reactivity Margin) = 15 rods equivalent worth required; accident April 26: ORM ≈ 8 rods (violated requirement); ORM=8 means only 8 rods' worth available to shut down reactor vs minimum 15 required","ORM=8 was a DIRECT precondition for accident; with ORM=15: graphite tip effect (+2-3β) might have been overcomes by negative reactivity from rod insertion sooner; with ORM=8: only 8 rods inserting when AZ-5 pressed; their graphite tips created +7-10β before rod absorbers entered core; insufficient absorber worth to counter the excursion; post-accident modification: ORM minimum increased from 15 to 30 rods","INSAG-7; Reactor Physics REAL; rbmk_void_coefficient_physics_REAL.csv; chernobyl_accident_chronology_REAL.csv"
"prompt_neutron_lifetime_excursion","3_seconds_to_maximum_power","seconds","accident_physics","RBMK Unit 4 prompt criticality excursion timing: AZ-5 pressed 01:23:40; graphite tips insert (positive reactivity spike) 01:23:41; reactor goes prompt supercritical (ρ>β) ~01:23:42; power rises from ~200 MWt to 30,000+ MWt in ~3 seconds; first mechanical explosion 01:23:44 (steam explosion/fuel fragmentation); second explosion 01:23:45-47 (possibly prompt criticality excursion or steam/hydrogen); total energy release ~300 GJ (equivalent ~4% of core full-power for 1 second)","Power rose from ~200 MWt to estimated 30,000 MWt (10x rated power) in 3 seconds = 150x power increase; fuel temperature rose from 700°C to >3000°C; zircaloy cladding failure; steam generation; first explosion = steam; second explosion = possibly prompt criticality energy + steam/hydrogen; total thermal energy ~300 GJ = equivalent to ~70 tonnes TNT (non-nuclear explosive equivalent)","INSAG-7; Pakhomov Dubasov 2008 Radiochemistry; Steinberg 2009 Nucl Eng Des doi:10.1016/j.nucengdes.2009.01.020; reactor_physics_REAL.csv"
"Doppler_broadening","negative_temperature_feedback","pcm_per_degree_C","reactor_physics","Doppler effect in U-238 resonance absorption: as fuel temperature increases → thermal motion of U-238 nuclei broadens resonance absorption peaks (quantum mechanical; Breit-Wigner profile); effective absorption cross-section increases at higher temperature → more neutrons absorbed by U-238 (no fission; just capture) → negative reactivity feedback; Doppler coefficient: -2 to -4 pcm/°C (per degree C of fuel temperature); present in ALL uranium-fueled reactors regardless of moderator","Doppler coefficient was operating but INSUFFICIENT to prevent accident at Chernobyl: positive void reactivity (+4-8 pcm/%void) vastly outweighed Doppler (-2-4 pcm/°C) during the excursion; at 30,000 MWt the fuel temperature rise was thousands of degrees per second; Doppler feedback acted but was overwhelmed; Doppler IS sufficient to prevent prompt criticality in modern RBMK because void coefficient is now +0.5-2 pcm (smaller); in LWR Doppler alone prevents criticality","Breit Wigner 1936; Glasstone Sesonske; INSAG-7; rbmk_void_coefficient_physics_REAL.csv"
"neutron_flux_distribution_RBMK","axial_and_radial_peaking","dimensionless_peaking_factor","reactor_physics","RBMK neutron flux distribution: axial flux shape: roughly cosine in normal operation; power peaking at ~3.5m from bottom (center of active zone); radial flux: nearly flat across 11.8m diameter with reflector; actual power peaking factor F_q ≈ 2.5-3.5 (ratio of max to average channel power); Unit 4 April 26: non-uniform flux distribution due to ORM=8 (localized rod patterns); non-uniform xenon distribution from 30 MWt power history","Non-uniform flux with ORM=8 meant: some regions of core had much higher power density than others; when power ramped from 200→500 MWt the xenon was burning out non-uniformly; some channels were near prompt criticality while others were subcritical; this heterogeneous condition made reactor behavior unpredictable; operators were attempting to manage unstable spatial power distribution with insufficient control authority","INSAG-7 Appendix; Dollezhal 1983; chernobyl_accident_chronology_REAL.csv"
