"radionuclide","pathway","food_type","transfer_factor_Fv_low","transfer_factor_Fv_high","units","context","physics_mechanism","notes","source"
"Cs-137","soil_to_plant","cereals_wheat_rye_barley","0.001","0.01","Bq_kg_plant_per_Bq_kg_soil_dry","Temperate agricultural soils; geometric mean ~0.005; highly variable with soil clay content","Cs+ mimics K+ in plant potassium uptake channels; strongly fixed by illite/vermiculite clay minerals in agricultural soils → low bioavailability; addition of K fertilizer competes and reduces uptake 33-50%","Transfer factors decreased >50-fold 1986-1996 due to Cs-137 fixation in clay minerals; early 1986 values much higher before soil fixation occurred","IAEA TRS 472 2010; Nisbet and Woodman 2000 Health Physics PMID:10688450"
"Cs-137","soil_to_plant","leafy_vegetables","0.11","0.30","Bq_kg_plant_per_Bq_kg_soil_dry","Temperate conditions; lettuce spinach cabbage; higher transfer than cereals due to shallow root feeding in organic layer","Higher in leafy vegetables because root-feeding zone overlaps with surface organic horizon where Cs-137 is less fixed; also foliar absorption pathway in first days","Leafy vegetables had highest Cs-137 contamination in May 1986 via direct foliar deposition; post-1986 soil ingestion pathway dominates","IAEA TRS 472 2010; Chernobyl Forum environment group 2005"
"Cs-137","soil_to_plant","root_vegetables","0.01","0.05","Bq_kg_plant_per_Bq_kg_soil_dry","Root vegetables (potato carrot beet); intermediate between cereals and leafy; skin contamination important","Root penetration into clay-rich subsoil where Cs more fixed; direct surface contamination of skin requires washing; inner flesh lower activity than skin","Potato in Belarus/Ukraine: Cs-137 in skin 3-5x higher than inner flesh; peeling reduces intake by ~60%","IAEA TRS 472 2010; Chernobyl Forum environment 2005"
"Cs-137","soil_to_plant","grass_hay","0.02","0.08","Bq_kg_plant_per_Bq_kg_soil_dry","Grass for hay and silage; temperate conditions; geometric mean ~0.028; higher in organic soils","Grass roots in shallow zone; organic soils have lower clay fixation → higher Fv; liming increases pH and reduces Cs uptake","Grass was primary exposure pathway for milk/meat contamination in 1986; 14000 Swedish lakes banned for fishing; grass-fed livestock dominated food contamination","IAEA TRS 472 2010; food_agricultural_contamination_REAL.csv"
"Cs-137","soil_to_plant","mushrooms_mycorrhizal","0.03","16.7","Bq_kg_plant_per_Bq_kg_soil_dry","Extremely high variability by species; Cantharellus Boletus Tricholoma most elevated; geometric mean ~1.0","Mycorrhizal fungi have direct hypha-to-soil contact throughout organic horizon; no clay fixation mechanism in fungal uptake; Cs-137 in organic layer (where fungi feed) less fixed than in mineral soil","Primary reason for persistent mushroom contamination 40 years later; some species (Cortinarius sp.) Fv >10; safe species (chanterelle) Fv ~0.5; Bavaria Germany still restrictions on certain mushroom species 2024","IAEA TRS 472 2010; GRS gGmbH Cs-137 mushrooms; Rosen et al. 1999"
"Cs-137","soil_to_plant","forest_berries","0.1","5.0","Bq_kg_plant_per_Bq_kg_soil_dry","Wild berries (bilberry Vaccinium myrtillus; cranberry; lingonberry); high Fv in Chernobyl-affected forests","Ericaceous plants like bilberry have shallow surface roots in organic horizon; similar mechanism to mushrooms; high organic matter feeding zone","Bilberry still 500-5000 Bq/kg in some CEZ forest areas 2020; major dietary source for rural Ukrainians/Belarusians; 2020 wildfires resuspended contaminated soil then deposited on berries","Chernobyl Forum 2005; CEZ monitoring data"
"Cs-137","soil_to_milk_cow","milk_cow_Fm","0.002","0.008","d_per_liter","Fm = fraction of daily Cs-137 intake by cow transferred per liter milk; at steady state","Cs mimics K → absorbed from GI tract; distributes to muscle and milk; Fm is metabolic transfer coefficient; higher in early lactation","Fm used in food chain models: milk_conc (Bq/L) = Fm × daily_intake (Bq/day); 1986 Soviet milk ban too late by 2-3 weeks","IAEA TRS 472 2010; PMC transport model; food_agricultural_contamination_REAL.csv"
"Cs-137","soil_to_meat_beef","beef_muscle_Fm","0.02","0.06","d_per_kg","Fm for beef muscle (skeletal muscle); higher than milk; wild boar values much higher (forest Cs-137 diet)","Cs distributed throughout muscle tissue proportional to K distribution; t1/2 biological = 70-140 days in humans; shorter in smaller mammals","Wild boar mean 46000 Bq/kg (CEZ 2020) = 77x EU limit 600 Bq/kg; dietary accumulation via mushrooms/berries dominates; same mechanism as cez_wildlife_contamination_REAL.csv","IAEA TRS 472 2010; cez_wildlife_contamination_REAL.csv"
"Sr-90","soil_to_plant","cereals_wheat_rye","0.017","0.05","Bq_kg_plant_per_Bq_kg_soil_dry","Temperate conditions; Sr-90 transfer generally 5-10x higher than Cs-137 per unit soil activity","Sr2+ mimics Ca2+ in calcium uptake; not fixed by clay minerals like Cs; remains in exchangeable soil fraction → more mobile; liming increases Ca competition and reduces Sr-90 uptake by 50-70%","Sr-90 higher mobility in soils = greater groundwater contamination risk; bone-seeker after ingestion; K fertilizer does NOT reduce Sr-90 uptake (only affects Cs-137)","IAEA TRS 472 2010; UNSCEAR 2008; ScienceDirect 2020 Ukrainian grain Sr-90"
"Sr-90","soil_to_plant","leafy_vegetables","0.5","2.5","Bq_kg_plant_per_Bq_kg_soil_dry","Much higher than Cs-137; reflects Ca-mimicking and absence of clay fixation","Highest Fv of common crops for Sr-90; calciferous plants accumulate more; liming soil reduces by replacing exchangeable Sr with Ca","UNSCEAR 2008 stresses Sr-90 bone dose in children as key dose pathway; bone-to-soft tissue dose ratio ~30 for Sr-90 vs ~1 for Cs-137","IAEA TRS 472 2010; UNSCEAR 2008 Annex D"
