"parameter","value","units","context","physics_detail","chernobyl_relevance","source"
"Gaussian_plume_equation","C(x,y,z)=Q/(2pi*sigma_y*sigma_z*u)*exp(-y^2/2sigma_y^2)*[exp(-(z-H)^2/2sigma_z^2)+exp(-(z+H)^2/2sigma_z^2)]","formula","continuous_point_source","Gaussian plume model: C = concentration (Bq/m³); Q = source term (Bq/s); u = wind speed (m/s); sigma_y = horizontal dispersion (m); sigma_z = vertical dispersion (m); H = effective source height (m); assumes: steady state; uniform wind; Fickian turbulent diffusion; no chemical reactions; complete reflection at ground (image source term)","Basic model used for Chernobyl dose assessment; real plume was non-Gaussian due to: variable meteorology; multiple emission phases; 1000-1500m effective height; Lagrangian particle models (HYSPLIT, SNAP-II) and Eulerian grid models used for reconstruction; Gaussian model gives order-of-magnitude estimates","Pasquill 1961 Met Mag; Slade 1968 USAEC; IAEA Safety Report 1982; Klug 1992 doi:10.1002/joc.3370120603"
"Pasquill_Gifford_stability_class_A","most_unstable","sigma_y=0.22*x*(1+0.0001*x)^-0.5","m_at_distance_x_meters","Class A (strongly unstable): clear sky; high insolation; low wind <2 m/s; Briggs formulas: sigma_y=0.22x(1+0.0001x)^-0.5; sigma_z=0.20x; maximum horizontal dispersion; occurs daytime summer conditions","April 26 1986 at 01:23 local time = nighttime; not class A; nighttime stable conditions (Class E-F) applied initially; morning of Apr 26 shifted to unstable (A-B) as sun rose; shift from stable to unstable increased ground-level deposition in near-field; see source_term_daily_release_REAL.csv","Pasquill 1961; Gifford 1961 Nucl Saf; Turner 1970 EPA workbook; Green 1980 NRPB"
"Pasquill_Gifford_stability_class_D","neutral","sigma_y=0.08*x*(1+0.0001*x)^-0.5","m_at_distance_x_meters","Class D (neutral): overcast or strong winds >6 m/s; sigma_y=0.08x(1+0.0001x)^-0.5; sigma_z=0.06x*(1+0.0015x)^-0.5; intermediate dispersion; most common class for long-distance transport modeling","Main plume transport toward Scandinavia (Apr 27-28) was largely neutral-to-stable (Class D-E); this explains concentrated deposition in narrow plume corridors rather than broad dispersion; Forsmark Sweden received concentrated dose from Class D transport; neutral conditions give much lower ground-level concentration than unstable","Briggs 1973 USAEC; Klug 1992; Hanna 1982 AMS"
"Pasquill_Gifford_stability_class_F","most_stable","sigma_y=0.04*x*(1+0.0001*x)^-0.5","m_at_distance_x_meters","Class F (stable): clear night; calm winds <2 m/s; sigma_y=0.04x(1+0.0001x)^-0.5; sigma_z=0.016x*(1+0.0001x)^-0.5; minimal vertical dispersion; fumigation possible at morning inversion breakup; plume can travel with little dilution","Initial release at 01:23 was into stable nighttime boundary layer (Class E-F); radioactive plume concentrated near ground in CEZ in first hours; stability explains high near-field deposition; morning sun created convective mixing → vertical dilution → surface concentration decreased; see cez_near_field_deposition_REAL.csv","Pasquill 1961; Seinfeld Pandis 2006; IAEA TECDOC-955"
"effective_release_height_Chernobyl","1000_to_1500","meters","April_26_to_May_10","Effective release height H: determined by: (1) physical height of reactor (72m); (2) thermal buoyancy (fire >1000°C adds ~300m); (3) explosion energy May 6-8 adds another ~500-1000m; plume heights varied by phase: initial explosion fragments to >1000m; graphite fire phase 600-1200m; second fire peak May 6-8 up to 3000m","Higher effective release height = greater downwind transport distance before ground deposition; H=1000m → x_max_deposition ~50-100km downwind; explains why 85 PBq Cs-137 released but only moderate near-field surface concentrations (most transported to Europe); Noble gases (Kr-85, Xe-133) were transported globally at full activity without deposition","Fischer 1987 J Environ Radioact doi:10.1016/0265-931X(87)90023-3; De Cort 1998 EUR 16733; atmospheric_transport_plume_REAL.csv"
"dry_deposition_velocity_I2","10_to_50","mm/s","elemental_iodine_I2","Vd (deposition velocity) = flux density (Bq/m²/s) / air concentration (Bq/m³); I2 (elemental iodine): Vd = 10-50 mm/s; highly reactive with surfaces; dominant in near-field; 90% respiratory tract uptake; Vd used in χ/Q (chi/Q) ground-level dosimetry calculations; χ/Q = C/Q = 1/(2π·sigma_y·sigma_z·u) at plume centerline ground level","I2 fraction of iodine highest near source (30-50%); responsible for high near-field thyroid doses; deposition velocity Vd=10-50 mm/s means I2 deposits very efficiently on vegetation; milk contamination in 200km zone primarily driven by I2 deposition on pasture; see iodine_atmospheric_chemistry_REAL.csv","Chamberlain 1984; Whitton 1993 NRPB; IAEA 2006; dose_conversion_factors_REAL.csv"
"dry_deposition_velocity_CH3I","0.01_to_0.1","mm/s","methyl_iodide_organic","CH3I (methyl iodide): Vd = 0.01-0.1 mm/s; low surface reactivity; 20% respiratory uptake; accumulates as fraction of total iodine with distance from source as I2 depleted; CH3I fraction: 5-20% near-field → 40-80% at 500-2000 km distance; effectively transported globally without deposition","Far-field thyroid dose underestimated by assuming I2 dominates; CH3I lower uptake (20% vs 90% for I2) means far-field thyroid doses per Bq/m³ air 3-5x lower than calculated with I2 assumption; Scandinavian thyroid doses lower than predicted using near-field I2 Vd values; iodine_atmospheric_chemistry_REAL.csv","Chamberlain 1984; IAEA 2006; Makhonko 1988"
"dry_deposition_velocity_Cs137","1_to_3","mm/s","cesium_aerosol","Cs-137 attached to aerosol particles (0.3-3 µm diameter): Vd = 1-3 mm/s; particle-controlled deposition; intermediate between I2 and CH3I; depends on surface roughness (z0): forest 30-50 mm/s effective (canopy interception); short grass ~2 mm/s; water <0.5 mm/s; most cez_near_field_deposition measurements represent dry deposition on forests","Forest interception amplifies Cs-137 deposition 10-20x vs open fields; explains hot spots in conifer forests (Red Forest got 4000-10000 kBq/m²); interception factor IF = 1 - exp(-LAI × interception_efficiency); leaf area index (LAI) conifers 5-8 vs deciduous 3-5; April timing (leafing out) important for deciduous","Bonka 1990; Linsley 1994; Proehl 1994 Sci Total Environ; cez_near_field_deposition_REAL.csv"
"wet_deposition_washout_coefficient","Lambda_below_0.5_mm/hr_rain = 3e-5 to 3e-4 per_second","per_second","precipitation_scavenging","Below-cloud scavenging coefficient Λ = scavenging coefficient (s⁻¹); relates wet deposition flux to air concentration; Λ for aerosol = α × R^β where R = rain rate (mm/hr); α ≈ 8×10⁻⁵ for submicron aerosol; β ≈ 0.8; wet deposition flux = Λ × χ × H_mixing; single rainstorm can remove 50-99% of column inventory","Single thunderstorm during May 8-9 1986 deposited ~99% of contamination reaching some Swedish/Finnish locations (Gäsborn Lake study); dry vs wet deposition ratio 1:99 in Norway; explains extreme spatial variability in European deposition pattern; see atmospheric_transport_plume_REAL.csv","Schell 1997 JPML; Devell 1986 Nature; Green 1980; atmospheric_transport_plume_REAL.csv"
"HYSPLIT_model_parameters","Hybrid_Single_Particle_Lagrangian_Integrated_Trajectory","qualitative","trajectory_model","HYSPLIT (NOAA Air Resources Laboratory): Lagrangian particle or puff model; back-trajectories trace air parcel origins; forward trajectories track plume dispersal; meteorological input: NCEP reanalysis (6-hr global gridded); spatial resolution: 1° or 2.5°; vertical resolution: pressure levels; used for Chernobyl post-hoc reconstruction with NCEP ERA-40 reanalysis","HYSPLIT reconstructions of April-May 1986 trajectories from Chernobyl → Forsmark confirm: main plume path via Baltic April 27-28 (Class D-E stable conditions); second pulse via Scandinavia May 6-8; agreement with measured deposition maps De Cort 1998; uncertainty from reanalysis wind field at 40yr lookback","Draxler 1998 ARL-224; Rolph 2003 NOAA; Stohl 2012 Atmos Chem Phys doi:10.5194/acp-12-2313-2012"
"SNAP_II_model_Chernobyl","Severe_Nuclear_Accident_Program","qualitative","trajectory_model_1986","SNAP-II (Danish Meteorological Institute): Lagrangian trajectory model used in real-time for Chernobyl 1986 emergency response; predecessor to NAME (UK Met Office); uses operational NWP (numerical weather prediction) analysis; key capability: particle tracking with depletion by dry/wet deposition; SNAP-II trajectories from April 26-May 10 1986 showed 3 main plume paths","SNAP-II was primary real-time model for European emergency decisions in 1986; its limitations: ~100km resolution; no chemical speciation; single particle size; limited vertical resolution; retrospective analyses with higher resolution reanalysis (ERA-40) much better; modern NAME 3 has 50m-200km range","Prahm 1977; Klug 1992 doi:10.1002/joc.3370120603; Bartnicki 1998 J Environ Radioact"
"chi_over_Q_near_field","1e-4_to_1e-3","s/m³","near_field_0.5km_to_5km","χ/Q (chi/Q) = normalized air concentration (s/m³) = C/Q; used in reactor safety analysis; at ground level on plume centerline: χ/Q = 1/(2π·sigma_y·sigma_z·u); at 1 km downwind Class D: χ/Q ≈ 1-3×10⁻⁴ s/m³; multiply by Q (Bq/s) → C (Bq/m³); relates source term to air concentration for dose calculation","Chernobyl first hours: if Q=1 EBq/hr = 2.78×10¹⁵ Bq/s of noble gases (Xe-133+Kr-85); at 1 km Class D conditions: C ≈ 2.78×10¹⁵ × 2×10⁻⁴ = 5.6×10¹¹ Bq/m³ Xe-133 equivalent; explains extreme dose rates in Pripyat first night (gamma-shine from plume overhead)","USNRC Reg Guide 1.111 1977; Slade 1968; IAEA-TECDOC-955; dose_conversion_factors_REAL.csv"
"Chernobyl_plume_trajectory_April27","toward_Scandinavia_via_Baltic","qualitative","1986-04-27","April 27 1986: upper-level ridge over Europe; surface winds from SE; plume carried NW-N over Belorussia → Baltic States → Baltic Sea → Sweden/Finland/Denmark; reaching Forsmark Sweden ~09:00 April 28 (~32hr transit time from ~1500km); average transport speed ~47 km/hr matching 850 hPa winds; stable Class D-E conditions preserved plume integrity","Forsmark detection April 28 was FIRST external warning of Chernobyl accident (Soviet silence); plume path reconstruction shows main concentration channel was Sweden-Finland (received 200-1000 Bq/m³ I-131 in air); secondary branch went south via Turkey and Greece April 27-30; third branch went east over Russia/Siberia (not measured)","Devell 1986 Nature 322:817; De Cort 1998; atmospheric_transport_plume_REAL.csv; international_response_1986_REAL.csv"
"sigma_y_sigma_z_Briggs_formulae","rural_open_terrain","tabulated_by_stability_class","m_at_1km_downwind","Briggs (1973) sigma formulas: Class A at 1km: sigma_y=209m sigma_z=208m; Class D at 1km: sigma_y=76m sigma_z=36m; Class F at 1km: sigma_y=37m sigma_z=12m; strongly stability-dependent; Class A gives ~28x higher sigma_z than Class F at 1km; implies 28x lower ground concentration at ground level in unstable vs stable","Day/night stability differences: Factor ~30x in ground-level concentration at 1 km for same source term; explains why overnight release at 01:23 gave different near-field deposition than if same release had occurred at midday; Class F initial conditions then Class A by 09:00 April 26 created deposition maximum at ~1-5 km from site","Briggs 1973 USAEC 65; Turner 1970 EPA-AP-026; Green 1980 NRPB-R91"
"Monin_Obukhov_length","stability_parameter","L=negative_unstable_positive_stable_infinite_neutral","meters","Monin-Obukhov length L = -u*³ρcp T / (k g H); where u* = friction velocity; H = sensible heat flux; k = von Kármán constant = 0.41; L determines atmospheric stability: L negative (unstable/daytime), L positive (stable/night), |L|→∞ (neutral); relates to Pasquill class: L=-10m (A); L=-100m (B); L→∞ (D); L=+200m (E); L=+50m (F)","Rigorous stability parameterization used in modern HYSPLIT and NAME models for Chernobyl reconstruction; daytime surface layer over open terrain: L typically -50 to -300m; nighttime: L = +50 to +500m; spring 1986 Ukrainian steppe: nocturnal boundary layer height ~100-200m (confines near-surface plume)","Monin Obukhov 1954; Seinfeld Pandis 2006; Stull 1988 Kluwer"
