"parameter","value","units_or_date","context","details","security_significance","source"
"dirty_bomb_Cs137_scenario","radiological_dispersal_device_threat","qualitative","security_context","Dirty bomb (Radiological Dispersal Device; RDD): conventional explosive + radioactive material; Cs-137 is top concern for RDD scenarios due to: high specific activity (3.19 TBq/g); widespread availability (industrial sources: food irradiators; medical calibration; level gauges); chemical form: CsCl powder (water-soluble; easily dispersed); scenario: 1 TBq Cs-137 dispersed in Manhattan → contamination 1-10 Bq/m² in ~10 km² → shutdown of major financial area; psychological/economic impact far exceeds direct health risk","Cs-137 RDD context: Goiania 1987 = accidental RDD analog (Cs-137 source; 4 deaths; 249 contaminated; $600M cleanup); deliberate RDD could cause widespread panic despite limited direct fatalities; economic disruption from area closure would be primary damage; Chernobyl relevance: CEZ contains large Cs-137 inventory in relatively accessible material; IAEA nuclear security guidance: Cs-137 Category I/II radioactive source; requires stringent physical protection","IAEA NSS No. 11 2003; Levi Kelly 2002 Henry L Stimson Center; Goiania case study; nuclear_accident_history_comparison_REAL.csv"
"IAEA_nuclear_security_categories","Category_I_II_III_sources","N/A","IAEA_classification","IAEA radioactive source categories (IAEA-TECDOC-1344 2003): Category I: sources capable of causing severe injury/death within minutes of unprotected contact (e.g., large Co-60 irradiators >400 TBq; Ir-192 >800 TBq; Cs-137 >100 TBq); Category II: can cause injury/death with unprotected exposure over minutes-hours (smaller sources); Category III: can cause injury with prolonged exposure; Category I = highest security requirement: armed guards; intrusion detection; formal accountancy; periodic physical inventory","Chernobyl Unit 4 corium contains hundreds of TBq of multiple Category I materials; physical security: Unit 4 under NSC; IAEA monitoring; but NSC drone breach Feb 2025 exposed vulnerability; ZNPP under Russian occupation: security of 2000+ spent fuel assemblies (each Category I equivalent) under military occupation = unprecedented nuclear security scenario; IAEA has no clear protocol for armed occupation of Category I facility","IAEA-TECDOC-1344; zaporizhzhia_npp_2022_2025_REAL.csv; modern_monitoring_REAL.csv"
"Chernobyl_site_security_2022_2025","Russian_occupation_nuclear_security_implications","qualitative","2022","Chernobyl site Russian occupation February-March 2022: Russian forces occupied Chernobyl NPP and CEZ February 24-March 31 2022; removed Ukrainian security staff; Russian troops dug trenches in Red Forest (highest contamination in CEZ); exposed to significant radiation doses themselves; disrupted: (1) perimeter security; (2) IAEA monitoring access; (3) radiation monitoring networks; (4) emergency response capability; Ukrainian authorities regained control March 31 2022 after Russian withdrawal","Russian trench-digging in Red Forest: soldiers dug foxholes through the most contaminated soil in CEZ (Cs-137 up to 10,000 kBq/m²; hot particles with Pu-239); estimated soldier doses: 5-50 mSv depending on trench depth and duration; Russian military reportedly evacuated some soldiers to Belarus for 'radiation sickness' treatment (unconfirmed); highlighted: CEZ security importance; gap in IAEA authority during military occupation","modern_monitoring_REAL.csv; cez_research_2022_2025_REAL.csv; NEA 2024; zaporizhzhia_npp_2022_2025_REAL.csv"
"spent_fuel_pool_security","Category_I_nuclear_material_in_war_zone","N/A","2022-2025","Spent fuel pool security at ZNPP during occupation: 2000+ irradiated fuel assemblies in ZNPP spent fuel pools; each assembly contains: Cs-137, Sr-90, Pu-239, Am-241 at Category I activities; during Russian occupation: Ukrainian security personnel removed from security access; armed Russian forces control physical perimeter; IAEA monitoring continues but cannot guarantee physical security of material in standard IAEA sense; no theft/diversion detected but verification limited","IAEA mandate: safeguards (prevent diversion of fissile material for weapons) + safety (prevent accidents); during occupation: both mandates compromised; ZNPP Pu-239 inventory (all 6 units): ~600-800 kg total (from burnup estimates); weapons-grade Pu requires isotopic separation (ZNPP has weapons-UNSUITABLE Pu-240 content ~20%); however Category I material security = IAEA's top concern; occupation = unprecedented safeguards gap","zaporizhzhia_npp_2022_2025_REAL.csv; IAEA NSS; IAEA safeguards annual report 2023"
"nuclear_non_proliferation_context","NPT_and_Ukraine","N/A","1968-present","Nuclear Non-Proliferation Treaty (NPT): signed 1968; Ukraine acceded 1994 (after Budapest Memorandum); NPT structure: Article VI (nuclear states disarm); Article X (withdrawal clause); Article IV (peaceful nuclear energy right); Ukraine's position 2022-2025: as NPT signatory, Ukraine has right to peaceful nuclear energy but not weapons; ZNPP occupation = direct threat to NPT regime; Article XII(C) IAEA safeguards apply to ZNPP but physical access compromised; Budapest Memorandum framework = separate from NPT but complementary","NPT regime: 191 state parties (2025); only 9 nuclear-armed states globally; Iran/North Korea situations + Ukraine conflict = three simultaneous NPT regime stresses; Chernobyl precedent: 1986 showed civilian nuclear plants can be direct national security vulnerabilities; post-Chernobyl: IAEA's role expanded from safeguards to safety and security; Convention on Nuclear Safety 1994; Joint Convention 1997; no mechanism existed before 2022 for NPT compliance during armed occupation of NPP","Budapest_memorandum 1994; NPT text 1968; ukraine_nuclear_fleet_REAL.csv; IAEA 2023 report"
"radiological_dispersal_CEZ_wildfire","2020_wildfire_as_natural_RDD_analog","qualitative","2020","2020 CEZ wildfire as radiological dispersal analog: 11,500 ha burned April-May 2020; released ~630 GBq Cs-137 atmospheric; smoke transported to Kyiv (3M people); elevated air concentrations in Kyiv and Poland: 0.1-1 Bq/m³ Cs-137; additional Sr-90 and Pu-239 from hot particle suspension; doses: estimated <0.1 mSv additional dose to Kyiv residents; no evacuation required; but: demonstrated vulnerability of CEZ as continuing source of atmospheric radioactivity","2020 wildfire = natural experiment in radiological release from Chernobyl inventory; key lessons: (1) CEZ wildfires will continue as climate warming increases fire frequency; (2) even without military action, CEZ is ongoing atmospheric source; (3) 630 GBq Cs-137 = ~0.0007% of remaining inventory → substantial future releases possible; see wildfire_resuspension_REAL.csv for detailed data","wildfire_resuspension_REAL.csv; modern_monitoring_REAL.csv; cez_research_2022_2025_REAL.csv; Evangeliou 2016 Environ Int"
"CEZ_legacy_monitoring_system","Ukrainian_early_warning_network","qualitative","1986-present","Ukrainian environmental monitoring legacy from Chernobyl: (1) gamma dose rate network: >200 automated monitoring stations in Ukraine (SaveEcoBot; SNRIU public network); (2) sampling network: regular air/water/food/soil sampling; (3) CEZ specialist monitoring: Institute for Nuclear Research Kyiv; SSIS (Ukrainian research system); (4) EURDEP (European Radiological Data Exchange Platform): real-time gamma dose rates from 5,500 stations across Europe; (5) CTBTO IMS stations: detect atmospheric radioactivity globally","Ukraine's 38-year Chernobyl monitoring program = most extensive peacetime radiological monitoring in history; monitoring data publicly available via SaveEcoBot (dosimeters) and SNRIU website; 2022-2025 war: 40% of monitoring stations in occupied or front-line territories; data gaps in Zaporizhzhia Oblast; CTBTO detected Russian 2017 Ru-106 release; EURDEP real-time data enabled Forsmark 1986 detection (would have caught release within minutes today)","modern_monitoring_REAL.csv; SaveEcoBot; SNRIU; EURDEP; CTBTO IMS; cez_research_2022_2025_REAL.csv"
"Pripyat_tourist_zone","60000_visitors_per_year_pre_war","visitors/year","2015-2021","Chernobyl/Pripyat nuclear tourism: 60,000+ visitors/year 2019 (peaked after HBO Chernobyl series); guided tours from Kyiv; 1-day or multi-day; dose received per day visit: 0.003-0.060 mSv (varies with route); some spots (reactor roof accessible area): 1-3 µSv/hr; compared to: natural background 0.1-0.3 µSv/hr; chest X-ray ~0.02 mSv; flight from Europe to US ~0.04 mSv; tourist dose = comparable to medical X-ray; all tourism suspended 2022 due to Russian invasion","Nuclear tourism raised important questions: (1) accurate dose communication to tourists; (2) commercial guides vs. scientific monitoring; (3) impact on CEZ ecosystem (humans returning to 'wildlife sanctuary'); (4) economic benefit to Ukraine; dose to tourists = NOT a health concern at 0.003-0.060 mSv/day; properly guided tours = safe; improper tours (off-trail in high-dose zones) could deliver significantly higher doses; hot particle inhalation risk in disturbed areas","modern_monitoring_REAL.csv; natural_background_radiation_REAL.csv; radiation_units_quantities_REAL.csv; cez_research_2022_2025_REAL.csv"
"Glasnost_and_information_control","Chernobyl_as_accelerant_of_Soviet_opening","N/A","1986-1991","Chernobyl and Soviet information policy: Glasnost (openness) policy began 1985 under Gorbachev; Chernobyl 1986 = first major test; initially failed (66hr delay; KI not distributed; doctors told to misattribute illnesses); but: Chernobyl also forced unprecedentedly open Soviet media coverage within weeks; first time: Soviet TV showed real disaster footage; first time: Soviet press wrote critically about system failures; Gorbachev 1996: 'Chernobyl was perhaps the real cause, more than any other, for the collapse of the Soviet Union'","Chernobyl's political legacy: demonstrated limits of Soviet information control in era of global communication (Sweden detected radioactivity before USSR admitted accident); forced transparency that Glasnost then institutionalized; contributed to: questioning of Soviet authority; rise of independence movements in Ukraine/Belarus; environmental movements; in Ukraine: Chernobyl was specific grievance that fueled independence movement 1990-1991; Chernobyl address in Kyiv = site of anti-Soviet protests 1990","Plokhy 2018 Chernobyl: History of a Tragedy; Gorbachev 1996 speech; Marples 1988 Chernobyl; international_response_1986_REAL.csv"
"media_coverage_Chernobyl","1986_to_2019","N/A","media_history","Chernobyl media coverage evolution: 1986: global news (initial 66hr silence → massive coverage); 1989-1991: Soviet glasnost allowed Ukrainian/Belarusian independent reporting; 1991-2000: steady stream of anniversary coverage; 2005: WHO Chernobyl Forum report drew criticism from anti-nuclear advocates; 2006: 20th anniversary major documentation; 2019: HBO/Sky miniseries Chernobyl (5 episodes; Emmy Award winner): 60,000 tourist visits to Pripyat following series; series praised for accuracy; creator Craig Mazin worked with historians; influenced renewed public interest; 2022: Russian invasion brought renewed attention","HBO Chernobyl (2019) impact on public awareness: series depicted: xenon poisoning; graphite tip effect; Soviet safety culture; ARS at Hospital No. 6; Legasov's role; generally scientifically accurate with some dramatic license (Legasov suicide at premiere of meeting vs second anniversary); creator Craig Mazin consulted with historians and radiation physicists; show influenced renewed study of nuclear power and its risks; nuclear tourism spike 2019-2021","Plokhy 2018; Mazin 2019 HBO commentary; contested_radiation_science_REAL.csv; Mould 2000"
