"parameter","value","units_or_formula","context","details","chernobyl_relevance","source"
"noble_gas_release_chernobyl","6500_PBq_total","PBq","source_term_category","Radioactive noble gas release from Chernobyl Unit 4: ~6500 PBq total; dominated by Xe-133 (4700 PBq) and Kr-85 (33 PBq); also Xe-135 (1700 PBq estimate; short-lived); Ar-41 (minor from air activation); noble gases = largest single release category by activity; larger than I-131 (1760 PBq) and Cs-137 (85 PBq) combined; however: noble gases do not deposit → dose implications very different; passed through containment gaps and demolished reactor building immediately; essentially 100% of inventory released within first few days","Noble gas release = FIRST indicator of Chernobyl accident reaching the West; Xe-133 detected at Forsmark (Sweden) April 28 1986; however Swedish monitors initially attributed to their own reactor; Cs-137/Xe-133 ratio in air samples confirmed reactor fuel source; noble gases contributed <1% of total dose to public despite being largest activity release → illustrates why activity alone does not = dose; modern CTBTO IMS specifically designed to detect Xe isotopes from nuclear explosions","UNSCEAR 2008 Annex D; Persson 1987 J Environ Radioact; IAEA-TECDOC-476; 01_source_term_REAL.csv; atmospheric_transport_plume_REAL.csv"
"xenon_133_properties","t_half_5.243_days","days","isotope_physics","Xe-133 properties: half-life = 5.243 days; decay mode: beta (β⁻) → Cs-133 (stable); max beta energy 346 keV; gamma 80.998 keV (37% yield); production in fission: cumulative fission yield 6.70% (second highest after Xe-135); Xe-133 exists in fission as itself AND from I-133 decay (t½=20.8hr → Xe-133); noble gas → no chemical uptake → not absorbed by lung tissue; inhaled dose: only external gamma from lung transit and gamma from cloud; effective dose coefficient: 1.7×10⁻¹⁰ Sv/Bq (inhalation); dose primarily from submersion (external gamma from air) = ~2.5×10⁻¹⁰ Sv/Bq","Xe-133 from Chernobyl traveled across Northern Hemisphere within 1-2 weeks; detected in North America by May 5-6 1986; atmospheric half-life for removal = dispersal only (no deposition); 80 keV gamma = too low energy for standard NaI dose rate monitors (calibrated for 662 keV Cs-137); dedicated noble gas monitors required; Xe-133 contributed ~0.01-0.1 mSv average to European population from cloud submersion (negligible vs Cs-137 and I-131 doses)","ICRP 72 1996 (dose coefficients); NNDC NuDat; Persson 1987; Simmonds 1995 NRPB"
"krypton_85_properties","t_half_10.76_years","years","isotope_physics","Kr-85 properties: half-life = 10.76 years; decay: 99.57% β⁻ → Rb-85 (stable; 687 keV max); 0.43% γ 514 keV; production: fission yield 0.285% (low); and nuclear reprocessing (main global source); pre-Chernobyl atmospheric Kr-85 from reprocessing: ~15-20 PBq total in atmosphere; Chernobyl added ~33 PBq; Kr-85 = long-lived global background marker of nuclear fission activity; well-mixed in troposphere within ~3yr; CTBTO uses Kr-85/Xe-133/Xe-131m/Xe-135 ratio to distinguish underground nuclear explosions from nuclear reactors and medical isotope production","Kr-85 from nuclear reprocessing at La Hague (France) and Sellafield (UK) discharges ~TBq/yr continuously; total atmospheric Kr-85 inventory ~25 PBq (2026); Chernobyl contribution has decayed to ~6 PBq equivalent in 2026 (40yr = 3.7 half-lives); Kr-85 is chemically inert → zero deposition → zero food chain pathway; global monitoring of Kr-85 serves as 'nuclear activity index' independent of weapons testing (since PTBT); dose from Kr-85 = negligible (0.001-0.01 mSv/yr global exposure from all sources)","UNSCEAR 2000 Annex B; Weiss 1999 J Environ Radioact; CTBTO IMS; NNDC; ru106_2017_europe_REAL.csv"
"xenon_135_reactor_poisoning","t_half_9.14_hours","hours","reactor_physics","Xe-135 production in RBMK-1000 during normal operation: equilibrium inventory ~200 kg equivalent activity; at 3200 MWth: ~0.4 PBq Xe-135 in core; t½=9.14hr; Xe-135 cross section σ=2.65×10⁶ barns at 0.084 eV = largest thermal neutron cross section of any nuclide; production from I-135 decay (t½=6.57hr) delayed production; during shutdown Xe-135 increases (no flux to destroy it) peaking ~6-10hr post-shutdown; xenon pit = reactor inaccessibility following shutdown or power reduction","At Chernobyl April 26: power fell to 30 MWth at 00:28 during xenon transient following 00:05 power reduction to 200 MWth attempted test level; xenon pit (saturated absorption) made return to power extremely difficult; operators forced ORM to 8 rods to maintain 200 MWth against xenon; ORM=8 = critical safety system error; Xe-135 in core contributed ≥15% negative reactivity; its destruction at high power = source of positive reactivity feedback; see xenon_135_poisoning_REAL.csv and rbmk_core_neutron_physics_REAL.csv for full cross-section physics","xenon_135_poisoning_REAL.csv; rbmk_core_neutron_physics_REAL.csv; chernobyl_accident_chronology_REAL.csv; INSAG-7 IAEA 1992"
"argon_41_reactor_contribution","t_half_1.82_hours","hours","activation_product","Ar-41 production in reactors: Ar-40 (natural; 99.6% of air; 3.33×10⁻²⁵ m³/m³ in air) captures thermal neutron → Ar-41 (t½=1.82hr; 1294 keV gamma; β⁻ to K-41 stable); production rate depends on neutron flux in air near reactor; at Chernobyl: graphite moderator has minimal air gaps normally; after explosion: open core → massive Ar-41 production ceased (neutrons gone) and Ar-41 decayed in hours; at operating reactors: Ar-41 is primary noble gas discharge (effluent monitoring); Ar-41 from ChNPP explosion: negligible contribution given rapid decay and reactor destruction","Ar-41 is primary noble gas effluent at CANDU reactors (heavy water moderator has more Ar in contact with neutrons); at RBMK not major source under normal operation; within 36hr of explosion: all Ar-41 completely decayed; not detected in European monitoring (too short-lived); contrasts with Xe-133 (5.2d) and Kr-85 (10.76yr) = longer persistence; modern CANDU off-gas monitoring uses Ar-41 as operational parameter; not relevant to Chernobyl long-term contamination","IAEA Nuclear Power Reactor Safety 1978; Glasstone Sesonske 1967 Nuclear Reactor Engineering"
"CTBTO_IMS_noble_gas","80_stations_planned","N/A","global_monitoring","CTBTO International Monitoring System noble gas network: IMS includes dedicated xenon monitoring alongside seismic, hydroacoustic, infrasound, radionuclide networks; ~80 noble gas stations planned globally; monitors: Xe-131m (t½=11.9d); Xe-133 (t½=5.24d); Xe-133m (t½=2.19d); Xe-135 (t½=9.14hr); detection threshold: ~1 mBq/m³; CTBTO distinguishes underground nuclear explosion from nuclear reactor/medical isotope by: Xe-135/Xe-133 ratio; Xe-133m/Xe-133 ratio; time since event (decay ratios); these 4 xenon isotopes = nuclear explosion fingerprint distinct from civilian sources","Post-Chernobyl CTBTO design incorporated noble gas detection specifically because: (1) Chernobyl's 6500 PBq noble gas release traveled globally and was detectable; (2) underground nuclear explosions also release primarily noble gases (other elements trapped in rock); (3) Ru-106 2017 detected by beta/gamma network but xenon IMS would have added forensic value; North Korea nuclear tests 2006-2017: Xe-133 detected at IMS stations; CTBTO now best global early warning system for nuclear events; would detect Chernobyl-scale release within hours","CTBTO PrepCom; Saey 2005 J Environ Radioact; Ringbom 2009 Science; ru106_2017_europe_REAL.csv"
"noble_gas_dose_calculation","submersion_dose_model","Sv/Bq","dose_pathway","Noble gas dose calculation: submersion dose (external gamma from cloud) = primary pathway; inhalation = secondary (short transit time; noble gas not absorbed); submersion dose coefficient for Xe-133: DCC_submersion ≈ 4.4×10⁻¹⁵ Sv/(Bq·s·m⁻³); for Kr-85: DCC_submersion ≈ 8.7×10⁻¹⁸ Sv/(Bq·s·m⁻³); effective dose from Xe-133 cloud passage at 1 km from Chernobyl on April 26: ~0.01-0.1 mSv (external); vs I-131 at same location: >>10 mSv thyroid; ratio illustrates why Xe-133 (6500 PBq) caused orders-of-magnitude less dose than I-131 (1760 PBq): physical dose pathway efficiency","Total collective dose from Xe-133/Kr-85: UNSCEAR 2008 estimates ~70,000 person-Sv collective from noble gases (European population exposure); vs ~700,000 person-Sv from I-131 and Cs-137; noble gases = ~10% of collective dose despite being ~70% of activity released; this inversion of activity:dose ratio is fundamental to nuclear emergency planning: activity release statistics mislead without dose pathway analysis; food pathway (for I-131 via milk; for Cs-137 via food chain) creates > dose than direct inhalation/submersion for many isotopes","UNSCEAR 2008 Annex D Table B; NRPB-R306 1996; dose_conversion_factors_REAL.csv; iodine_atmospheric_chemistry_REAL.csv"
"radon_222_natural_background","3700_Bq_per_home","Bq/m3_average","natural_context","Natural Rn-222 for context: worldwide average indoor Rn-222: ~40 Bq/m³ (WHO guideline <100 Bq/m³); high radon areas: Cornwall UK 200-3000 Bq/m³; Ramsar Iran (hot spring areas): up to 3700 Bq/m³; US EPA action level: 148 Bq/m³ (4 pCi/L); radon in CEZ: natural emanation from U-238 in soil; CEZ granite basement overlaid with Quaternary sandy sediments = moderate radon emanation; Rn-222 t½=3.82 days; decays to Po-218→Pb-214→Bi-214→Pb-214→Bi-210→Pb-210→Bi-210→Po-210→Pb-206; alpha-emitting daughters = dose to lung","CEZ radon context: Rn-222 from natural U-238 decay in CEZ soils contributes ~1-2 mSv/yr to occupied areas (comparable to global average radon dose 1.26 mSv/yr); post-accident: Pu-239 and U-235/238 in soil do not significantly enhance radon because U-238→Th-234→Pa-234→U-234→Th-230→Ra-226→Rn-222 chain: Chernobyl contamination was fresh fission products and fuel particles; Pu-239 does NOT produce Rn-222 (different decay series); natural Rn-222 background exceeds Chernobyl-attributed radon contribution in most CEZ areas; natural_background_radiation_REAL.csv; uranium_series not disrupted by accident","natural_background_radiation_REAL.csv; WHO 2009 Radon Handbook; UNSCEAR 2000 Annex B; uranium_thorium_natural_background (planned)"
"noble_gas_atmospheric_transport","global_mixing_~1_year","timescale","atmospheric_physics","Noble gas atmospheric transport: Xe-133 (t½=5.24d): detected in North America May 5-6 1986 (10 days post-accident = ~2 half-lives); detectable above background for ~30 days; Northern Hemisphere mid-latitude transport: ~2-4 weeks for circumglobal transport; Kr-85 (t½=10.76yr): well-mixed globally within ~3 years (inter-hemispheric mixing time); tropospheric residence time (no deposition): decay limited for Xe-133; effective half-time for Kr-85 global mixing ~1-2yr; Ar-41 (t½=1.82hr): never reaches global distribution; Xe-135 (t½=9.14hr): limited to ~1000km travel before decay","Noble gas transport physics: no wet deposition (not soluble); no dry deposition (not reactive); no gravitational settling (gas phase); removal only by: radioactive decay; stratospheric exchange (for long-lived species); this makes noble gases ideal tracers of atmospheric circulation and ideal CTBTO event attribution tools; Chernobyl Xe-133 cloud: first clear global tracer of accidental radionuclide release; trajectory analysis post-Chernobyl showed clockwise rotation above Europe April 27-30; NW plume to Scandinavia; N plume to Baltics and Finland; SW plume to Turkey and Greece","atmospheric_transport_plume_REAL.csv; Persson 1987 J Environ Radioact doi:10.1016/0265-931X(87)90095-8; Langner 1995; Haas 1990"
"xenon_medical_isotope_vs_accident","normal_civilian_releases","TBq/week","background_discrimination","Civilian xenon releases (medical isotope production context): cyclotron/reactor-based Mo-99/Tc-99m production generates Xe-133 as co-product; Canadian NRU reactor at Chalk River; SAFARI-1 South Africa; BR2 Belgium; Dutch HFR; typical global Mo-99 production release: ~10-100 TBq Xe-133/week (CTBTO must distinguish from nuclear events); Chernobyl Xe-133 = 4700 PBq = 47,000-470,000 weeks of normal medical production = clear anomaly by 4-5 orders of magnitude; Xe-133m/Xe-133 ratio: normal civilian = low ratio; nuclear explosion = higher ratio; allows forensic discrimination","Medical isotope production = routine low-level Xe-133 release; designed-in ventilation stack discharge; CTBTO IMS must filter these signals (dozens per week globally); Chernobyl signal was overwhelmingly above background in April 1986 but Xe-133-only monitors at Forsmark initially attributed spike to potential issue at their own plant (same isotope profile as normal reactor leak); confirmed reactor fuel source only when Cs-137 was also measured simultaneously; lesson: single isotope monitoring = ambiguous; multi-isotope discrimination = required; this lesson directly informed CTBTO multi-isotope noble gas protocol design","CTBTO VDEC; Saey 2005; Ihlén 1986 NRPA Norway; atmospheric_dispersion_parameters_REAL.csv"
