"parameter","value","units","context","physics_detail","chernobyl_quantum_relevance","source"
"nuclear_binding_energy","average_8_MeV_per_nucleon_in_Fe56","MeV_per_nucleon","nuclear_structure","Nuclear binding energy: energy required to completely separate nucleus into free protons and neutrons; semi-empirical mass formula (Bethe-Weizsäcker): BE = a_V×A - a_S×A^(2/3) - a_C×Z(Z-1)/A^(1/3) - a_A×(N-Z)²/A + δ_pairing; peak: Fe-56 at 8.79 MeV/nucleon; fission (U-235 → Sr-90 + Xe-143): products more tightly bound; energy released = difference in binding energy ≈ 200 MeV per fission; fusion (H→He): lighter nuclei also less tightly bound → energy released","200 MeV per U-235 fission: 3200 MWth RBMK reactor → 1.0×10²⁰ fissions per second; each fission releases 200 MeV = 3.2×10⁻¹¹ J; U-235 specific fission rate at 3200 MWth = 3.2×10¹⁰/3.2×10⁻¹¹ = 10^21 fissions/second; in 10 years RBMK operation = 10^29 fissions total; binding energy curve explains why fission products (near N=50, N=82 shell closures) are most abundant","Bethe Weizsäcker 1935; Blatt Weisskopf 1952; INSAG-7 Appendix; fission_product_yields_REAL.csv"
"nuclear_shell_model","magic_numbers_and_fission_yields","N/A","quantum_nuclear_structure","Nuclear shell model (Mayer Jensen 1949): nucleons fill discrete energy levels analogous to electron shells; magic proton/neutron numbers: 2, 8, 20, 28, 50, 82, 126; nuclei with magic N or Z have extra stability; spin-orbit coupling lifts degeneracy; magic numbers explain bimodal fission yield distribution: light peak (N=50, Z≈38=Sr) and heavy peak (N=82, Z≈55=Cs) have enhanced stability as fission fragments; valley between peaks corresponds to symmetric fission (symmetric unstable because neither fragment has magic numbers)","N=50 shell closure: determines why A≈90-95 mass region (including Sr-90, Zr-95) dominates light fission product peak; N=82 shell closure: determines why A≈133-140 mass region (including Cs-137, Ba-140, I-131, Xe-133) dominates heavy peak; magic number stability = fundamental quantum explanation for WHY Cs-137 and Sr-90 are the dominant long-lived radiological hazards from Chernobyl","Mayer 1949 Phys Rev; Jensen 1949; Strutinsky 1967 Nucl Phys A 95:420; fission_product_yields_REAL.csv; radioactive_decay_chains_REAL.csv"
"Breit_Wigner_resonance","neutron_cross_section_resonances","barns","neutron_reactions","Breit-Wigner single-level formula: σ(E) = π×ƛ² × g × (Γ_n×Γ)/(E-E_r)²+(Γ/2)²; where E_r = resonance energy; Γ = total width; Γ_n = neutron width; g = statistical spin factor; ƛ = reduced de Broglie wavelength; resonance cross sections can reach 10³-10⁶ barns; Xe-135 giant resonance at E~0.084 eV (near thermal energy): σ_max ≈ 4×10⁶ barns","Xe-135 cross section 2.65×10⁶ barns at thermal energy = sum of multiple resonance contributions (but dominated by single strong resonance at 0.084 eV = thermal energy); this is physically why Xe-135 is the most powerful reactor poison: its quantum mechanical resonance energy exactly coincides with the thermal neutron spectrum; accidental quantum alignment; no other nucleus has such a large cross section at thermal energy","Breit Wigner 1936 Phys Rev 49:519; Mughabghab 1984 Neutron Cross Sections; xenon_135_poisoning_REAL.csv; rbmk_core_neutron_physics_REAL.csv"
"Doppler_broadening_quantum","thermal_motion_broadens_resonances","qualitative","reactor_physics","Doppler broadening mechanism (quantum explanation): U-238 resonance absorption at ~6.67 eV; stationary nucleus: sharp resonance (Breit-Wigner); thermal motion of U-238 atoms at temperature T (Maxwell-Boltzmann velocity distribution): each atom has different kinetic energy → in COM frame, neutron energy shifted; nuclear reaction cross section must be folded with velocity distribution; result: resonance appears broadened to observer; width increases as √T; area conserved (same total absorption probability); higher T → broader resonance → more absorption","Doppler broadening: as fuel temperature increases: more U-238 atoms in tail of velocity distribution; more overlap between neutron thermal spectrum and broadened U-238 resonance; more U-238 absorptions (n,γ → U-239 → Pu-239; not fission); fewer neutrons available; negative reactivity feedback INSTANTANEOUS (responds at speed of heat transfer ~microseconds, not seconds); this is why reactors are FUNDAMENTALLY self-limiting against transients that cause fuel heating","Glasstone Sesonske; Wigner ORNL 1946; Blatt Weisskopf 1952; rbmk_void_coefficient_physics_REAL.csv; rbmk_core_neutron_physics_REAL.csv"
"radioactive_decay_law","N(t)=N0*exp(-lambda*t)","N/A","quantum_mechanics","Radioactive decay law: N(t) = N₀ × exp(-λt); activity A = λN = A₀ × exp(-λt); decay constant λ = ln2/t½; quantum mechanical basis: decay is tunneling of alpha particle (or weak force beta decay) through Coulomb barrier; probability per unit time (λ) = constant because: quantum tunneling probability depends only on barrier width/height (fixed by nuclear structure); each nucleus decays independently; no memory of past; decay law is EXACT quantum prediction","RBMK fuel inventory evolution: N_Cs137(t) = N₀_Cs137 × exp(-ln2/t½×t) + [production rate]; production rate from fission until shutdown April 26 1986; after shutdown: pure decay law; 2026: Cs-137 remaining = exp(-ln2/30.17×40) = 0.398 of 1986 value; if Unit 4 had 260 PBq initially: 2026 = 104 PBq; released 85 PBq → remaining in corium = 175 PBq × 0.398 = ~70 PBq still in shelter","Rutherford Geiger 1910; Gamow 1928 (alpha tunneling); Fermi 1934 (beta decay); isotope_decay_timeseries_REAL.csv; am241_ingrowth_timeseries_REAL.csv"
"Gamow_factor_alpha_decay","quantum_tunneling_through_Coulomb_barrier","dimensionless","alpha_decay_physics","Gamow tunneling factor: G = exp(-2γ) where γ = (1/ℏ)∫√(2m(V(r)-E)) dr; for alpha decay: V(r) = Z₁Z₂e²/(4πε₀r); Coulomb barrier height for Pu-239: V_max = 2×94×e²/(4πε₀R_nuclear) ≈ 27 MeV; alpha energy = 5.15 MeV; must tunnel through barrier of width ~20-30 fm; G = exp(-2×10⁴) ≈ e^(-20000) for this barrier → extremely slow decay; t½ = 24,110 years; Geiger-Nuttall relation: log(λ) ∝ -Z/√E_alpha","Geiger-Nuttall law (1911) explained by Gamow tunneling: high Z → higher barrier → longer half-life; low alpha energy → more tunneling distance → longer half-life; explains: Po-212 alpha (E=8.78 MeV): t½=0.3µs (small barrier penetration); Pu-239 alpha (E=5.15 MeV): t½=24,110yr; Am-241 alpha (E=5.49 MeV): t½=432yr; U-238 alpha (E=4.27 MeV): t½=4.47Gyr; quantum tunneling makes uranium ore geologically stable","Gamow 1928 Z Phys 51:204; Gurney Condon 1928; Geiger Nuttall 1911; radioactive_decay_chains_REAL.csv; beta_alpha_radiation_physics_REAL.csv; am241_ingrowth_timeseries_REAL.csv"
"weak_force_beta_decay_V-A","Fermi_theory_and_CKM_matrix","N/A","beta_decay_physics","Beta decay fundamental physics: governed by weak nuclear force; W-boson mediated (discovered 1983 CERN); effective Fermi theory: G_F/(ℏc)³ = 1.166×10⁻⁵ GeV⁻²; quark level: d → u + e⁻ + ν̄_e (β⁻); u → d + e⁺ + ν_e (β⁺); CKM matrix element V_ud = 0.9737 governs coupling; V-A (vector minus axial) current structure; Gamow-Teller transitions (ΔJ=1) vs Fermi transitions (ΔJ=0); spectrum is CONTINUOUS because 3-body decay (nucleus + electron + antineutrino share energy)","Continuous beta spectrum (not discrete lines) = key quantum feature: Cs-137 beta E_max=514 keV but MOST betas have energy << E_max (average ~195 keV for allowed transitions); if beta were discrete, dosimetry would be simple; continuous spectrum = range of tissue penetration depths; Sr-90 pure beta emitter: no gamma (no photon emitted) because β⁻ decay → Ba-137m excited state emits gamma separately; for pure beta: no chance of detection at distance → Sr-90 invisible to gamma detectors","Fermi 1934; Gamow Teller 1936; CKM matrix Cabibbo 1963 Kobayashi Maskawa 1973; beta_alpha_radiation_physics_REAL.csv; radioactive_decay_chains_REAL.csv"
"pair_production_quantum","photon_creates_electron_positron","MeV","QED_process","Pair production: photon → e⁻ + e⁺; requires E_γ ≥ 2m_e c² = 2 × 0.511 MeV = 1.022 MeV; QED (quantum electrodynamics) process; occurs in Coulomb field of nucleus; cross section increases with E_γ above threshold; σ_pp ∝ Z² × ln(E_γ/m_e c²) at high energy; positron rapidly annihilates with electron → two 511 keV annihilation photons (back-to-back; momentum conservation); signature: 511 keV peak in gamma spectrum","Co-60 gammas (1.173 and 1.332 MeV) exceed pair production threshold; pair production contributes ~10-20% of total cross section at 1.25 MeV in tissue; this is why Co-60 was more penetrating than Cs-137 in 1986-1993 (requiring more shielding); pair production in NSC concrete: 511 keV annihilation photons created within shield must be accounted for in shielding design; Co-60 now 99.4% decayed (2026) so this is historical concern","Klein Nishina 1929; Heitler 1954 Quantum Theory of Radiation; gamma_ray_interaction_physics_REAL.csv; reactor_activation_products_REAL.csv"
"fission_Q_value","200_MeV_distribution_among_products","MeV","fission_energy_physics","Fission energy distribution for U-235: total Q = ~200 MeV breakdown: fission fragments KE = 168 MeV (84%); prompt neutrons KE = 5 MeV (2.5%); prompt gamma = 7 MeV (3.5%); beta particles from fission products = 8 MeV (4%); delayed gamma from fission products = 7 MeV (3.5%); antineutrinos = 12 MeV (6%; LOST; not deposited in reactor); practical heat = 200 - 12 = ~188 MeV deposited; decay heat = 8+7=15 MeV = 7.5% of total","Decay heat (delayed gammas + betas = 15 MeV = 7.5% at t=0): this is the 7% decay heat rule; after shutdown: fission product beta+gamma decays continue; explains why Fukushima required cooling for days after shutdown; 15/188 MeV = 7.9% agrees with ANS-5.1 7% rule; as fission products decay (short-lived first), fraction decreases; Am-241 ingrowth years later adds tiny fraction; in RBMK Unit 4 at accident: decay heat at shutdown = 3200 × 0.079 = ~250 MWth immediately","ANS-5.1 1979; Way Wigner 1948; Keepin 1965; nuclear_fuel_cycle_burnup_REAL.csv; chernobyl_decommissioning_physics_REAL.csv"
"nuclear_excited_states","isomers_and_metastable_states","MeV","nuclear_structure","Nuclear excited states: nuclei have quantized energy levels (like atomic electrons); gamma decay: nucleus in excited state → lower state + gamma photon; isomers: long-lived excited states (t½ > 1 ns) due to large spin difference (ΔJ large → γ transition highly hindered); Ba-137m (t½=2.552 min): produces 662 keV gamma (E_level = 661.66 keV); metastable symbol = m; 13 isomers important in fission product inventory; also: Am-242m (t½=141yr; γ cascade)","Ba-137m is THE most important gamma emitter in Chernobyl/nuclear power context: ALL 662 keV gammas measured in environmental monitoring come from Ba-137m; Cs-137 itself emits only electrons (beta) which travel <5mm; Ba-137m is created in ~93.5% of Cs-137 decays; equilibrium: Ba-137m activity = Cs-137 activity (t½=2.5min << t½=30yr); measuring 662 keV gamma = measuring Cs-137 activity indirectly via daughter; if Cs-137 separated chemically from Ba → no 662 keV signal until re-equilibration (2.5min × 7 = ~18 min to 99%)","NNDC NuDat 3; Firestone 1996 Table of Isotopes; gamma_ray_interaction_physics_REAL.csv; radioactive_decay_chains_REAL.csv"
