"date","time_local_Kiev","event","event_type","physics_significance","source"
"1986-04-25","01:06","Planned power reduction begins from 3200 MWt for turbine coastdown test; steady decrease initiated","operational","Test was 4th attempt (1982 1983 1985 all failed); test specification called for 700-1000 MWt; power reduction by operators","INSAG-7; WNA Appendix 1"
"1986-04-25","13:05","Reactor power reduced to approximately 1600 MWt for test; grid dispatcher Kiev orders hold — test postponed","operational","Power reduction began 12 hours before test; Kiev dispatcher needed Unit 4 power for daytime grid demand; 9-hour delay while maintaining partial power","INSAG-7; WNA"
"1986-04-25","14:00","ECCS (Emergency Core Cooling System) isolated per test procedure; NOT reconnected before accident","safety_violation","ECCS isolation was specified in test protocol; however it remained isolated for entire 9-hour delay and through accident; would not have prevented prompt criticality but removed emergency cooling fallback","INSAG-7 §3.1; WNA"
"1986-04-25","23:10","Kiev dispatcher releases reactor; power reduction to test level resumes","operational","After 9-hour hold; new shift begins; operators unfamiliar with current xenon condition; xenon-135 had been building up during hold at elevated power","INSAG-7"
"1986-04-26","00:28","Power drops to approximately 30 MWt (xenon pit); near-complete shutdown","xenon_poisoning","Xenon-135 (t1/2=9.2h) built up to peak poisoning ~3000 pcm during 9-hour hold; when operators tried to reduce power they entered deep xenon pit; reactor nearly shut itself down; Xe-135 absorbs thermal neutrons → k_eff <<1","INSAG-7 §3.2; reactor_physics_REAL.csv"
"1986-04-26","00:28","Operators withdraw most control rods to overcome xenon pit and stabilize power","operator_action","To bring reactor out of xenon pit operators withdrew rods massively; this moved ORM from acceptable value toward minimum (15 rods); sets stage for catastrophically low ORM at test time; graphite tips now above core awaiting insertion","INSAG-7; WNA"
"1986-04-26","01:00","Power stabilized at approximately 200 MWt after xenon partial burnout over ~30 minutes","operational","Xenon partially burned by neutron absorption during 200 MWt operation; reactor not stably controlled; shift foreman Aleksandr Akimov and supervisor Anatoly Dyatlov decided to proceed at 200 MWt despite being below test spec 700-1000 MWt","INSAG-7; WNA Appendix 1"
"1986-04-26","01:03","Two additional main circulation pumps started per test protocol; now 8 of 8 pumps running","operational","Increased coolant flow was part of turbine rundown test; 8 pumps running at 200 MWt caused excessive core coolant flow → more subcooling → REDUCED void fraction → temporarily SUPPRESSED positive void coefficient; gave false impression of stability","INSAG-7 §3.3; reactor physics"
"1986-04-26","01:19","Operators note increasing instability; coolant flow approaching limits","operational","High coolant flow at low power created unstable thermal-hydraulic conditions; some operators concerned but Dyatlov pressed to continue; test had been delayed 9 hours","INSAG-7"
"1986-04-26","01:22:30","ORM measured at 8 rod-equivalents; below minimum required 15; shift foreman signed off","safety_violation","ORM = 8 rods = only 8 rod-equivalents of negative reactivity available for shutdown; minimum requirement was 15; post-accident minimum raised to 30; with ORM=8 nearly all control rods were withdrawn from active core; graphite displacer tips at top of core channels waiting to be inserted","INSAG-7; reactor_physics_REAL.csv"
"1986-04-26","01:23:04","Test begins: turbine steam supply valve closed; reactor now coast-down begins","test_start","With steam valve closed coolant flow to turbines stops; steam generator pressure increases; more boiling in core → INCREASING void fraction → INCREASING positive reactivity → power begins rising; the void coefficient feedback loop begins","INSAG-7; WNA Appendix 1"
"1986-04-26","01:23:40","Power >530 MWt and rapidly increasing; operator Leonid Toptunov initiates AZ-5 SCRAM","scram_initiation","AZ-5 = full emergency shutdown button; all 211 control rods ordered to insert; but at ORM=8 nearly all rods were withdrawn with graphite displacer tips sitting ABOVE active core regions waiting to enter; SCRAM actually begins the excursion","INSAG-7; WNA Appendix 1"
"1986-04-26","01:23:41_to_43","Graphite displacer tips enter core during first 1-3 seconds of rod insertion; positive reactivity spike","positive_scram_effect","Graphite tips (lower neutron absorption than water they displaced) add +2 to +3 beta positive reactivity as they enter the water-filled channels; this is the immediate cause of excursion; rods are physically moving toward shutdown but first make it worse","INSAG-7 §3.4; graphite_tip reactivity_physics_REAL.csv"
