"parameter","value","units","context","notes","source"
"Xe135_neutron_absorption_cross_section","2.65e6","barns_thermal","Thermal neutron absorption cross section of Xe-135 at 0.025 eV (room temperature); one of the highest known for any nuclide; 2.65 million barns = 2.65 × 10^-18 cm²; compare: U-235 thermal fission = 585 barns; so Xe-135 absorbs ~4500 times more strongly per atom than U-235 fission","Xe-135 is THE dominant fission product poison in operating reactors; its production from I-135 decay (t1/2=6.57hr) during power reduction causes xenon pit; reactor control after power reduction is critically constrained by xenon buildup","NNDC nuclear data; ENDF/B-VIII.0; Lamarsh Nuclear Reactor Theory; reactor_physics_REAL.csv"
"Xe135_half_life","9.14","hours","Radioactive decay of Xe-135 by beta-minus decay to Cs-135 (t1/2=2.3×10^6 yr; approximately stable); Xe-135 decays with t1/2=9.14 hours; in equilibrium reactor: production (from I-135 decay + direct fission) ≈ destruction (neutron capture + decay)","In operating reactor: Xe-135 equilibrium concentration ∝ reactor power; at power reduction, neutron flux drops, neutron absorption of Xe-135 stops, but I-135 (already built up) continues decaying to Xe-135 → rapid xenon accumulation over 10-12 hours","NNDC; IAEA nuclear data; Lamarsh; Glasstone Sesonske Nuclear Reactor Engineering"
"I135_half_life","6.57","hours","I-135 is the primary precursor of Xe-135 via beta-decay; I-135 itself produced directly from fission (cumulative yield ~6.3% of all fissions) and from Te-135 decay (t1/2=19s); chain: fission → Te-135 → I-135 → Xe-135 → Cs-135","I-135 equilibrium activity in operating reactor proportional to neutron flux; when reactor power cut: I-135 decays continuously to Xe-135 regardless of flux; this is the source of xenon transient poisoning","NNDC; IAEA ENSDF; Lamarsh Nuclear Reactor Theory 1983"
"Xe135_direct_fission_yield","0.003","fraction_of_fissions","Direct fission yield of Xe-135 from U-235 fission = 0.003 (0.3% cumulative yield for Xe-135 directly as fission fragment + short-lived precursors); contrast with I-135 cumulative yield ~0.064 (6.4%) as Xe-135 precursor chain","Total Xe-135 production = direct yield (0.3%) + from I-135 chain (~6.1%); precursor chain dominates; Xe-135 production continues for hours after shutdown as I-135 decays; this is why xenon pit severity increases AFTER shutdown or power reduction","NNDC fission yield data; England and Rider 1994 LANL; JEFF-3.3 fission yields"
"Xe135_equilibrium_at_operating_power","qualitative_constant","N/A","At steady-state full power: Xe-135 production (from fission direct + I-135 decay) = Xe-135 destruction (neutron absorption 2.65×10⁶ barns × flux + radioactive decay); equilibrium Xe-135 atom density reached in ~40-50 hours after startup","In RBMK operating at 1000 MWt: xenon equilibrium negative reactivity worth = approximately -3 to -5% Δk/k (3-5β in RBMK where β≈0.005); xenon worth comparable to control rods; changes in xenon are significant reactivity perturbations","reactor_physics_REAL.csv; Glasstone Sesonske; INSAG-7"
"Unit4_power_history_April25_night","full_power_1600_MWt","MWt_thermal","1986-04-25_13:05","At 13:05 April 25 1986: Kyiv grid dispatcher delayed test start; Unit 4 held at full power 1600 MWt for 9 hours (vs planned test sequence); Xe-135 remained at equilibrium low concentration during this 9-hour hold; decision: operators complied with dispatcher delay","9-hour hold at full power was normal for reactor operations and did NOT cause xenon buildup (was at equilibrium); xenon problem came later when power was reduced; see chernobyl_accident_chronology_REAL.csv","chernobyl_accident_chronology_REAL.csv; INSAG-7; OECD-NEA Ch.I"
"Unit4_power_reduction_22:00","1600_down_to_1600_MWt_then_reduced","MWt_thermal","1986-04-25_22:00_to_midnight","At 22:00 April 25: reactor power reduction began per test procedure; operator began withdrawing automatic regulating rods; manual reduction proceeded; power reducing toward test level of 700-1000 MWt; as power fell, neutron flux fell, Xe-135 neutron absorption stopped → Xe-135 began accumulating from I-135 decay","Xenon accumulation began as soon as power was reduced below equilibrium level; rate of Xe-135 buildup depends on: initial I-135 inventory; power reduction speed; RBMK specific design features","chernobyl_accident_chronology_REAL.csv; INSAG-7"
"Unit4_xenon_pit_00:28","30_MWt","MWt_thermal","1986-04-26_00:28","At 00:28 April 26: reactor power fell to ~30 MWt thermal (essentially zero); causes: operator distracted allowing AR control signal to override manual operation; xenon poisoning had built up for ~2.5 hours; Xe-135 now absorbing most neutrons; almost impossible to sustain criticality","30 MWt = ~2% of design power; this is essentially subcritical because xenon burden is too large; nearly all control rods were pulled out trying to fight xenon; ORM (Operational Reactivity Margin) fell to ~8 control rod equivalents (vs minimum 15 required by procedure)","chernobyl_accident_chronology_REAL.csv; INSAG-7; reactor_physics_REAL.csv"
"Unit4_decision_to_continue","continue_despite_low_ORM","qualitative","1986-04-26_00:28_to_01:00","At 00:28 with power at 30 MWt: procedure required ABORT of test; senior operator Dyatlov (shift chief) ordered continuation and power recovery; this decision violated: (1) ORM minimum 15 rods procedure; (2) shift supervisor approval requirements; (3) NRC analog technical specifications; operators raised power to ~200 MWt by 01:00 by withdrawing nearly all remaining rods","Continuation with ORM=8 (confirmed by printout later): reactor was in region of extreme xenon instability; positive void coefficient dominates at low power and low ORM; the reactor was in the most dangerous possible operating state; test proceeded","INSAG-7; Sich 1994; chernobyl_accident_chronology_REAL.csv; rbmk_safety_modifications_REAL.csv"
"Unit4_power_recovery_to_200_MWt","200","MWt_thermal","1986-04-26_01:00","Power recovered to ~200 MWt by withdrawing nearly all manual control rods; this left ORM at ~8 rods (minimum procedure required 15); reactor stabilized at 200 MWt for test preparation; xenon still poisoning reactor (200 MWt << equilibrium power needed to eliminate xenon)","At 200 MWt with xenon poisoning: nearly all control rods withdrawn; any power increase → increased void (steam) → positive void coefficient adds reactivity → more power increase (runaway); the reactor was primed for the accident","INSAG-7; reactor_physics_REAL.csv; rbmk_safety_modifications_REAL.csv"
"Xe135_xenon_pit_depth_ORM_impact","8_equivalent_control_rods","control_rod_equivalents","1986-04-26_01:22:30","At 01:22:30 April 26: confirmed ORM = 8 equivalent control rods; xenon poisoning + operator rod withdrawal = only 8 rods inserted of ~211 manual rods; RBMK safety margin requires minimum 15 rods; with ORM=8, reactor cannot be safely controlled; scram effectiveness reduced; positive void coefficient dominant","This is the critical pre-accident state: 8 rods inserted, xenon poisoning partially compensated by rod withdrawal, reactor at 200 MWt in positive void coefficient regime, test about to proceed","chernobyl_accident_chronology_REAL.csv; INSAG-7 Table 2; rbmk_safety_modifications_REAL.csv"
"Xe135_role_in_accident_cause","contributing_factor_not_direct_cause","qualitative","accident_root_cause_analysis","Xenon poisoning was NOT the direct cause of the power excursion; it was the PRECONDITION: (1) xenon pit forced extreme rod withdrawal → ORM=8; (2) low ORM + positive void coefficient + graphite tip effect = accident when AZ-5 pressed; (3) without xenon pit, ORM would have been adequate; xenon poisoning created the unsafe state, graphite tip created the prompt criticality","INSAG-7 concludes operator violations (disabling safety systems + xenon pit continuation) combined with RBMK design flaws (graphite tip positive spike + positive void coefficient) = combined cause; see reactor_physics_REAL.csv and rbmk_safety_modifications_REAL.csv for full cause analysis","INSAG-7 Section 4; reactor_physics_REAL.csv; rbmk_safety_modifications_REAL.csv; chernobyl_accident_chronology_REAL.csv"
"Xe135_xenon_oscillations_RBMK","unique_to_large_reactors","qualitative","general_RBMK_physics","RBMK-1000 large core (11.8m diameter) susceptible to xenon spatial oscillations: in different regions of core, xenon builds up or burns out independently; operators must manually compensate regional xenon asymmetry; this is unique to very large thermal reactors; western LWRs (smaller core + automatic control) less susceptible; RBMK operators required extensive manual control of individual control rod groups","Xenon spatial oscillations contribute to operating complexity of RBMK; automatic RAMP system existed but was disabled April 26 (one of safety system bypasses); normal RBMK operation required operator skill to manage xenon distribution","reactor_physics_REAL.csv; INSAG-7; WANO operational safety review RBMK 1992"
"Xe135_post_accident_xenon_decay","eliminates_in_~40_hours","hours","after_1986_04_26_accident","After reactor shutdown (destroyed April 26): Xe-135 decays with t1/2=9.14hr; by April 28 (48hr after accident) xenon essentially gone from destroyed reactor; irrelevant after accident; however xenon buildup considerations apply to other RBMK units that were restarted in October-November 1986","Xenon management procedures were among the first operational procedures strengthened in post-accident RBMK modifications; minimum ORM raised from 15 to 30 rods in 1987-1989 revisions; automatic ORM monitoring installed; see rbmk_safety_modifications_REAL.csv","rbmk_safety_modifications_REAL.csv; INSAG-7; post-accident RBMK operating procedures revisions 1987"
"Sm149_samarium_poisoning","4.0e4","barns_thermal","secondary_neutron_poison_context","Samarium-149 (t1/2=stable) from Pm-149 decay (t1/2=53.1hr) is second major fission product poison; thermal absorption cross-section 41,000 barns; much less than Xe-135; Sm-149 equilibrium reactivity worth ~-0.7-1.0% Δk/k; does not cause 'samarium pit' comparable to xenon pit because smaller worth; not a factor in Chernobyl accident","Sm-149 builds up after shutdown but takes days vs hours for xenon; at Chernobyl Unit 4: Sm-149 existed in equilibrium prior to accident but was not a significant factor in the accident sequence; included for completeness of reactor poison physics","NNDC; Lamarsh; Glasstone; not specific to Chernobyl accident sequence"
