"parameter_or_isotope","interaction_or_property","value","units_or_energy","context","chernobyl_dosimetry_relevance","source"
"photoelectric_effect","energy_range_dominant","below_100_keV_in_tissue; below_500_keV_in_lead","keV","Photoelectric effect: photon completely absorbed by atom; inner-shell electron ejected with kinetic energy E_k = hν - E_binding; cross-section σ_pe ∝ Z^4-5 / E^3.5; rapidly decreasing with energy; increasing with atomic number Z","At Chernobyl: Am-241 (59.5 keV gamma) undergoes photoelectric interaction in lead shielding; Ba-137m 662 keV is above photoelectric regime for tissue but Compton-dominant; photoelectric effect explains why lead is excellent gamma shield","NIST XCOM database; Attix 1986 Introduction to Radiological Physics; Hubbell 1982"
"Compton_scattering","energy_range_dominant","100_keV_to_5_MeV_in_all_materials","keV","Compton scattering: photon scatters off free/loosely-bound electron; photon transfers partial energy to electron; both scatter at angles; cross-section given by Klein-Nishina formula; σ_C decreases with energy at high E; independent of Z (per electron) but depends on electron density","Cs-137 662 keV photon: Compton scattering dominant in tissue and air; explains why Cs-137 is detected at long distances; Compton scatter contributes to background at lower energies in gamma spectra; Compton backscatter at 180° gives 184 keV for 662 keV photon","Klein O Nishina Y 1929 Z Physik; NIST XCOM; Attix 1986"
"pair_production","threshold_and_dominance","threshold_1.022_MeV_dominant_above_5_MeV","MeV","Pair production: photon converts to electron-positron pair in Coulomb field of nucleus; threshold = 2 × m_e × c² = 2 × 0.511 MeV = 1.022 MeV; positron annihilates with electron → two 511 keV annihilation photons","Relevant for Co-60 (1.173 + 1.332 MeV): pair production is ~10-20% of total cross-section in tissue at these energies; annihilation peak at 511 keV appears in Co-60 HPGe spectra; not dominant at Cs-137 (662 keV < 1 MeV)","Attix 1986; NIST XCOM; radioactive_decay_chains_REAL.csv"
"Cs137_Ba137m_gamma","full_energy_peak","661.657","keV","Ba-137m (metastable) emits 661.657 keV gamma with 85.1% branching ratio; t1/2(Ba-137m)=2.552 min; in secular equilibrium with Cs-137 in environment; Compton scattering dominant in tissue and common materials at this energy","PRIMARY gamma used for Cs-137 detection worldwide; peak at 661.7 keV in NaI or HPGe spectrum IS the Ba-137m gamma; Cs-137 atom itself emits only beta; ALL 662 keV gammas from Chernobyl contamination come from Ba-137m daughter; see radioactive_decay_chains_REAL.csv","NNDC NuDat 3; Browne E 1986 Nucl Instrum Methods; radioactive_decay_chains_REAL.csv"
"Cs134_gammas","multiple_peaks","604.7_keV_(97.6%); 795.9_keV_(85.4%); 1168.0_keV_(1.8%); 1365.2_keV_(3.1%)","keV_and_intensity","Cs-134 emits multiple gammas unlike Cs-137 (single dominant peak); t1/2=2.065 yr; fully decayed by ~1992 (10 half-lives after 1986); presence of Cs-134 with Cs-134/Cs-137 ratio ~0.57 was fingerprint of freshly released Chernobyl material","Cs-134 presence confirmed Chernobyl origin in April-May 1986 detections globally; ratio 0.57 specific to Unit 4 fuel burnup; gamma spectrometry easily distinguishes Cs-134 from Cs-137 by different peak positions; see atmospheric_transport_plume_REAL.csv","NNDC; atmospheric_transport_plume_REAL.csv; radioactive_decay_chains_REAL.csv"
"I131_gammas","dominant_peak","364.5","keV (81.5% intensity)","I-131 primary gamma 364.5 keV; also 637.0 keV (7.2%), 722.9 keV (1.8%), 284.3 keV (6.1%); photoelectric effect significant at 364.5 keV in dense materials; detected easily by NaI in field measurements","I-131 gamma used for field thyroid measurements in 1986 (Soviet DP-100 instruments); however DP-100 was poorly calibrated for neck geometry → factor 3 error in thyroid dose; 364.5 keV also used for thyroid scanning in nuclear medicine (different application)","NNDC NuDat 3; retrospective_dosimetry_methods_REAL.csv; dose_conversion_factors_REAL.csv"
"Am241_gamma","low_energy_peak","59.54","keV (35.9% intensity)","Am-241 emits 59.54 keV gamma (35.9%); low energy = strongly attenuated by soil cover or building materials; photoelectric effect dominant at this energy; detected by low-energy HPGe or NaI but attenuated by >5cm soil; alpha decay predominates (5.486 MeV)","Am-241 in CEZ soils NOW (2026): growing from Pu-241 decay; 59.54 keV gamma allows detection of Am-241 in soils with low-energy HPGe; BUT soil depth of >1-2 cm significantly attenuates 59.54 keV; near-surface Am-241 most detectable; see am241_ingrowth_timeseries_REAL.csv","NNDC; IAEA Safety Reports; am241_ingrowth_timeseries_REAL.csv"
"Co60_gammas","two_cascade_gammas","1173.2_keV_(99.9%) AND 1332.5_keV_(99.98%)","keV","Co-60 emits two gammas in cascade (nearly 100% branching); t1/2=5.27 yr; essentially fully decayed by 2026 (99.4%); pair production contributes at these energies; high-energy gammas require thicker shielding than Cs-137","Co-60 was major dose contributor 1986-1993; now negligible in CEZ (99.4% decayed); its two-peak signature distinctive in spectrum; used as gamma ray calibration standard in nuclear medicine and radiation protection; reactor_activation_products_REAL.csv has detailed Co-60 data","reactor_activation_products_REAL.csv; NNDC; Kleszcz 2010"
"HVL_lead_Cs137","half_value_layer_in_lead","6_to_7","mm_Pb","Half-value layer (HVL) in lead at 662 keV: ~6-7 mm; meaning 6-7 mm of Pb reduces Cs-137 gamma intensity by 50%; tenth-value layer (TVL) = 23 mm Pb; shielding calculation: I = I_0 × exp(-µx) where µ = linear attenuation coefficient (cm^-1)","For Chernobyl decontamination: 7 mm Pb plate provides 2x reduction in Cs-137 gamma field; 23 mm provides 10x reduction; practical for mobile shielding; heavier shielding needed for high-dose areas near reactor (graphite blocks required meters of concrete/lead)","NIST XCOM; Attix 1986; National Council on Radiation Protection; chernobyl_shelter_sarcophagus_REAL.csv"
"HVL_concrete_Cs137","half_value_layer_in_concrete","45_to_60","mm_concrete","HVL in concrete at 662 keV: ~45-60 mm; TVL = ~150-200 mm; concrete density 2.3 g/cm³; standard 20 cm concrete wall provides factor of ~5-10 reduction in Cs-137 gamma","Sarcophagus walls: ~50 cm concrete; provides factor 20-100 reduction in Cs-137 gamma from Unit 4; NSC steel provides additional shielding; relevant for dose rates to workers near Shelter; see chernobyl_shelter_sarcophagus_REAL.csv","NIST XCOM; Attix 1986; IAEA Safety Reports"
