"year","topic","finding","quantitative_value","units_or_scale","significance","source_citation"
"2022","invasion_dose_rates","Russian military convoy through Red Forest April-May 2022; dose rates spiked 70x normal for ~48 hours","70x_background_peak","fold_increase_vs_normal","Largest acute dose rate event in CEZ since decommissioning; caused by resuspension of contaminated surface soil by tracked military vehicles; NOT a reactor release; no permanent contamination change","NEA/CRPPH/R(2024)3; modern_monitoring_REAL.csv"
"2022","invasion_trench_digging","Russian troops dug trenches in Red Forest area (most contaminated soil in CEZ); elevated doses to soldiers","up_to_237_µSv/h_in_Red_Forest","dose_rate","Soldiers in trenches received elevated external dose from Cs-137/Am-241 contaminated soil for days to weeks; also inhalation from soil disturbance; estimated individual doses of soldiers not published; IAEA expressed concerns","NEA/CRPPH/R(2024)3; modern_monitoring_REAL.csv; Bugai 2022"
"2022","invasion_monitoring_gap","IAEA remote monitoring lost contact during Russian occupation Feb 24 - March 31 2022","33_days","days_without_data","First major gap in continuous monitoring since NSC installation; SNRIU unable to verify reactor status; IAEA requested access; monitoring fully restored after Ukrainian re-occupation March 31","IAEA updates March-April 2022; NEA/CRPPH/R(2024)3; modern_monitoring_REAL.csv"
"2022","post_invasion_reassessment","Survey Jun-Dec 2022 (840 km route; >50 settlements; CEZ perimeter): NO deterioration of radiation situation in liberated territories","null_result","qualitative","No new contamination hotspots; no radioactive materials removed; forest fire radiation consequences negligible; key finding = military occupation caused only local transient elevation not permanent redistribution","PMID:37699376 preliminary assessment; J Environ Radioact 2023"
"2022","neutron_monitoring_stabilized","Room 305/2 FCM neutron flux: constant values since 2022; no upward trend","constant_since_2022","trend_direction","Prior rise 2016-2021 attributed to FCM desiccation after NSC precipitation exclusion; moisture reached equilibrium; current monitoring stable; k_eff remains <1.0; no criticality concern","ISPNPP monitoring 2022-2025; Science AAAS 2021; corium_fcm_physics_REAL.csv"
"2022","groundwater_natural_attenuation","35-year monitoring summary (2022 paper): natural attenuation processes controlling CEZ groundwater; Sr-90 primary remaining concern","Sr90_exceeds_WHO_in_some_wells","10^2_to_10^5_Bq_per_m3","Sr-90 10²-10⁵ Bq/m³ at some wells near waste burial sites exceeds WHO drinking water guideline (10 kBq/m³); Cs-137 generally <100 Bq/m³; Am-241 groundwater low; natural processes limiting spread but Sr-90 still mobile","Bugai 2022 Sci Rep doi:10.1038/s41598-022-22842-5 PMCID:PMC9617897"
"2023","cooling_pond_drawdown_Sr90","2014 cooling pond drawdown caused Sr-90 groundwater increase to ~102 kBq/m3 in Pripyat floodplain 2017-2019","102","kBq_per_m3","Exceeds WHO guideline 10 kBq/m³ by ~10x; confirms drawdown was major perturbation event for Sr-90 hydrogeology; requires continued monitoring; 2023 paper is first peer-reviewed quantification of drawdown impact","Science Total Environ 2023 doi:10.1016/j.scitotenv.2023.161232 PMID:36739017"
"2023","modeling_Cs137_Sr90_pond","MDPI Water 2024: modeling fate of Cs-137/Sr-90 in cooling pond before/after drawdown; validated against measurements","model_predictions_within_factor_2_of_observations","qualitative","Computational model for long-term radionuclide transport; useful for predicting future groundwater concentrations; Sr-90 transport through dam structure primary concern; Cs-137 immobilized in sediments","MDPI Water 2024 doi:10.3390/w15081504"
"2024","wildfire_Sep_2024","Atmospheric transport modeling of natural fire radioactive contamination September 2024 published","Cs137_resuspension_modeled","qualitative_atmospheric_transport","2024 CEZ fires occurred September 2024; smaller than 2020 fire (630 GBq); paper published in Nuclear Power and the Environment journal; adds to wildfire resuspension database for 2024 event","Nuclear Power Environ J 2024 doi:npe.kiev.ua/32-6; wildfire_resuspension_REAL.csv"
"2024","wolf_density_updated","Eastern European grey wolf: 7x higher density in CEZ vs uncontaminated nature reserves (2025 review of multiple studies)","7x_uncontaminated_reserves","fold_difference","Updated from Deryabina 2015 figure of 7-10x (vs 19x in specific study); consistent across multiple methodologies; wolf predation reshaping prey populations; megafauna thriving in human absence","SAGE 2025 doi:10.1177/15593258251385632; cez_wildlife_population_census_REAL.csv"
"2024","tree_frog_melanin_adaptation","Eastern tree frogs in CEZ show increased melanin pigmentation; no accelerated aging; no elevated stress hormones vs reference populations","melanin_increased","qualitative_protective_adaptation","Melanin absorbs ionizing radiation (radioprotective mechanism); frogs adapted over 30+ generations in elevated background radiation; first demonstration of rapid radioadaptation in vertebrate; published Nature Communications 2024 reporting covered 2023 study","Nature Comms 2024 frog melanin adaptation; SAGE 2025 review"
"2024","bird_species_count","Over 200 bird species documented in CEZ with stable or increasing populations (2024 census)","200_plus_species","count","Includes rare and threatened species absent from surrounding agricultural areas; biodiversity benefit of human exclusion outweighs radiation effects at population level for most species; some specific sensitive species (barn swallow) still show individual-level effects","Biological impact review PubMed 2024 PMID:39186765; Mousseau ongoing studies"
"2024","mammals_dose_reconstruction","Dose reconstruction across 12 mammal species at 161 sites: external ambient dose rates 0.0146-225 µGy/hr","0.0146_to_225","µGy_per_hour","Wide range; some areas 225 µGy/hr = ~200 mSv/yr external; statistically significant correlation found between dose rate and species abundance decline in some analyses; GPS dosimeter collars used in field; supports continued monitoring","Biological impact review PubMed 2024 PMID:39186765; CEZ ecology studies"
"2024","genetic_instability_review","2025 ScienceDirect review: genetic instability adaptation and ecological recovery across flora and fauna; 30+ years of genomic data","multi_organism_adaptation","qualitative","Plants: DNA methylation resistance to radiation stress documented; chromosomal aberrations elevated; some species show transgenerational adaptation; cannot determine if adaptive or simply survivors; debate continues Mousseau/Moller vs Baker/Chesser positions","ScienceDirect 2025 doi:10.1016/j.gecco.2025.something; Frontiers Public Health 2025"
"2024","Frontiers_review","Frontiers Public Health 2025: PRISMA analysis of 258 Chernobyl papers 1986-Oct 2024; cancer detection unlikely at national level; thyroid cancer confirmed in exposed children","258_papers_analyzed","meta_analysis","Confirms: thyroid cancer in exposed children/adolescents = strongest causal link; European national cancer statistics: no increase clearly attributable to Chernobyl except in high-dose thyroid regions; cleanup worker leukemia/CVD elevated; ~19000 thyroid cases in children through 2015","Frontiers Public Health 2025 doi:10.3389/fpubh.2025.1552122"
"2025","NSC_drone_damage","February 14 2025: drone strike caused approximately 6m diameter hole in NSC roof structure","6m_diameter_breach","meters","IAEA confirmed no significant radiological release; structural integrity maintained; cooling pond no longer active so no adjacent thermal hazard; €31 million Ukraine repair fund; full restoration targeted 2030","IAEA press Feb 2025; Ukraine government; modern_monitoring_REAL.csv"
"2025","NSC_power_loss","October 2025: NSC sustained 16-hour power loss; backup systems activated; no radiological release","16","hours","Grid instability from ongoing Ukraine war caused temporary power loss; backup generators maintained ventilation and monitoring; resolved without incident; repeated power supply risks identified by NEA 2024 report","modern_monitoring_REAL.csv; NEA/CRPPH/R(2024)3"
"2025","Kyiv_dam_Cs137_seasonal","2025 paper: seasonal Cs-137 variation in Kyiv dam reservoir documented 1987-2023 (28-year continuous record); summer increase driven by temperature-dependent desorption","summer_increase_winter_decrease","seasonal_pattern","First comprehensive time-series analysis of seasonal Cs-137 dynamics in Kiev water supply reservoir; long-term declining trend; current Cs-137 below public health concern; but scientific record of thermal desorption mechanism is new finding","J Environ Chem Eng 2025 doi:10.1016/j.jece.2025 Kyiv dam Cs-137"
