"parameter","value","value_range","units","context","year","notes","source"
"corium_total_mass","195","170-220","tonnes","Shelter_Unit_4","1986-post","Estimated corium (fuel-containing materials + lava) mass in Shelter; 95% of original 190t UO2 fuel remains; uncertainty due to inaccessibility","WNA; National Geographic; ISPNPP"
"original_fuel_mass_Unit4","190","","tonnes","pre-accident","1986-04-25","Original UO2 fuel mass in Unit 4 at time of accident; 1661 fuel channels × ~110 kg fuel per channel","INSAG-7; OECD-NEA Ch.I"
"corium_lava_forms_major","","","qualitative","Shelter_Unit_4","1986-2026","Four major corium forms identified: (1) Elephant's Foot - extremely hard black lava 180t at lowest level; (2) brown lava flows on walls/floors; (3) stalactites; (4) ceramic fuel particles in dust. Elephant's Foot = ~180t dense glass-like material","ISPNPP; National Geographic; Khvostova 2007"
"corium_U235_remaining","170","150-190","kg","Shelter_unit4_corium","2026","~170 kg U-235 remaining in corium (of original ~3800 kg U-235 in fresh fuel; reactor had been operating ~700 days at time of accident, burning ~50 kg U-235 per full-power day); decay-corrected","INSAG-7; WNA; nuclear fuel data"
"corium_neutron_multiplication_concern","1.0","<1.0_to_date","k_effective","Room_305_2_and_other_locations","2016-2026","Room 305/2 and corium locations: k_eff < 1.0 (subcritical) but neutron counts doubled 2016-2021 as NSC excluded water (FCM drying → less neutron moderation → BUT better geometry may increase criticality approach). Ukrainian physicists monitoring. k_eff estimates 0.4-0.8 in various models.","ISPNPP; Science AAAS 2021 doi:10.1126/science.abj0017"
"corium_water_content_change","","","qualitative","Shelter_FCM","2016-2021","NSC installation 2016 excluded rainfall → corium FCM dried out → reduced neutron moderation → changed criticality parameters. This is the mechanism behind Room 305/2 neutron increase 2016-2021. Water acts as neutron moderator; removing it shifts spectrum harder BUT also reduces moderation so neutron multiplication can change.","Science AAAS 2021; ISPNPP"
"Elephant_foot_dose_rate","10000","","R_per_hour_in_1986","corium_basement_level_217_bipods","1986","Elephant's Foot measured >10,000 R/hr (=100 Sv/hr) when first accessed Dec 1986; lethal dose in seconds; robot camera sent first; dose reduced to ~800 R/hr by 1990 as short-lived fission products decayed","National Geographic; ISPNPP; historical record"
"corium_current_dose_rate","34","10-50","µSv_per_hour","accessible_areas_near_corium","2026","Current accessible areas near corium (~500 R/hr in 1986 → ~34 µSv/hr in 2026); 140,000-fold reduction in 40 years due to fission product decay; still inaccessible direct contact; remote tools required","ScienceInsights 2024; ISPNPP estimates"
"corium_mineral_phase_chernobylite","","","qualitative","Shelter_FCM","1991","Chernobylite: new mineral phase identified in Chernobyl corium; complex silicate containing U Zr Si O; formed at ~2000°C when molten fuel contacted concrete; named after the accident; first artificial mineral recognized in nature","Anderson 1993; Burakov 1997; American Mineralogist"
"corium_mineral_phase_lava_composition","","","qualitative","Shelter_FCM_black_lava","1986-post","Corium lava = heterogeneous mixture: UO2 (fuel) + ZrO2 + Fe oxides + Cr oxides + Si oxides (from structural materials/concrete) + fission products incorporated in glass matrix; hot particulates = pure fuel particles; not a single phase material","ISPNPP; Burakov 1997; Borovoi 1990"
"corium_fuel_burnup_at_accident","10.3","9-12","GWd_per_tonne_U","Unit_4_core","1986-04-25","Fuel burn-up ~10 GWd/tU at time of accident; relatively low burnup (reactor operated ~700 days); Pu-239 content ~3.5 kg per tonne U at this burnup; affects actinide inventory and criticality parameters","INSAG-7; OECD-NEA Ch.I; nuclear fuel calculations"
"corium_Pu239_inventory","180","150-210","kg","Shelter_corium_total","1986","Approximate Pu-239 inventory in corium at time of accident; ~1 kg per tonne U × ~190t fuel × 0.95 in-core fraction; immobile in corium but leaches very slowly in groundwater; drives long-term alpha contamination concern","OECD-NEA Ch.I; INSAG-7; calculations from source term"
"SNF_Units_1_2_3","21000","","spent_fuel_assemblies","ChNPP_all_units_ISF_1_and_2","2024",">21000 spent fuel assemblies in dry/wet storage on site; ISF-2 (Interim Storage Facility) being loaded since 2020; HOLTEC dry casks; additional concern during 2022 Russian occupation","SNRIU via NEA/CRPPH/R(2024)3"
"ISF2_capacity","21217","","spent_fuel_assemblies","Chornobyl_ISF_2","2020-ongoing","ISF-2 dry storage facility capacity 21217 assemblies; started accepting fuel 2020; HOLTEC International dry cask technology; 100yr design life; resolves long-term storage of RBMK spent fuel from all 4 units","HOLTEC International; SNRIU 2020"
"control_room_Unit4_dose_rate","40","","µSv_per_hour","Unit_4_control_room","2024","Unit 4 control room current dose rate ~40 µSv/h; accessible for short visits with appropriate PPE; room largely as it was in 1986; multiple radiation damage sources (walls/floor contaminated)","CEZ monitoring; ScienceInsights 2024"
"turbine_hall_Unit4_dose_rate","0.5","","µSv_per_hour","Unit_4_turbine_hall","2024","Turbine hall relatively accessible; ~0.5 µSv/h; decontaminated area; tour groups sometimes allowed","CEZ monitoring 2024"
