"filename","type","records_approx","date_range","description","primary_source","notes"
"01_source_term_REAL.csv","source_term","20_isotopes","1986-04-26 to 1986-05-05","Full 20-isotope radionuclide release inventory with PBq values half-lives and percent of core","UNSCEAR 2008 Table A1; OECD-NEA Ch.II Table 1","Authoritative source term; I-131=1760PBq Cs-137=85PBq Xe-133=6500PBq"
"03_european_airborne_REAL.csv","measurements","2051_rows","1986-04-27 to 1986-08-04","Real airborne measurements I-131 Cs-134 Cs-137 (Bq/m3) from 16 European countries; raw data from monitoring network","Anderson-FM GitHub (original: French IRSN/European network)","Largest raw measurement dataset in project; 16 countries; CR line endings fixed"
"european_deposition_REAL.csv","deposition","29_rows","1986-post","Cs-137 deposition by location (kBq/m2) plus daily I-131 release schedule 26Apr-5May 1986","OECD-NEA Ch.II; JRC Cs-137 Atlas 1998","Includes Bryansk hotspot (5000 kBq/m2) to Portugal minimum (0.02 kBq/m2)"
"unscear_population_doses_REAL.csv","doses","21_rows","1986-2005","Population dose tables from UNSCEAR 2008 Table B19; all exposure groups from workers to distant countries","UNSCEAR 2008 Annex D Table B19","530000 workers avg 117mSv; 115000 evacuees avg 490mGy thyroid; 500M distant avg 0.3mSv"
"unscear_liquidator_doses_REAL.csv","doses","54_rows","1986-1991","Liquidator external dose distributions by country (Belarus Russia Ukraine Lithuania) and year 1986-1991","UNSCEAR 2008 pp.82-84","219 workers received >1000 mGy; 305826 workers in 1986 with avg 146 mGy"
"unscear_evacuee_thyroid_doses_REAL.csv","doses","41_rows","1986","Evacuee thyroid dose distributions by age group (0-6 7-14 15-17 adult) and country","UNSCEAR 2008 Table B5","26% of Belarus pre-school evacuees received >5 Gy thyroid dose; 114511 total evacuees"
"thyroid_cancer_timeseries_REAL.csv","health","25_rows","1986-2015","Belarus annual thyroid cancer cases 1986-1995 plus cohort totals 1991-2015; dose-response estimates","UNSCEAR 2008 Annex D; PMC11252555","Peak Belarus 1994: 96 cases/yr; 19233 total three-country cases 1991-2015"
"thyroid_cancer_by_period_REAL.csv","health","195_rows","1982-2015","Complete UNSCEAR 2017 5-year period incidence data by country age group and sex; Belarus Russia Ukraine","UNSCEAR 2017 White Paper (Annex Table D11 update)","Most comprehensive thyroid cancer dataset; 7 periods x 4 age groups x 2 sexes x 3 countries"
"cez_soil_radionuclides_2016_REAL.csv","contamination","28_rows","2016","CEZ soil radionuclide concentrations (Bq/kg DM) by habitat (Coniferous/Deciduous/Red Forest); Cs-137 Sr-90 Am-241 Pu-238 Pu-239+240; dose rates to soil organisms","Beresford et al. 2022 PLOS ONE doi:10.1371/journal.pone.0263600","Red Forest Cs-137 mean 412000 Bq/kg; 53 study plots across 18 sites"
"ru106_2017_europe_REAL.csv","contamination","25_rows","2017-09 to 2017-10","Ru-106 2017 European detection event; air concentrations by country; deposition; source reconstruction; dose assessment","PNAS 2019; Nature Comms 2020; ScienceDirect 2018","Romania max 176 mBq/m3; reconstructed release ~250 TBq on 26 Sept 2017; Mayak facility probable source"
"groundwater_timeseries_REAL.csv","groundwater","31_rows","1986-2022","Sr-90 and Cs-137 in Pripyat River and CEZ groundwater monitoring wells 1986-2022; cooling pond drawdown effects","Bugai 2022 Scientific Reports; PMC7299996; ScienceDirect 2023","Sr-90 Pripyat peak 12200 Bq/L (1991 flood); 2019 groundwater 100-100000 Bq/m3 range"
"wildfire_resuspension_REAL.csv","environmental","30_rows","2015-2022","Wildfire radionuclide resuspension data for 2015 and 2020 fires; atmospheric release totals; river concentrations pre/post fire","Evangeliou 2016 Scientific Reports; PMC11580172","2020 fire: 630 GBq Cs-137 atmospheric + Sr-90 dissolved in river peaked to 11 Bq/L (May 2021)"
"modern_monitoring_REAL.csv","monitoring","50_rows","2016-2026","CEZ dose rates and soil concentrations 2016-2026; BfS 2021 remapping; NSC/shelter status; 2022 invasion effects; 2025 NSC drone strike; neutron monitoring Room 305/2; real-time 2026 measurements","BfS 2022; Beresford 2022; NEA/CRPPH/R(2024)3; ISPNPP; SaveEcoBot 2026","Dose rates 0.06-237 µSv/h by habitat; invasion caused 70x spike; neutron flux stable since 2022; Feb 2025 NSC drone strike; Oct 2025 NSC power loss"
"liquidator_health_outcomes_REAL.csv","health","20_rows","1986-2014","Liquidator leukemia ERR per Gy estimates from multiple cohort studies; ARS case summary; bone marrow transplants","PMC2904977 Romanenko 2008; PMC3960961; DOAJ; UNSCEAR 2008","Leukemia ERR/Gy=1.26 (95%CI 0.03-3.58); 134 ARS cases; 28 acute deaths"
"ars_cases_REAL.csv","health","20_rows","1986-2006","Detailed ARS case breakdown by dose severity grade; BMT data; survivor follow-up through 2006; skin dose data","UNSCEAR 2008 Annex D p.58-65; OECD-NEA Ch.V; Chernobyl Forum 2005","237 examined; 134 confirmed; 28 acute deaths; Grade IV (6-16 Gy) 21 patients 20 deaths"
"birth_defects_general_health_REAL.csv","health","20_rows","1986-2015","Birth defects/congenital anomaly epidemiology; cancer projections; mental health impacts; total confirmed deaths","UNSCEAR 2008; Chernobyl Forum 2005; EUROCAT 1999","UNSCEAR: no confirmed increase in birth defects; ~60 total deaths confirmed attributable; ~6600 projected LNT cancer deaths Europe"
