"parameter","value","units","context","physics_detail","chernobyl_engineering_application","source"
"gamma_shielding_buildup_factor","B_greater_than_1_due_to_scatter","dimensionless","shielding_physics","Buildup factor B: real shields have photon scatter → dose HIGHER than exponential attenuation alone; B accounts for scattered photons contributing to dose; D = B × D_0 × exp(-µx); B depends on: material; photon energy; shield thickness in mean free paths (µx); for Cs-137 (662 keV) in concrete at µx=5: B~10; at µx=10: B~50; for lead at µx=5: B~2-3 (lower buildup than concrete due to higher photoelectric effect)","Chernobyl sarcophagus shielding design used buildup factors for: worker dose rate calculations; concrete thickness requirements; lead-lined vehicle cab design; without buildup factor correction → would underestimate dose rates by factor 2-50x depending on geometry; explains why 50cm concrete provides only 20-100x reduction (not 10^4 expected from pure exponential for 662 keV)","Blizard 1962 Reactor Handbook Vol 3; NCRP Report 49; Glasstone 1967; gamma_ray_interaction_physics_REAL.csv"
"concrete_shielding_Chernobyl_sarcophagus","50_cm_concrete","cm","1986_shelter","Shelter (sarcophagus) concrete wall thickness: ~50 cm (500 mm); Cs-137 HVL in concrete = 45-60 mm; TVL = 150-200 mm; attenuation factor: I = B × exp(-µx) = B × exp(-x/HVL×ln2); for 50 cm concrete: without buildup: 2^(500/55) = 2^9.1 = 545x reduction; with buildup factor B~30: net = 545/30 = ~18x reduction; measured dose rate inside shelter vs outside: ~10-20x (consistent)","50cm concrete provides ~18-20x dose rate reduction: practical for worker access with appropriate time/distance/shielding measures; lead-lined personal protective equipment added to reduce personal dose; 3-minute shift rotations on highest-dose roof areas (>500 Gy/hr outside → ~25 Gy/hr inside shelter); vehicle cab: 5cm Pb equivalent → ~factor 50 reduction; combined: workers could work safely in minutes-long exposures per day","chernobyl_shelter_sarcophagus_REAL.csv; NIST XCOM; gamma_ray_interaction_physics_REAL.csv; HVL_lead_Cs137 row"
"lead_shielding_for_workers","7_mm_Pb_HVL","mm_Pb","worker_shielding","Lead shielding calculations for Chernobyl workers: HVL Pb at 662 keV = 6-7 mm; TVL = 23 mm; lead apron thickness: typically 0.5 mm Pb (medical) → in nuclear work: up to 3 mm (too heavy for continuous wear); vehicle cab shielding: 50-100 mm Pb equivalent; helicopter cab shielding: 5-10 mm Pb added; crane cab: 50-100 mm Pb; personal lead vest (3mm): reduces gamma dose ~15% (inadequate for Chernobyl field conditions)","Lead shielding limitations: (1) weight: 3mm Pb vest = 20+ kg; workers collapse from heat in summer Ukraine; (2) only reduces gamma; doesn't protect from beta burns (lead generates bremsstrahlung from beta); (3) scattered photons still penetrate; practical solution was combination: TIME (short shifts); DISTANCE (maximize distance from source); SHIELDING (lead-lined vehicles); Soviet workers given lead-sheet vests; effectiveness varied by task","chernobyl_environmental_remediation_REAL.csv; beta_alpha_radiation_physics_REAL.csv; gamma_ray_interaction_physics_REAL.csv"
"inverse_square_law","I_proportional_to_1_over_r_squared","1_over_r2","distance_shielding","Inverse square law: radiation intensity from point source decreases as I = S/(4πr²) where S = source strength (Bq or Gy/s); doubling distance → 4x dose rate reduction; valid for point source in open geometry; floor/ceiling reflections and scatter reduce effectiveness in enclosed spaces; at 1m from 1 TBq point source (unshielded Cs-137): ~1 Sv/hr; at 2m: ~0.25 Sv/hr; at 10m: ~0.01 Sv/hr","Distance = most effective free shielding measure; Chernobyl helicopter pilots: stayed at minimum fuel-dump altitude to maximize distance from hot core; crane operators: operated cranes from maximum 100m distance where possible; evacuation of Pripyat: even moving from 3km to 10km reduces inverse square dose by 11x; demonstrates why the 30km exclusion zone was chosen (reduces atmospheric shine dose significantly)","Attix 1986; IAEA Safety Series; chernobyl_environmental_remediation_REAL.csv; unscear_evacuee_thyroid_doses_REAL.csv"
"time_distance_shielding_TDS","fundamental_ALARA_tools","qualitative","radiation_protection","Time-Distance-Shielding (TDS): the three fundamental tools of radiation protection; (1) TIME: minimize exposure time; dose = dose_rate × time; 3-minute shifts at 100 Gy/hr → 5 Gy dose; same area for 30 minutes → 50 Gy; (2) DISTANCE: inverse square law; (3) SHIELDING: material between source and worker; all three used simultaneously at Chernobyl; optimization = ALARA principle application; modern nuclear facilities design to minimize need for all three (eliminate high-dose areas)","TDS at Chernobyl roof decontamination: TIME = 3-min shifts; DISTANCE = minimal (roof too small); SHIELDING = lead vests (limited); result: workers received 2-10 Gy per shift; after ~3 shifts: total dose approached 25 rem limit (250 mSv); in practice: dosimeters confiscated so workers exceeded limits; TDS fully optimized would have required robotic equipment (which failed); human 'biorobots' accepted 3-10 Gy doses","radiation_units_quantities_REAL.csv; ICRP 103; soviet_civil_defense_response_REAL.csv; chernobyl_environmental_remediation_REAL.csv"
"NSC_steel_shielding","modern_engineering_approach","mm_steel","2016_NSC","New Safe Confinement (NSC) structural steel shielding: NSC steel arch thickness: varies; structural: 20-40mm; shielding plates in key areas: 50-100mm steel; steel HVL at 662 keV: ~85mm (steel density 7.8 g/cm³); TVL: 285mm; 100mm steel → 2^(100/85) = 2.4x reduction; combined with concrete lining: cumulative; NSC provides adequate shielding for: workers entering between outer arch and inner shelter wall; IAEA monitoring team access","NSC engineering innovation: designed as movable structure (slid 327m on rails Nov 2016); sliding rails lubricated to reduce friction; internal cranes 450t capacity for future shelter dismantlement; temperature-controlled to prevent condensation on steel (corrosion protection); negative pressure ventilation prevents radioactive dust escape; monitoring ports for continuous measurement; Feb 2025 drone: outer skin breach only; inner structural integrity maintained","chernobyl_shelter_sarcophagus_REAL.csv; gamma_ray_interaction_physics_REAL.csv; HVL_lead_Cs137; modern_monitoring_REAL.csv"
"spent_fuel_pool_shielding","water_as_gamma_and_neutron_shield","m_water","fuel_storage_physics","Spent fuel pool shielding: water provides: gamma shielding (HVL water = 9 cm at 662 keV; TVL = 30 cm); neutron moderation and absorption; thermal management; minimum 4m water cover above fuel tops = standard; RBMK fuel assemblies in ISF-1 wet pool: ~6m water cover; at 6m: gamma attenuation = 2^(600/9) = 2^67 >> 10^20 reduction; practical: scattered radiation still present but manageable; contact dose rate on pool surface from typical spent fuel: ~0.1-1 mSv/hr","Water shielding makes spent fuel pools safe to work above: contact radiation from fuel assemblies in air = many Sv/hr; 6m water cover → dose rate at pool surface = 0.1-1 mSv/hr; allows routine inspection; fuel handling with poles; BUT: if water is lost (Fukushima scenario) fuel overheats AND becomes directly accessible radiation source; ZNPP spent fuel pools concern: external power loss → loss of cooling → gradual evaporation → exposure of fuel","chernobyl_unit_operations_REAL.csv; zaporizhzhia_npp_2022_2025_REAL.csv; gamma_ray_interaction_physics_REAL.csv"
"TLD_thermoluminescent_dosimeter","standard_personal_dosimeter_1986","mSv_sensitivity","personal_dosimetry","Thermoluminescent Dosimeter (TLD): measures integrated dose; crystal (LiF; CaF2; Al2O3) traps electrons in defects when irradiated; heating releases trapped electrons → visible light emission proportional to dose; reading: heated in instrument → photomultiplier measures light; range: 0.01-10 Sv; accuracy: ±5-15%; energy dependent; not real-time; must be read after exposure; Soviet TLD (DPG-03): similar principle; issued to liquidators; problems: not always worn properly; manipulated","Soviet liquidator dosimetry problems: (1) TLD not worn close to body; (2) TLD given to 'representative' worker, not all workers; (3) TLD submitted before exposure completed; (4) some TLD 'borrowed' at 24 rem and new TLD issued for next 1 rem = avoiding 25 rem record; FISH cytogenetics (retrospective biological dosimetry) consistently shows actual doses 2-3x higher than TLD records for high-dose subgroups; TLD records for Chernobyl should not be taken as accurate","retrospective_dosimetry_methods_REAL.csv; Knoll 2010; soviet_civil_defense_response_REAL.csv; UNSCEAR 2008"
"neutron_shielding_physics","hydrogen_rich_materials","qualitative","reactor_design","Neutron shielding: thermal neutrons (E~0.025 eV): absorbed by B-10 (σ=3840b); In-115; Cd-113; fast neutrons (E>0.1 MeV): must first be moderated then absorbed; hydrogen-rich materials (water; polyethylene; concrete) most effective fast neutron moderators; hydrogenous material then thin B/Cd layer; reactor pressure vessel shielding: 10-30cm stainless steel (for structural) + water reflector; RBMK: no pressure vessel → no centralized neutron shield; each individual channel shielded by surrounding graphite","Neutron shielding irrelevant for Chernobyl environmental contamination (neutrons stopped within ~2m of reactor; all neutrons absorbed/scattered; no external neutron dose to public); relevant for: reactor plant workers; RBMK fuel handling; neutron activation of structural materials (creates Co-60, Ni-63 etc; see reactor_activation_products_REAL.csv); Room 305/2 neutron flux monitoring at Chernobyl: confirms no ongoing criticality","reactor_activation_products_REAL.csv; Glasstone 1967; rbmk_core_neutron_physics_REAL.csv; corium_fcm_physics_REAL.csv"
"personal_protective_equipment_Chernobyl","respirators_lead_vests_dosimeters","N/A","1986_field_operations","PPE used at Chernobyl cleanup: (1) Respirator: PF-1 or GP-7VM half-face filtering respirator; P3 particle filter; effective for dust/hot particles; removes >99.97% of particles >0.3µm; does NOT stop gases or vapors; (2) Lead vests: 3mm Pb; reduced gamma dose ~15%; hot and heavy; (3) White cotton coveralls (belyy khalat): contamination prevention; not radiation shielding; (4) TLD dosimeter; (5) Rubber boots and gloves for contamination control; (6) Some workers: full-face SCBA (Self-Contained Breathing Apparatus) for highest-risk tasks","PF-1 respirator: certified P3 filter → effective for Pu hot particles (>0.3µm most particles); less effective for radioiodine vapors (I2; CH3I pass through particle filter → charcoal impregnated filter required); cotton coveralls: contamination control important (keeps hot particles off skin; prevents ingestion from hand-to-mouth; secondary gamma shield negligible); Soviet PPE practice: workers often wore respirators improperly (under chin; removed when hot); field compliance ~60-70%","soviet_civil_defense_response_REAL.csv; fuel_particle_contamination_REAL.csv; iodine_atmospheric_chemistry_REAL.csv; chernobyl_environmental_remediation_REAL.csv"
