parameter,value,units,context,notes,source
RBMK_rated_power,3200,MWt,Unit_4_nominal,Thermal power; 1000 MWe electrical output,WNA; OECD-NEA Ch.I
RBMK_enrichment,2.0,percent_U235,Fuel_specification,Low enrichment; 2% 235U in UO2 fuel rods,OECD-NEA Ch.I; INSAG-7
RBMK_core_height,7,meters,Core_dimensions,Vertical dimension of active core,OECD-NEA Ch.I
RBMK_core_diameter,12,meters,Core_dimensions,1661 fuel channels total,OECD-NEA Ch.I
RBMK_total_control_rods,211,rods,Reactor_control_system,"211 control and safety rods total; mix of manual (including shortened) and automatic",WNA; OECD-NEA Ch.I
ORM_minimum_required_pre-accident,15,rod_equivalents,Operating_procedures,"Minimum ORM per operating procedures at time of accident; 15 rod-equivalents negative reactivity; often stated as 15 fully inserted rods",INSAG-7; WNA
ORM_at_01:22:30,8,rod_equivalents,Accident_sequence,"ORM at 01:22:30 26 April = 8 rods; BELOW minimum of 15; shift foreman signed off despite safety violation; test should have been aborted",WNA; INSAG-7
ORM_minimum_recommended_post-accident,30,rod_equivalents,Post-accident_revised,"Post-accident revised minimum ORM increased to 30 rods after design flaws understood; some OECD-NEA sources cite this as required minimum retroactively",OECD-NEA Ch.I revised
void_coefficient_sign,positive,,RBMK_physics,"POSITIVE void coefficient: if steam voids increase (boiling), reactivity INCREASES; further increases power; unstable feedback loop; opposite of Western LWR designs",INSAG-7; reactor physics
void_coefficient_dominance_threshold,<20,percent_rated_power,"At <20% rated power, positive void coefficient dominates over negative temperature coefficient; reactor becomes inherently unstable in this regime; test was conducted at ~6% rated power",INSAG-7
graphite_tip_effect_duration,1-3,seconds,"Control rod insertion, when AZ-5 pressed","Graphite displacer tips on RBMK control rods add +2-3 β positive reactivity before neutron-absorbing section enters core; this initial spike was the immediate trigger of the excursion; rods take ~18-20s to fully insert",INSAG-7; reactor physics literature
graphite_tip_reactivity_insertion,+2_to_+3,beta_units,Reactivity_spike,"Positive reactivity insertion from graphite tips = +2-3 β; combined with existing void reactivity = ~+10 β equivalent; far exceeding delayed neutron fraction β≈0.005 = prompt criticality",INSAG-7
delayed_neutron_fraction,0.0048-0.0065,,RBMK_physics,"β (beta effective) for RBMK ≈ 0.005 (0.5%); if reactivity exceeds β, reactor goes prompt critical; uncontrollable; Chernobyl excursion far exceeded this threshold",Nuclear physics tables
prompt_criticality_condition,>1,dollars_or_>β,Physics,"Prompt criticality: k_eff > 1 on prompt neutrons alone; reactor responds on microsecond timescale not milliseconds; uncontrollable with mechanical control rods",Nuclear physics
power_at_test_start,200,MWt,01:23:04,"6.25% of rated 3200 MWt; far below test specification of 700-1000 MWt; test should have been cancelled",WNA Appendix 1; INSAG-7
power_at_AZ5_press,530,MWt,01:23:40_minimum,"Power >530 MWt and rising rapidly when AZ-5 pressed; some estimates suggest power was already ~530 MWt or more",WNA Appendix 1
power_at_excursion_peak,~30000,MWt,01:23:44-58_estimated,"Peak estimated ~30000 MWt = ~10x rated power; reached in 3-4 seconds; based on xenon and isotope ratios post-accident; direct measurement impossible",INSAG-7; OECD-NEA Ch.II
power_excursion_factor,100,times_rated,,100x nominal power; prompt criticality; fuel fragmentation began at ~5x rated power; by 100x, UO2 fuel vaporized,INSAG-7
scram_insertion_time,18-20,seconds,Full_insertion_time,"18-20 seconds required to fully insert all control rods; graphite tips enter first (seconds 1-3); neutron-absorbing graphite/boron section enters 3-20s",INSAG-7; RBMK design
xenon_poisoning_pcm_peak,~3000,pcm,"At 00:28 low power event","Xenon-135 peak poisoning ~3000 pcm at trough after power drop; this caused the xenon pit that operators tried to overcome by withdrawing rods; xenon t1/2=9.2h",INSAG-7; reactor physics
xenon_burnout_prior_to_excursion,partial,pcm,01:00-01:23,"Xenon partially burned out over 1-hour low-power operation; reducing poison; this may have contributed to increasing core reactivity approaching the test",INSAG-7
reactivity_feedback_temperature,negative,coefficient,"Doppler feedback","Negative temperature coefficient (Doppler broadening) provides some stabilizing feedback but INSUFFICIENT at low power to counter positive void coefficient; net power coefficient negative only above ~700 MWt",INSAG-7; reactor physics
test_specification_power,700-1000,MWt,"Design of test","Test specified at 700-1000 MWt; actual was 200 MWt due to xenon pit; below range where positive void coefficient is counterbalanced",INSAG-7
explosion_mechanism_1,steam,type,"01:23:44-58","First explosion: fuel fragmentation → hot fuel contacts water → steam explosion; extremely rapid energy transfer; pressure pulse destroys reactor building",INSAG-7; academic consensus
explosion_mechanism_2,disputed,type,"01:23:46-58","Second explosion: disputed — hypotheses include steam, hydrogen from zirconium-water reaction, or limited nuclear excursion (prompt criticality); 1986 INSAG-1 was wrong; 1991 INSAG-7 revised to stress graphite tip effect",INSAG-7; Pakhomov/Dubasov 2009
reactor_lid_mass,1000,tonnes,"Elena plate","1000-tonne reactor lid (Elena biological shield) ejected vertically; came to rest at angle across reactor; created direct pathway for release of radionuclides",Historical record; INSAG-7
graphite_mass_ejected,~300,tonnes,,~300 tonnes of graphite blocks ejected around building; contributed to fires; graphite temperature >1200°C drives radionuclide volatilization,Historical; OECD-NEA Ch.II
