"method","measured_quantity","physical_basis","dose_range_applicable","measurement_uncertainty","Chernobyl_application","key_finding_or_value","source"
"EPR_tooth_enamel","CO2_radical_concentration_in_enamel","Ionizing radiation creates stable CO2 radicals in hydroxyapatite (Ca10(PO4)6(OH)2) of tooth enamel; radicals persist decades; EPR spectrometer measures spin density → dose","10 mGy to 10 Gy","±30-40 mGy at low doses; ±10-15% at doses >500 mGy","Applied to Zaborie residents (most contaminated inhabited settlement not evacuated); tooth enamel collected from dental patients; mean square variation between EPR and reference: 34 mGy","Mean EPR dose in Zaborie residents: 163-400+ mGy; confirmed doses above 100 mGy threshold for thyroid cancer risk; used to validate interview-based dose reconstruction; upper/lower molars preferred to minimize UV/sunlight artifacts","PMID:14744045; Ivannikov 2004 J Radiat Res; RADRUE collaboration"
"FISH_cytogenetics","dicentrics_translocations_per_cell","Ionizing radiation causes chromosome breaks → rejoining errors → stable translocations (FISH detectable lifetime) and unstable dicentrics (FISH+Giemsa detectable years to decades); frequency proportional to dose","0.1 to 5 Gy whole body; optimal 0.25-3 Gy","±factor_of_2_at_low_doses; confounders include natural frequency variability age and time elapsed post-exposure","49 Chernobyl liquidators studied; FISH showed best agreement with EPR doses in 25-50 cGy and 50-100+ cGy groups; at <25 cGy EPR doses FISH-derived doses were higher (FISH less precise at low doses)","At doses >250 mGy: FISH and EPR agree within 20%; at <250 mGy: FISH overestimates (natural translocations confound); labor-intensive (100-200 metaphases per sample); impractical for mass screening; used for high-dose liquidator validation","PMID:11833339 Salassidis 2002; PMID:various FISH liquidator studies"
"whole_body_counting","Cs137_in_vivo_gamma_spectrometry","Cs-137 (via Ba-137m 662 keV gamma) measurable in-vivo with NaI or HPGe whole-body counter; sensitivity to ~270 Bq total body Cs-137; body burden directly proportional to dietary intake and retention","0.001_to_100_mSv_committed_dose","detection_limit_270_Bq_per_body_NaI; HPGe lower","Korosten (Zhytomyr region) program: 109936 persons screened 2009-2018 (Aloka NaI 7.6cm detector); monthly/annual screening; >50% below detection by 2003; continued monitoring shows seasonal patterns","Mean body burden: 21.6 Bq/kg (2009) → 3.0 Bq/kg (2018); detection rate: 45% → 11%; autumn peak from mushroom season; dose: 0.3% above 1 mSv/yr in 2009 → 0% by 2018; quantifies committed dose from ongoing dietary intake","J Radiat Res 2011 Korosten doi:10.1269/jrr.11038; PMC7810316; cs137_body_burden_ukraine_REAL.csv"
"thyroid_measurement_1986","direct_thyroid_I131_measurement","Portable NaI(Tl) scintillation detector placed over thyroid; 364 keV I-131 gamma measured in-vivo; activity in thyroid determined; dose calculated from age-specific dosimetric models","Any activity detectable above background","Accuracy ±20-50% depending on detector calibration and anatomy; DP-100 field devices ±50%; better clinical instruments ±20%","USSR performed ~400000 direct thyroid measurements April-June 1986; mostly using beta-gamma field meters (DP-100) not calibrated for thyroid counting → significant systematic errors; UNSCEAR 2008 notes many measurements unreliable","400000 thyroid measurements made; BUT only ~200 of them at correct standard (all others with DP-100 too insensitive or improperly positioned); doses in children 0-6 yr reconstructed mostly via milk consumption surveys not direct measurement","UNSCEAR 2008 p.62-65; Frontiers Endocrinology 2020 NCI cohort doi:10.3389/fendo.2020.569041"
"milk_consumption_history","dietary_I131_intake_reconstruction","Interview-based retrospective recall of milk consumption (L/day; fresh vs boiled; store vs home cow vs goat); combined with milk monitoring data (Bq/L by region and day) → individual thyroid dose","Any dose","Factor 2-5 uncertainty for individuals; factor 1.5-2 for population means; recall bias; proxy respondents introduce factor 3 uncertainty","Primary method for NCI UkrAm/BelAm thyroid cohort thyroid dose reconstruction; 13000+ persons in Ukraine; 11000+ in Belarus; questionnaires administered 1997-1998 (11 years post-accident)","Median individual dose uncertainty ~factor 2; memory recall vs proxy respondent: median ratio 1.0 vs 0.56 (proxy underestimates); individual doses range 0 to 42 Gy with mean 0.65 Gy (Ukraine); highest doses in children consuming private farm milk April-May 1986","RADRUE method PMC2930607; Frontiers Endocrinology 2020; nci_ukraine_thyroid_cohort_REAL.csv"
"RADRUE_method","stochastic_individual_dose_estimate","Realistic Analytical Dose Reconstruction with Uncertainty Estimation; Monte Carlo simulation 10000 iterations per individual; integrates: location history + diet + milk Bq/L data + transfer models + dosimetric parameters; generates probability distribution for each individual's dose","Any dose","Subject-specific confidence intervals; at low doses (median <100 mGy): CI often spans 0 to >500 mGy; at high doses better constrained; human factors dominate uncertainty","Used for NCI UkrAm/BelAm cohorts; Ukrainian-American Thyroid Cohort Study; Belarusian-American Thyroid Cohort Study; RADRUE explicitly models human factor uncertainty (interview quality) as dominant source","Main result: ERR/Gy = 1.91 for incident thyroid cancer (2nd-4th screening rounds); EOR/Gy = 5.25 (1st screening prevalent); dose-response clearly linear for I-131-exposed children; fundamental advance over simpler dose models","PMC2930607 Likhtarev 2010; Frontiers Endocrinology 2020 doi:10.3389/fendo.2020.569041; nci_ukraine_thyroid_cohort_REAL.csv"
"TL_OSL_building_materials","Optically_Stimulated_Luminescence_in_quartz","Quartz grains in bricks/ceramics accumulate trapped electrons from ionizing radiation since last heating; OSL signal proportional to post-firing dose; can reconstruct doses since construction if construction date known; single-grain SAR protocol","10 mGy to 100 Gy","<10 mGy detection limit for quartz; ±15-20% for individual grains; better for bulk aliquots","Used on fired bricks and ceramic building materials in Chernobyl-affected settlements; reconstructed doses in buildings in Bryansk oblast (Russia) and contaminated Belarus villages; Mirion 2025 OSL system installed in NSC","Detection limit <10 mGy for quartz in Chernobyl bricks; validated for use in evacuation zone villages; useful where no historical dosimeters exist; reactor_activation_products_REAL.csv: Mirion OSL 2025 installed in NSC","ScienceDirect OSL dosimetry Chernobyl doi:10.1016/S0969-8043(97)00114-9; Mirion Technologies 2025"
"personal_dosimetry_1986","film_badge_TLD_pocket_dosimeter","Photographic film (film badge); TLD-100 (LiF:Mg,Ti) thermoluminescence; pocket ion chamber; instruments used for liquidator dose measurement 1986-1990","0.01 to 1 Gy range (pocket dosimeters usually limited)","Systematic underestimation: pocket dosimeters issued with 1 Gy maximum; readings often maxed out; many dosimeters not issued at all or lost/damaged; deliberate recording of arbitrary dose assignments possible to limit liability","Soviet system: many liquidators given 'zero dose' or 25 cGy (threshold for medical compensation) regardless of actual exposure; UNSCEAR 2008 notes dosimetry unreliable for 1986 cohort; 1987-1990 improved","UNSCEAR 2008: average dose 1986 = 146 mGy (Russia) from official records; however retrospective EPR/FISH studies suggest actual doses higher for some individuals; official records accepted as approximate lower bounds for 1986","UNSCEAR 2008 p.82-84; liquidator_health_outcomes_REAL.csv; unscear_liquidator_doses_REAL.csv"
"beta_spectrometry_milk","I131_beta_activity_in_milk","DP-100 beta-gamma field meter; later gamma scintillation; measures I-131 (β 0.61 MeV; γ 364 keV) in milk samples; sampling every 1-3 days from representative farms","0.1 to 10000 Bq/L sensitivity range depending on instrument","DP-100: sensitivity ~37 Bq/L; production-quality instruments (SDKM-2): ±20%; field conditions: ±factor 2-3","~11000 beta-activity measurements in cow's milk April 26 - May 31 1986 in contaminated zones; results used to reconstruct milk-pathway I-131 intake; measurements also taken in Poland (used to justify Polish KI distribution)","USSR: milk ban delayed 2-3 weeks after readings reached actionable levels; Polish measurements triggered KI distribution to 18M people; retrospective analysis shows milk measurements reasonably accurate but intervention delayed; decontamination_countermeasures_REAL.csv","UNSCEAR 2008 p.62; Frontiers Endo 2020; food_agricultural_contamination_REAL.csv"
"EPR_uncertainty_human_factors","dose_reconstruction_uncertainty_sources","Three main uncertainty sources: 1) instrument/physical measurement ±20%; 2) dosimetric model (transfer factors diet) ±factor 2; 3) human factors (recall accuracy proxy vs self-report) ±factor 3","Any dose level","Combined uncertainty in individual dose: ±factor 2-5; population mean: ±factor 1.5-2; systematic biases possible","RADRUE validation showed proxy respondent doses 44% lower than self-reported (median ratio 0.56); suggests use of proxy respondents biases dose estimates downward; affects lower-dose individuals more","Human factors dominate uncertainty in retrospective dose reconstruction; physical/instrument uncertainty is SMALLEST component; memory-based recall over 10 years introduces largest error; implication: ERR/Gy estimates may be underestimated (regression dilution bias from dose measurement error)","PMC9384793 Likhtarev 2022; PMC2930607 RADRUE; dose_conversion_factors_REAL.csv"
"organ_dosimetry_model","thyroid_dose_from_I131_activity","Thyroid committed dose = A_thyroid × S_factor × f_uptake; where A_thyroid = thyroid activity (Bq); S_factor = organ self-absorbed dose per decay (Gy/Bq); f_uptake = fraction deposited in thyroid","Any dose","±30% from model parameters (thyroid mass variability); ±factor 2 from intake estimate","Used to convert direct thyroid measurements and milk intake → individual thyroid doses; UNSCEAR 2008 Table B5: S_factor adult = 2.7E-4 Gy/Bq; child 1-yr = 2.4E-3 Gy/Bq (9x adult because smaller gland receives higher dose per Bq)","Thyroid S-factor varies 9x from infant to adult; combined with 5x higher dietary intake per kg body weight → infants receive ~45x thyroid dose per unit milk activity compared to adults; fundamental explanation for child-specific thyroid cancer excess","UNSCEAR 2008 Annex D Table B5; ICRP 30 1979; unscear_evacuee_thyroid_doses_REAL.csv; dose_conversion_factors_REAL.csv"
