"isotope","Z","N","t12_value","t12_units","production_reaction","source_material_in_reactor","estimated_initial_activity_1986_Bq","estimated_activity_2026_Bq","fraction_remaining_2026","status_2026","decay_mode","decay_product","principal_gamma_keV","gamma_yield_pct","dose_significance","source"
"Co-60","27","33","5.27","years","Co-59(n,γ)Co-60; threshold for fast neutron reaction Co-59(n,p)Fe-59","Structural steel containing 0.01-0.05% cobalt; reactor vessel steel; piping; RBMK steel pressure tubes (~7800 tonnes steel in reactor building)","~1E+16","~6E+13","~0.006","~99.4% decayed; negligible by 2026 (~7.6 half-lives = factor 195 reduction); dominated dose rate in sarcophagus 1986-2010","beta_minus","Ni-60","1173 and 1332","99.9 each","Primary structural activation dose contributor 1986-2010; 1173+1332 keV gammas used for Co-60 monitoring in shelter workers; now essentially gone; Ni-63 dominates current structural activation inventory","NUREG/CR-3474 OSTI; Kleszcz Mietelski 2010 Radiochimica Acta doi:10.1524/ract.2010.1727"
"Co-58","27","31","0.193","years","Ni-58(n,p)Co-58; fast neutron reaction","Nickel-containing steel alloys in reactor; Ni-58 is most abundant Ni isotope (68%)","~5E+15","~0","~0","Fully decayed by ~1990 (~10+ half-lives from 70 days = decayed within 2 years); contributed to early high dose rates in cooling circuits","beta_minus_and_EC","Fe-58","811","99.4","Short-lived structural activation; important 1986-1988 for worker dose in cooling circuit maintenance; irrelevant now","NNDC; nuclear activation calculations"
"Mn-54","25","29","0.854","years","Fe-54(n,p)Mn-54; fast neutron reaction on iron","Structural steel (iron main component); 5.8% natural Fe-54 abundance","~1E+16","~0","~0","Fully decayed by ~1990-1991 (~5 years = ~6 half-lives); contributed significantly to 1986-1988 dose in reactor building and cooling circuit workers","EC_with_gamma","Cr-54","835","100","High initial activity; 835 keV gamma penetrating; important 1986-1990; now gone","NNDC; NUREG/CR-3474"
"Fe-55","26","29","2.73","years","Fe-54(n,γ)Fe-55; thermal neutron capture","Structural steel (98% iron); very high reaction rate due to abundant Fe-54","~5E+17","~0","~0","Fully decayed by ~1992-1993 (~11 half-lives elapsed by 2026); pure EC decay with X-rays only; soft X-ray not penetrating; primarily an ingestion/inhalation dose concern 1986-1992; difficult to measure","EC","Mn-55","5.9_keV_Mn_Xray","~28","Soft tissue dose from ingested iron-55; relevant for reactor workers who ingested contaminated water/food 1986-1990; non-penetrating so not a direct external hazard","NNDC; NUREG/CR-3474"
"Ni-63","28","35","101.2","years","Ni-62(n,γ)Ni-63; thermal neutron capture","Nickel in steel alloys; stainless steel may contain 8-12% Ni; reactor steam pipes pressure vessels","~5E+14","~1.8E+14","~0.36","~36% of original 1986 activity remains; still present in structural materials of shelter; co-produced with Co-60 confirmed in Chernobyl hot particles; pure beta emitter (no gamma)","beta_minus","Cu-63","","","Long-term structural contamination concern; pure beta (low energy 0.065 MeV max) so not external hazard; leaching into groundwater possible; relevant for long-term waste management of shelter structural steel","Kleszcz Mietelski 2010 Radiochimica Acta; NUREG/CR-3474; NNDC"
"Ni-59","28","31","81000","years","Ni-58(n,γ)Ni-59; thermal neutron capture","Nickel in structural steel alloys","~2E+12","~2E+12","~1.00","Essentially no decay by 2026 (<0.001% decay in 40 years); extremely long-lived; contributes to very long-term contamination of structural steel","EC","Co-59","","","Essentially permanent activation product in reactor structures; relevant for decommissioning and long-term waste classification; EC to stable Co-59 with Auger electrons only","NNDC; isotopes of nickel; NUREG/CR-3474"
"Nb-94","41","53","20300","years","Nb-93(n,γ)Nb-94; Nb-93 may first become Nb-93m which has t1/2=16yr before activating","Niobium in zircaloy RBMK fuel rod cladding (1% Nb stabilizer in Zr-Nb alloy); ~1660 fuel channels × 18m length each = significant Zr mass","~3E+11","~3E+11","~1.00","No detectable decay by 2026 (t1/2=20300yr; only 40yr elapsed = 0.0002% decay); effectively permanent; gamma emitter; becomes increasingly important relative to shorter-lived isotopes after Co-60 decays away","beta_minus","Mo-94","702 and 871","99.9 and 99.9","Low activity but very long-lived; after Co-60 decays (~80yr) Nb-94 will be significant structural activation dose contributor; key isotope for 100-year and 1000-year waste management planning for shelter and decommissioning","NUREG/CR-3474 OSTI:6776358; NNDC; Kashparov 2020; reactor structure activation"
"Zn-65","30","35","0.668","years","Zn-64(n,γ)Zn-65; natural Zn in brass fittings and galvanized components","Zinc in reactor cooling circuit components; brass valve fittings; galvanized pipes","~1E+14","~0","~0","Fully decayed by ~1990-1991; 60th half-life by 2026; contributed to dose in cooling circuit workers 1986-1988; 1115 keV penetrating gamma","EC_and_beta+","Cu-65","1115","50","Important in cooling circuit water chemistry 1986-1988; 1115 keV gamma easily detected; activated zinc in cooling water carried dose out of reactor; decayed fully by 1990","NNDC; NUREG/CR-3474"
"C-14","6","8","5730","years","N-14(n,p)C-14 from nitrogen dissolved in coolant water; O-17(n,α)C-14 from oxygen in UO2","Nitrogen impurities in cooling water; oxygen in UO2 fuel matrix","~3E+12","~2.9E+12","~0.995","Essentially no decay (< 0.5% in 40yr); very long-lived; dispersed globally as CO2 through reactor operation AND explosion release; global atmospheric C-14 inventory","beta_minus","N-14","","","Pure beta emitter (0.156 MeV max); dispersed as CO2; global dilution means negligible dose individually; relevant for atmospheric carbon budget; nuclear testing released far more C-14 than Chernobyl (213000 PBq from testing vs small release from accident)","NNDC; nuclear_context_comparison_REAL.csv"
"H-3_tritium","1","2","12.32","years","Li-6(n,α)H-3; also D-2(n,γ)H-3 in heavy water impurities; fast neutron on O-16","Trace lithium in steel; deuterium in water; Li-6 enriched absorbers","~1E+13","~3E+10","~0.003","~99.7% decayed by 2026; soft beta emitter (0.019 MeV max); was relevant in cooling water 1986-1998; tritiated water released in groundwater; currently negligible in CEZ","beta_minus","He-3","","","Soft beta no gamma; tritiated water is main pathway; biological half-life 12 days (as HTO); relevant in 1986-1998 for reactor workers handling cooling water; effectively gone from shelter now","NNDC; CEZ groundwater studies"
"Cm-244","96","148","18.10","years","Am-243(n,γ)Cm-244; and Pu-243(β-)Am-243(n,γ)Cm-244; in-core transmutation chain","Formed by successive neutron captures in uranium fuel during 3-year fuel irradiation period","~8E+12","~9E+11","~0.11","~89% decayed; ~11% remains; alpha emitter; contributes to alpha contamination in corium; ingrowth to Pu-240 and Pu-236 daughters","alpha","Pu-240","","","Alpha emitter in corium; not significant outside corium mass; relevant for workers handling corium directly; Cm-244 is the main curium isotope from nuclear fuel","NNDC; corium composition estimates from nuclear fuel burnup codes"
"Eu-154","63","91","8.59","years","Eu-153(n,γ)Eu-154; europium is trace rare earth impurity in fuel or activation of structural materials","Trace europium in fuel matrix; rare earth impurities; sometimes used as burnable poison","~1E+14","~2E+12","~0.02","~98% decayed; some remains; 1274 keV gamma; activated by thermal neutrons in REE impurities; detected in soil surveys as proxy for fuel particle presence (REE do not volatilize)","beta_minus","Gd-154","1274 and 723","35 and 20","Used as tracer for fuel particle location in environmental surveys; 1274 keV gamma penetrating and easily identified in Ge spectra; detected in Chernobyl zone soil samples 1986-2005","NNDC; Kashparov 2003 fuel particle surveys"
"summary_corium_dominant_isotopes","","","","","","Corium (FCM) contains fission product and actinide inventory overwhelmingly dominates over structural activation products","Total shelter radioactive inventory is >>99% from fuel/fission products and actinides; structural activation products (Co-60 Ni-63 Nb-94 etc.) contribute <1% of total disintegrations; but activation products in structural steel outside corium zones are relevant for decommissioning waste classification","By 2026: corium Cs-137=~remaining fraction of 85 PBq × 0.4 (decay); Sr-90=~10 PBq × 0.38; Am-241 growing from Pu-241; activation products (Ni-63 Ni-59 Nb-94 C-14) all low activity but relevant for 100-10000yr waste planning","corium_fcm_physics_REAL.csv; NUREG/CR-3474; OECD-NEA decommissioning studies"
