"parameter","value","units","power_level_or_condition","context","notes","source"
"RBMK1000_void_coefficient_pre_modification","plus_4_to_plus_8","pcm_per_percent_steam_void","full_power_3200_MWt","Void reactivity coefficient αv = +4 to +8 pcm per 1% increase in steam void fraction; 1 pcm = 10^-5 Δk/k; at full power (1200-1600 MWe); 2.0% enrichment fuel (pre-1987); positive because graphite is primary moderator (not water); water acts as parasitic absorber","At 100% steam void (catastrophic loss of coolant): +4 to +8% Δk/k = +0.8 to +1.6 β_eff (β_eff≈0.005); positive feedback possible but normally offset by Doppler at high power; the void coefficient is the fundamental instability that made Chernobyl Unit 4 dangerous at low power","INSAG-7 Section 4; OECD-NEA Ch.I; reactor_physics_REAL.csv; Boure 1997 Prog Nucl Energy"
"RBMK1000_void_coefficient_low_power","plus_6_to_plus_10","pcm_per_percent_steam_void","below_700_MWt_(<20%_rated)","Below 700 MWt thermal: void coefficient increases in magnitude; αv = +6 to +10 pcm/%void; at these conditions, loss of 1% coolant void adds 0.006-0.010% Δk/k; Doppler feedback (temperature coefficient) is small at low temperature → net power coefficient becomes POSITIVE = unstable","The forbidden operating zone below 700 MWt was defined because reactor becomes power-unstable: positive power coefficient means a brief power surge heats coolant → more steam → more positive reactivity → accelerating power surge; RBMK procedure prohibited operation <700 MWt; Chernobyl Unit 4 was at ~200 MWt during test","INSAG-7 Table 1; rbmk_safety_modifications_REAL.csv; xenon_135_poisoning_REAL.csv"
"LWR_PWR_void_coefficient","minus_20_to_minus_100","pcm_per_percent_steam_void","all_power_levels","Pressurized Water Reactor: void coefficient strongly NEGATIVE; water is BOTH moderator AND coolant; when water leaves channel: BOTH moderation AND absorption decrease, but moderation loss dominates → fewer neutrons thermalized → reduced fission → negative feedback; fundamental thermodynamic stability of Western PWR design","The RBMK vs PWR void coefficient sign reversal is the fundamental physics difference that made RBMK uniquely dangerous; in a PWR, any loss-of-coolant accident self-limits because void removes moderator; in RBMK, void ADDS reactivity because graphite provides moderation regardless","Glasstone Sesonske Nuclear Reactor Engineering; Lamarsh; reactor_physics_REAL.csv"
"RBMK_moderator_temperature_coefficient","minus_1_to_minus_2","pcm_per_celsius","all_power_levels","Graphite moderator temperature coefficient: negative (as graphite heats, phonon vibrations increase, neutron spectrum hardens slightly, reduced thermal fission probability); magnitude small: -1 to -2 pcm/°C; provides some stabilizing feedback from graphite heating","Graphite Tm coefficient is stabilizing but small; graphite temperature changes slowly (large thermal mass); provides delayed negative feedback; contrasted with fast positive void coefficient from steam generation; net effect: void feedback wins over graphite feedback on accident timescales","INSAG-7; OECD-NEA Chernobyl 1996"
"RBMK_Doppler_coefficient","minus_2_to_minus_4","pcm_per_celsius_fuel_temperature","all_power_levels","Fuel Doppler coefficient (nuclear resonance broadening): as fuel temperature increases, U-238 absorption resonances broaden (Doppler broadening) → more U-238 neutron capture → fewer neutrons available → negative reactivity feedback; magnitude -2 to -4 pcm/°C fuel temperature; instantaneous feedback (temperature tracks power on millisecond timescale)","Doppler coefficient is the primary safety mechanism in all uranium-bearing reactors; it is negative and instantaneous; in RBMK at high power: Doppler provides -2 to -4 pcm/°C; with fuel temperature change of several hundred °C during power surge → hundreds of pcm negative feedback; BUT at low power (200 MWt), fuel temperature is low, temperature changes are small, Doppler feedback is small","Glasstone; Lamarsh; INSAG-7; reactor_physics_REAL.csv"
"RBMK_net_power_coefficient_high_power","negative_stable","pcm_per_percent_power","above_700_MWt","At >700 MWt: net power coefficient (sum of void + Doppler + other thermal feedbacks) is negative = stable; power disturbances self-correct; if power rises → temperature rises → Doppler adds negative reactivity → power returns to set point; this is why RBMK operated safely at high power for years","RBMK units operated thousands of reactor-years at high power without accidents after proper modification; the design was safe at high power; the accident required low power (xenon poisoning forced low power) combined with nearly all rods withdrawn (ORM=8)","INSAG-7; WNA RBMK reactor overview; OECD-NEA"
"RBMK_net_power_coefficient_low_power","POSITIVE_UNSTABLE","pcm_per_percent_power","below_700_MWt_(<20%)","Below 700 MWt: void coefficient (positive) > Doppler + graphite (negative) → net positive power coefficient = unstable regime; any power perturbation amplifies; this is the forbidden operating zone where Chernobyl Unit 4 was operating during the test on April 26 1986","This positive power coefficient at low power was: (a) known to Soviet reactor physicists; (b) documented in RBMK technical specifications; (c) addressed by procedural prohibition on <700 MWt operation; (d) ignored by operators on April 26; this knowledge being withheld from operators was part of the safety culture failure","INSAG-7 Section 4.2.2; Sich 1994; rbmk_safety_modifications_REAL.csv; xenon_135_poisoning_REAL.csv"
"void_coefficient_physical_mechanism","graphite_primary_moderator","qualitative","RBMK_design_physics","Why RBMK void coefficient is positive: (1) graphite (C-12) is primary moderator (moderating ratio ~170 for graphite vs ~59 for H2O); (2) graphite fills ALL space between fuel channels; (3) water fills ONLY the ~8cm pressure tubes; (4) water acts primarily as parasitic absorber (NOT primary moderator); (5) when water boils/is removed → absorption decreases → k_eff increases","Compare CANDU (also graphite moderator + water coolant): CANDU void coefficient also slightly positive; both designs have this physics; difference: CANDU has on-line refueling and different geometry that limits the void coefficient magnitude; both differ fundamentally from LWR where water is primary moderator","INSAG-7; OECD-NEA; Cottingham 2011 Energy Environ Sci; Lamarsh"
"graphite_tip_effect_scram_reactivity","plus_2_to_plus_3_beta","beta_equivalents","initial_2_to_3_seconds_of_SCRAM","When AZ-5 SCRAM pressed: control rods INSERT into core; rod design has graphite displacer tips; bottom 1.5m of each rod = graphite (displaces water from that zone when rod enters from bottom); as rod enters bottom of channel, graphite DISPLACES water → water absorption removed → positive reactivity for first 2-3 seconds","This is the proximate physical cause of the Chernobyl excursion: pressing AZ-5 SCRAM at 01:23:40 with ORM=8 and reactor at 200 MWt caused +2-3β positive reactivity spike BEFORE rods could add negative reactivity; combined with existing positive void feedback from steam generation → prompt criticality","INSAG-7 Section 4.2.1; rbmk_safety_modifications_REAL.csv; chernobyl_accident_chronology_REAL.csv"
"total_positive_reactivity_at_AZ5","approximately_plus_7_to_plus_10_beta","beta_equivalents","01:23:40_to_01:23:44","At moment of AZ-5 press: (a) reactivity already near threshold due to coolant boiling (void) + ORM=8 (nearly all rods withdrawn); (b) graphite tip effect added +2-3β; (c) steam void increase as power started to rise added further positive reactivity; (d) total positive reactivity estimated +7-10β >> prompt criticality threshold (+1β)","This level of positive reactivity (+7-10β) means reactor was +6-9β superprompt-critical; power excursion timescale = microseconds to milliseconds; uncontrollable mechanically; no human intervention possible; steam explosion within 3-4 seconds; reactor destroyed","INSAG-7 Table 4.1; reactor_physics_REAL.csv; prompt criticality definition: ρ > β_eff"
